Attributeset,Status,Variety,BundleType,Sku,saleable,Name,Short Description,Description,Final Gross Price,Tax Rate,Brand,Manufacturer description,Page Title,Meta Keywords,Meta Description,url,Stock,Color,Depth,Width,Height,Material,Quantity,Category,RefConfigSku,RefBundleSkus,RefOption
Products without Electronics,approved,Simple,,01K01MA-03,1,Master Chair Yellow,,,165.00,,,,Masters Chair yellow by Kartell | Chairs at Velle,,Masters Chair yellow by Kartell from the popular designer Philippe Starck. Buy this chair and more at the design furniture online shop | Velle,/masters-chair-yellow-kartell,100,yellow,570,470,840,,,,01K01MA,,B1
Products without Electronics,approved,Config,,01T01BE,0,Beech Bentwood Chair,"THONET's wood curving techniques and fine craftsmanship create beautifulcurved lines by utilizing the natural properties of the materials.Theback of the chair features a horizontal panel that naturally supportsthe back.The seat of the chair is constructed using easy-maintenanceboard or mesh. Although robust, this MUJI No. 14 chair is so light youcan virtually pick it up with one finger.","THONET's wood curving techniques and fine craftsmanship create beautifulcurved lines by utilizing the natural properties of the materials.Theback of the chair features a horizontal panel that naturally supportsthe back.The seat of the chair is constructed using easy-maintenanceboard or mesh. Although robust, this MUJI No. 14 chair is so light youcan virtually pick it up with one finger.",,19.00,Thonet,"In 1830, Michael Thonet began experimenting with what was soon to be known as ""bentwood"" furniture and it was not long before Thonet and his sons were producing this furniture on an industrial scale. The name Thonet quickly became synonymous with a high standard of exquisite craftsmanship and Thonet's bentwood products soon joined the ranks of the most famous and most imitated furniture products of modern times. In 1987 Shelby Williams, purchased Thonet Industries U.S.A and Thonet's US business formally came of age and separated from its European parent which remains under the control of the Thonet family in Germany.Here in the US the Thonet brand along with Shelby Williams is an integral part of the CF Group portfolio which includes the Falcon and Howe brands",,"Thonet, chair, Design, Shop, Velle, online shop, Beech Bentwood Chair",,,,,,,,wood,1,Default Category|Chairs,,,
Products without Electronics,approved,Simple,,01T01BE-01,1,Beech Bentwood Chair Brown,,,295.00,,,,Beech Bentwood Chair Brown by Thonet | At Velle,,Beech Bentwood Design Chair Brown by the Thonet family. The Beech Bentwood and more design chairs in the furniture online shop | Velle,/beech-bentwood-chair-brown-thonet,100,brown,415,510,850,,,,01T01BE,,B1
Products without Electronics,approved,Simple,,01T01BE-02,1,Beech Bentwood Chair Black,,,295.00,,,,Beech Bentwood Chair Black by Thonet | At Velle,,Beech Bentwood Design Chair Black by the Thonet family. The Beech Bentwood and more design chairs in the furniture online shop | Velle,/beech-bentwood-chair-black-thonet,100,black,415,510,850,,,,01T01BE,,B1
Products without Electronics,approved,Config,,02V01AT,0,A-Table,"A-Table is one of the items of purist furniture which made Maarten Van Severen famous and has become his trademark. Like all his pieces, the table stands out for its symbolic shape and carefully balanced proportions. The name A-Table refers to the characteristic, A-shaped position of the legs. The first A-Tables were made as early as 1992 in Van Severen’s furniture workshop. What is striking about the series-produced A-Table is the satin, deep black rubber lacquer– it has a wonderfully warm and soft feel and, like a natural material, becomes patinated with age.","A-Table is one of the items of purist furniture which made Maarten Van Severen famous and has become his trademark. Like all his pieces, the table stands out for its symbolic shape and carefully balanced proportions. The name A-Table refers to the characteristic, A-shaped position of the legs. The first A-Tables were made as early as 1992 in Van Severen’s furniture workshop. What is striking about the series-produced A-Table is the satin, deep black rubber lacquer– it has a wonderfully warm and soft feel and, like a natural material, becomes patinated with age.",,19.00,Vitra,"This interdisciplinary approach enables a whole lot more to be part of the Vitra cosmos than only the furniture production: Vitra also stands for a design museum, for a collection of modern furniture and their archives, for workshop and publications about design and for an architecture understanding, which includes constructions by Frank Gehry, Nicholas Grimshaw, Zaha Hadid, Tadao Ando, Alvaro Siza, Herzog & de Meuron and SANAA in the main headquarter in Birsfelden (Switzerland) and on the Vitra Campus in Weil am Rhein (Germany). Accessories, sculptures and objects for children are also produced by Vitra today.All of these different areas enabled Vitra’s success in the past decades. The success history of the family company however was only possible by the consequent connection of good design and high quality. It doesn’t matter out of which material a Vitra-product is made, one thing is sure: the material and production quality are among the best ones on the market. Sustainability is also a part of it: Vitra finds it self-understanding that production, usage and disposal of a piece of furniture don’t harm since the company’s foundation in 1950. The longevity of the products is the most important premise, which has been embossed by Charles & Ray Eames in that time: Material as well as design are made to last for decades according to the Vitra company.",,"manufacturers, vitra, a-table, vitra, table, tables, conference, conference tables, desks, rooms, office, conference room, executive office",,,,,,,,wood,1,Default Category|Tables,,,
Products without Electronics,approved,Simple,,02V01AT-01,1,A-Table Black,,,4450.00,,,,A-Table Black by Vitra | Tables at Velle,,A-Table Brown Table by Vitra. Buy this popular design table and more design furnitures in this online shop | Velle,/a-table-black-vitra,100,black,2400,900,720,,,,02V01AT,,B1
Products without Electronics,approved,Simple,,02V01AT-02,1,A-Table Brown,,,4450.00,,,,A-Table Brown by Vitra | Tables at Velle,,A-Table Black Table by Vitra. Buy this popular design table and more design furnitures in this online shop | Velle,/a-table-brown-vitra,100,brown,2400,900,720,,,,02V01AT,,B1
Products without Electronics,approved,Config,,02K01SP,0,Spoon Table,Spoon Table is an office folding table characterised by its very light weight and practicality.The structural top is made of honeycomb aluminum and is only 15 mmthick. It has a white laminate finish with a coloured edge surfaced withmethacrylate giving depth to its transparency.The thermoplastic legs are a guarantee of sturdiness and aestheticappeal. The knee closing mechanism was designed to simplify the foldingof the top and makes the Spoon Table perfect for living in small spacesand for easy carrying. The leg-locking system requires no tools andworks using only a slider eyelet.The Spoon Table comes in three sizes of tops and with legs and matching edges in three colours.,Spoon Table is an office folding table characterised by its very light weight and practicality.The structural top is made of honeycomb aluminum and is only 15 mmthick. It has a white laminate finish with a coloured edge surfaced withmethacrylate giving depth to its transparency.The thermoplastic legs are a guarantee of sturdiness and aestheticappeal. The knee closing mechanism was designed to simplify the foldingof the top and makes the Spoon Table perfect for living in small spacesand for easy carrying. The leg-locking system requires no tools andworks using only a slider eyelet.The Spoon Table comes in three sizes of tops and with legs and matching edges in three colours.,,19.00,Kartell,"In 1949 did Giulio Castelli found Kartell in Milan. Besides Alessi, Brinovega, Danese or Flos it belongs to the traditional, Italian design businesses. But Kartellis reckoned as a pioneer business of the plastic-furniture-production.While many manufacturers thought plastic is a cheap material, Kartell stacked to this material and made plastic as equal as all the other materials.Kartell is known since the beginning of the 1950ies with its production of houseware. Chasing power was the house designer Gino Colombini, who still serves comfortless and plain kitchen mashines like lemon juicer, garbage bins, or storing boxes in new, delicious colours and shapes.From the beginning to the middle of the 1960ies people experimented at Kartell with new production methods through which strong and tough plastic was won of which they could produce furniture. An earlier and - like it was said - first plastic chair ever, the chunky, but stackable and weatherproof children's chair ""K4999"" was designed in 1964 in cooperation with the designers Marco Zanuso and Richard Sapper. While they produced only householdware and little lamp series at Kartell, was the century of the plastic furnitureintroduced by the small ""K4999"".In the 1960ies Kartell managed in the labs the research, so that designers could design their designs with always new patent plastics. Italian Design-like Joe Colombo, Achille Castiglioni, Vico Magistretti or Anna Castelli Ferrieri designed on this basis different furniture series made of plastic, which are today classics. To this belong e.g. Joe Colombos stackable chair 4867 (1968), which is a bestseller or the stackable Container-Element 4970/84 by Anna Castelli Ferrieri (1967), which are build without any screws and other fastenings and which are still a inherent part in the programm of Kartell.",,"Antonio Citterio, Toan Nguyen, Kartell, Spoon table, table",,,,,,,,metal,1,Default Category|Tables,,,
Products without Electronics,approved,Simple,,02K01SP-01,1,Spoon Table White,,,1990.00,,,,Spoon Table White by Kartell | Tables at Velle,,Spoon Table White by Kartell. Buy this popular design table and more design furnitures in your online shop | Velle,/spoon-table-white-kartell,100,white,2000,900,720,,,,02K01SP,,B1
Products without Electronics,approved,Simple,,02K01SP-02,1,Spoon Table Black,,,1990.00,,,,Spoon Table Black by Kartell | Tables at Velle,,Spoon Table Black by Kartell. Buy this popular design table and more design furnitures in your online shop | Velle,/spoon-table-black-kartell,100,black,2000,900,720,,,,02K01SP,,B1
Products without Electronics,approved,Simple,,02K01SP-03,1,Spoon Table Orange,,,1990.00,,,,Spoon Table Orange by Kartell | Tables at Velle,,Spoon Table Orange by Kartell. Buy this popular design table and more design furnitures in your online shop | Velle,/spoon-table-orange-kartell,100,orange,2000,900,720,,,,02K01SP,,B1
Products without Electronics,approved,Config,,02T01S1,0,S 1195,"A folding table with clear, reserved aesthetics and high qualityThe S 1195 is folding table that does not give away this practical characteristic at first glance. It has clear, reserved aesthetics and high quality in its materials and processing. It is mainly used in the training and seminar sector, where its special features best come into play: the large amount of leg room due to the table legs being positioned close to the corners of the tabletop, the easy assembly and disassembly, and the space saving storage since the tables can be tightly stacked when folded up. Matching carts with a push bracket are available for transport.Folding tables in two sizes, frame chrome-plated tubular steel, tabletops made of laminate or with natural beech veneer. Edge veneer in plastic or natural beech. Transport cart with loading platform","A folding table with clear, reserved aesthetics and high qualityThe S 1195 is folding table that does not give away this practical characteristic at first glance. It has clear, reserved aesthetics and high quality in its materials and processing. It is mainly used in the training and seminar sector, where its special features best come into play: the large amount of leg room due to the table legs being positioned close to the corners of the tabletop, the easy assembly and disassembly, and the space saving storage since the tables can be tightly stacked when folded up. Matching carts with a push bracket are available for transport.Folding tables in two sizes, frame chrome-plated tubular steel, tabletops made of laminate or with natural beech veneer. Edge veneer in plastic or natural beech. Transport cart with loading platform",,19.00,Thonet,"In 1830, Michael Thonet began experimenting with what was soon to be known as ""bentwood"" furniture and it was not long before Thonet and his sons were producing this furniture on an industrial scale. The name Thonet quickly became synonymous with a high standard of exquisite craftsmanship and Thonet's bentwood products soon joined the ranks of the most famous and most imitated furniture products of modern times. In 1987 Shelby Williams, purchased Thonet Industries U.S.A and Thonet's US business formally came of age and separated from its European parent which remains under the control of the Thonet family in Germany.Here in the US the Thonet brand along with Shelby Williams is an integral part of the CF Group portfolio which includes the Falcon and Howe brands",,"manufacturers, thonet, tables, table, conference, conference tables, desks, rooms, office, conference room, executive office, S 1195",,,,,,,,wood,1,Default Category|Tables,,,
Products without Electronics,approved,Simple,,02T01S1-01,1,S 1195 White,,,950.00,,,,S 1195 White by Thonet | Tables at Velle,,S 1195 White by Thonet & Delphin Design. Buy this wonderful table and more design furnitures in your online shop | Velle,/s-1195-white-thonet ,100,white,1400,800,740,,,,02T01S1,,B1
Products without Electronics,approved,Simple,,02T01S1-02,1,S 1195 Black,,,950.00,,,,S 1195 White by Thonet | Tables at Velle,,S 1195 Black by Thonet & Delphin Design. Buy this wonderful table and more design furnitures in your online shop | Velle,/s-1195-black-thonet,100,black,1400,800,740,,,,02T01S1,,B1
Products without Electronics,approved,Simple,,02T01S1-03,1,S 1195 Grey,,,950.00,,,,S 1195 White by Thonet | Tables at Velle,,S 1195 Grey by Thonet & Delphin Design. Buy this wonderful table and more design furnitures in your online shop | Velle,/s-1195-grey-thonet,100,grey,1400,800,740,,,,02T01S1,,B1
Products without Electronics,approved,Config,,03V01FR,0,Freeform Sofa," Noguchi's sculptural idiom gains full expression in the Freeform Sofa, which clearly distinguishes itself from other designs of the same period. The sofa seems almost like a greatly enlarged sculpture of flat, rounded river stones; yet at the same time, its slender organic form is graceful and vigorous. Noguchi emphasized this effect with thin, but extremely comfortable upholstery padding and a choice of cover fabrics in natural colors. Produced around 1950, today the few remaining pieces achieve record prices at auction. Since 2002, the group has been produced by the Vitra Design Museum as a fully authentic re-edition. The sofa is suitable not only for use in the living room, but also in lobbies, hotels and retail shops.Features:Wooden beech frameClassic upholstery with removable fabric coverIvory sofa comes with maple legsDesign is the process by which almost all objects in Vitra's surroundings are instilled with a specific design and function - from cars to paper clips, from clothing to chairs. And design does not just mean giving things a shape. Design creates the basis which enables things to function in the desired manner. It is a process in which complementary but often mutually contradictory requirements have to be met (comfort, technology, ergonomics, ecology, economics, aesthetics). Design can be successful only when the balance of all these factors is attained.Once in the factory, Vitra staff manufacture furniture to precise standards, individually ensuring the quality of each product.Vitra has been certified for DIN EN ISO 9001: 2000.Vitra's focus on quality does not end at the factory door - they believe that providing clients with exceptional service is just as important as manufacturing furniture. In order to make certain Vitra clients enjoy consistently high quality in all Vitra products, they have set up their own test center which monitors products against criteria that are far more stringent than the statutory standardsErgonomics is an applied science that studies the relationship between human beings and machines. Vitra produces furniture that responds to the ergonomic requirements of the body and as a consequence has a positive effect on health and well-being. All Vitra products (except for the experimental series Vitra Edition) have been tested by independent institutions. They comply with prescribed standards under the European Directive on VDU Work and are marked with the GS seal (= Gepr fte Sicherheit or Tested Safety, seal of the independent certification company LGA).Vitra's contribution to ecological conservation does not stop with a close examination of materials and processes. All aspects of the company's work involve ecological thinking.In 1991, Vitra set up an internal ecology committee to discuss environmental topics. This team identifies new tasks, and its project teams work together to find solutions.Vitra uses only non-CFC foams and adhesives free of toxic solvents; all possible materials are recycled. Wherever possible, Vitra uses recycled materials.Vitra's goal during production is to minimize noise and emission levels as well as to reduce waste. Packaging materials are kept to a minimum and re-used as often as possible.Green and light gray sofas come with walnut colored legs"," Noguchi's sculptural idiom gains full expression in the Freeform Sofa, which clearly distinguishes itself from other designs of the same period. The sofa seems almost like a greatly enlarged sculpture of flat, rounded river stones; yet at the same time, its slender organic form is graceful and vigorous. Noguchi emphasized this effect with thin, but extremely comfortable upholstery padding and a choice of cover fabrics in natural colors. Produced around 1950, today the few remaining pieces achieve record prices at auction. Since 2002, the group has been produced by the Vitra Design Museum as a fully authentic re-edition. The sofa is suitable not only for use in the living room, but also in lobbies, hotels and retail shops.Features:Wooden beech frameClassic upholstery with removable fabric coverIvory sofa comes with maple legsDesign is the process by which almost all objects in Vitra's surroundings are instilled with a specific design and function - from cars to paper clips, from clothing to chairs. And design does not just mean giving things a shape. Design creates the basis which enables things to function in the desired manner. It is a process in which complementary but often mutually contradictory requirements have to be met (comfort, technology, ergonomics, ecology, economics, aesthetics). Design can be successful only when the balance of all these factors is attained.Once in the factory, Vitra staff manufacture furniture to precise standards, individually ensuring the quality of each product.Vitra has been certified for DIN EN ISO 9001: 2000.Vitra's focus on quality does not end at the factory door - they believe that providing clients with exceptional service is just as important as manufacturing furniture. In order to make certain Vitra clients enjoy consistently high quality in all Vitra products, they have set up their own test center which monitors products against criteria that are far more stringent than the statutory standardsErgonomics is an applied science that studies the relationship between human beings and machines. Vitra produces furniture that responds to the ergonomic requirements of the body and as a consequence has a positive effect on health and well-being. All Vitra products (except for the experimental series Vitra Edition) have been tested by independent institutions. They comply with prescribed standards under the European Directive on VDU Work and are marked with the GS seal (= Gepr fte Sicherheit or Tested Safety, seal of the independent certification company LGA).Vitra's contribution to ecological conservation does not stop with a close examination of materials and processes. All aspects of the company's work involve ecological thinking.In 1991, Vitra set up an internal ecology committee to discuss environmental topics. This team identifies new tasks, and its project teams work together to find solutions.Vitra uses only non-CFC foams and adhesives free of toxic solvents; all possible materials are recycled. Wherever possible, Vitra uses recycled materials.Vitra's goal during production is to minimize noise and emission levels as well as to reduce waste. Packaging materials are kept to a minimum and re-used as often as possible.Green and light gray sofas come with walnut colored legs",,19.00,Vitra,"This interdisciplinary approach enables a whole lot more to be part of the Vitra cosmos than only the furniture production: Vitra also stands for a design museum, for a collection of modern furniture and their archives, for workshop and publications about design and for an architecture understanding, which includes constructions by Frank Gehry, Nicholas Grimshaw, Zaha Hadid, Tadao Ando, Alvaro Siza, Herzog & de Meuron and SANAA in the main headquarter in Birsfelden (Switzerland) and on the Vitra Campus in Weil am Rhein (Germany). Accessories, sculptures and objects for children are also produced by Vitra today.All of these different areas enabled Vitra’s success in the past decades. The success history of the family company however was only possible by the consequent connection of good design and high quality. It doesn’t matter out of which material a Vitra-product is made, one thing is sure: the material and production quality are among the best ones on the market. Sustainability is also a part of it: Vitra finds it self-understanding that production, usage and disposal of a piece of furniture don’t harm since the company’s foundation in 1950. The longevity of the products is the most important premise, which has been embossed by Charles & Ray Eames in that time: Material as well as design are made to last for decades according to the Vitra company.",,"chair, Design, Shop, Velle, online shop, Vitra, freeform, couches, couch",,,,,,,,textile,1,Default Category|Sofas & Couches,,,
Products without Electronics,approved,Simple,,03V01FR-01,1,Freeform Sofa White,,,10975.00,,,,Freeform Sofa White by Thonet | At Velle,,Freeform white couch by VITRA. Buy this couch and more design sofas in your design furniture online shop | Velle,/freeform-white-vitra,100,white,3000,1300,720,,,,03V01FR,,B1
Products without Electronics,approved,Simple,,03V01FR-02,1,Freeform Sofa Green,,,10975.00,,,,Freeform Sofa Green by Thonet | At Velle,,Freeform green couch by VITRA. Buy this couch and more design sofas in your design furniture online shop | Velle,/freeform-green-vitra,100,green,3000,1300,720,,,,03V01FR,,B1
Products without Electronics,approved,Simple,,03V01FR-03,1,Freeform Sofa Red,,,10975.00,,,,Freeform Sofa Red by Thonet | At Velle,,Freeform red couch by VITRA. Buy this couch and more design sofas in your design furniture online shop | Velle,/freeform-red-vitra,100,red,3000,1300,720,,,,03V01FR,,B1
Products without Electronics,approved,Config,,03K01BU,0,Bubble Club Sofa,"A veritable icon made by Kartell, the Bubble Club industrial sofa andarmchair, made entirely of mass-tinted polypropylene, has been thepioneer of a new concept in furniture accessories. Technology andresearch made it possible for Kartell to mass produce what wastraditionally handmade. Bubble Club is comfortable and roomy,characterized by the soft line of its armrests, in contrast with themore rational lines of the backrest. This is a minimalist silhouette,reminiscent of the lines of “granny’s sofa”. The sofa and armchair areproduced with the same finish and colours, making Bubble Club a completefamily and nothing less than an “industrial living-room”. Thanks totheir exceptional weather resistance, the Bubble Club family can surviveperfectly outdoors and are ideal for furnishing gardens, pool sides andpatios.","A veritable icon made by Kartell, the Bubble Club industrial sofa andarmchair, made entirely of mass-tinted polypropylene, has been thepioneer of a new concept in furniture accessories. Technology andresearch made it possible for Kartell to mass produce what wastraditionally handmade. Bubble Club is comfortable and roomy,characterized by the soft line of its armrests, in contrast with themore rational lines of the backrest. This is a minimalist silhouette,reminiscent of the lines of “granny’s sofa”. The sofa and armchair areproduced with the same finish and colours, making Bubble Club a completefamily and nothing less than an “industrial living-room”. Thanks totheir exceptional weather resistance, the Bubble Club family can surviveperfectly outdoors and are ideal for furnishing gardens, pool sides andpatios.",,19.00,Kartell,"In 1949 did Giulio Castelli found Kartell in Milan. Besides Alessi, Brinovega, Danese or Flos it belongs to the traditional, Italian design businesses. But Kartellis reckoned as a pioneer business of the plastic-furniture-production.While many manufacturers thought plastic is a cheap material, Kartell stacked to this material and made plastic as equal as all the other materials.Kartell is known since the beginning of the 1950ies with its production of houseware. Chasing power was the house designer Gino Colombini, who still serves comfortless and plain kitchen mashines like lemon juicer, garbage bins, or storing boxes in new, delicious colours and shapes.From the beginning to the middle of the 1960ies people experimented at Kartell with new production methods through which strong and tough plastic was won of which they could produce furniture. An earlier and - like it was said - first plastic chair ever, the chunky, but stackable and weatherproof children's chair ""K4999"" was designed in 1964 in cooperation with the designers Marco Zanuso and Richard Sapper. While they produced only householdware and little lamp series at Kartell, was the century of the plastic furnitureintroduced by the small ""K4999"".In the 1960ies Kartell managed in the labs the research, so that designers could design their designs with always new patent plastics. Italian Design-like Joe Colombo, Achille Castiglioni, Vico Magistretti or Anna Castelli Ferrieri designed on this basis different furniture series made of plastic, which are today classics. To this belong e.g. Joe Colombos stackable chair 4867 (1968), which is a bestseller or the stackable Container-Element 4970/84 by Anna Castelli Ferrieri (1967), which are build without any screws and other fastenings and which are still a inherent part in the programm of Kartell.",,"chair, Design, Shop, Velle, online shop, kartell, couches, couch, sofa. sofas",,,,,,,,plastic,1,Default Category|Sofas & Couches,,,
Products without Electronics,approved,Simple,,03K01BU-01,1,Bubble Club Sofa White,,,1090.00,,,,Bubble Club Sofa White by Kartell | Velle,,Bubble Club Sofa White by Kartell. Buy this couch and more design sofas in your design furniture online shop | Velle,/bubble-club-sofa-white-kartell,100,white,1950,770,800,,,,03K01BU,,B1
Products without Electronics,approved,Simple,,03K01BU-02,1,Bubble Club Sofa Black,,,1090.00,,,,Bubble Club Sofa Black by Kartell | Velle,,Bubble Club Sofa Black by Kartell. Buy this couch and more design sofas in your design furniture online shop | Velle,/bubble-club-sofa-black-kartell,100,black,1950,770,800,,,,03K01BU,,B1
Products without Electronics,approved,Simple,,03K01BU-03,1,Bubble Club Sofa Grey,,,1090.00,,,,Bubble Club Sofa Grey by Kartell | Velle,,Bubble Club Sofa Grey by Kartell. Buy this couch and more design sofas in your design furniture online shop | Velle,/bubble-club-sofa-grey-kartell,100,grey,1950,770,800,,,,03K01BU,,B1
Products without Electronics,approved,Simple,,03K01BU-04,1,Bubble Club Sofa Green,,,1090.00,,,,Bubble Club Sofa Green by Kartell | Velle,,Bubble Club Sofa Green by Kartell. Buy this couch and more design sofas in your design furniture online shop | Velle,/bubble-club-sofa-green-kartell,100,green,1950,770,800,,,,03K01BU,,B1
Products without Electronics,approved,Simple,,03K01BU-05,1,Bubble Club Sofa Red,,,1090.00,,,,Bubble Club Sofa Red by Kartell | Velle,,Bubble Club Sofa Red by Kartell. Buy this couch and more design sofas in your design furniture online shop | Velle,/bubble-club-sofa-red-kartell,100,red,1950,770,800,,,,03K01BU,,B1
Products without Electronics,approved,Simple,,03K01BU-06,1,Bubble Club Sofa Yellow,,,1090.00,,,,Bubble Club Sofa Yellow by Kartell | Velle,,Bubble Club Sofa Yellow by Kartell. Buy this couch and more design sofas in your design furniture online shop | Velle,/bubble-club-sofa-yellow-kartell,100,yellow,1950,770,800,,,,03K01BU,,B1
