slug,variant_id,sku,image_quality,lens_system,focus,shutter,Video,short_description-en,long_description-en,short_description-de,long_description-de
575_canon_160,1,25905585,,,,,,,,,
575_canon_165,1,25904598,,,,,,,,,
575_canon_285-hs,1,30688700,,,,,,,,,
575_canon_g9-x,1,30021637,,,,,,,,,
575_canon_rebel-sl1-ef-s-18-55mm,1,18146996,,,,,,,,,
575_canon_sx610-hs,1,25904691,,,,,,,,,
575_fujifilm_xp80,1,26224361,,,,,,,,,
575_panasonic_dmc-fz300,1,29393146,,,,,,,,,
575_panasonic_dmc-gh4-g-vario-hd-14-140mm,1,22766226,,,,,,,,,
575_panasonic_dmc-sz10,1,26141878,,,,,,,,,
575_panasonic_dmc-tz57eg,1,26933260,,,,,,,,,
575_sony_dsc-w630,1,12255434,,,,,,,,,
584_canon_hf-g25,1,17365820,,,,,,,,,
584_canon_hf-g30,1,18662566,,,,,,,,,
584_canon_hf-r606,1,25910847,,,,,,,,,
584_canon_hf-r66,1,25955264,,,,,,,,,
584_ricoh_theta-s,1,30150732,,,,,,,,,
584_samsung_hmx-f90wp,1,17681791,,,,,,,,,
584_samsung_mini-dv-camcorder-black,1,828188,,,,,,,,,
584_sony_fdr-ax33,1,25904159,,,,,,,,,
584_sony_hdr-cx405,1,25904123,,,,,,,,,
584_sony_hdr-mv1,1,19692589,,,,,,,,,
584_sony_hxr-mc2500e,1,24788780,,,,,,,,,
584_sony_nex-vg30e,1,15619960,,,,,,,,,
584_sony_pxw-fs5k,1,29851280,,,,,,,,,
584_toshiba_camileo-s30,1,6350138,,,,,,,,,
584_toshiba_camileo-s40,1,15721464,,,,,,,,,
897_acer_one-7-b1-770,1,29545800,,,,,,,,,
897_asus_z170c-1b012a,1,29525342,,,,,,,,,
897_asus_z170c-1l019a,1,29525343,,,,,,,,,
897_asus_z300c-1a069a,1,29518547,,,,,,,,,
897_asus_z300c-1b053a,1,29518551,,,,,,,,,
897_asus_z380c-1l051a,1,29565391,,,,,,,,,
897_asus_z580ca-1a032a,1,28373128,,,,,,,,,
897_asus_z580ca-1b024a,1,29565389,,,,,,,,,
897_hp_1000-g2,1,26289661,,,,,,,,,
897_hp_608-g1,1,28586825,,,,,,,,,
897_hp_elite-x2-1012-g1,1,30375360,,,,,,,,,
897_hp_pro-slate-10-ee-g1,1,25988329,,,,,,,,,
897_hp_pro-slate-8,1,25893779,,,,,,,,,
897_lenovo_3-8,1,29414094,,,,,,,,,
897_lenovo_3-pro-10,1,29743301,,,,,,,,,
897_lenovo_a10-70,1,27262160,,,,,,,,,
897_lenovo_miix-300-10iby,1,30274741,,,,,,,,,
897_lenovo_tab-2-a7-10f,1,26072016,,,,,,,,,
897_lenovo_thinkpad-8,1,22626962,,,,,,,,,
897_panasonic_fz-b2,1,24980927,,,,,,,,,
897_samsung_80,1,29385583,,,,,,,,,
897_samsung_96,1,28547942,,,,,,,,,
897_samsung_sm-t550,1,26981568,,,,,,,,,
897_samsung_sm-t550n,1,26564922,,,,,,,,,
897_samsung_sm-t560,1,29536449,,,,,,,,,
897_samsung_sm-t670,1,30345097,,,,,,,,,
897_sony_z2,1,21811723,,,,,,,,,
897_sony_z2-tablet,1,26974234,,,,,,,,,
897_sony_z3-compact,1,24692598,,,,,,,,,
