feature_id,sid,tid,measure_id,type,class,limit_direction,searchable,restricted_values,updated,last_published,value_sorting,avoid_auto_ordering,num_products,highlight_supplier_id,brand_specific
37,698,75,32,numerical,0,0,0,,2010-09-06 16:30:03,1283783403,0,0,43251,0,0
38,699,76,32,numerical,0,0,0,,2010-09-06 16:30:03,1283783403,0,0,42024,0,0
39,709,1499,29,multi_dropdown,0,3,0,1:1\n2:3\n3:2\n4:3\n5:4\n15:10\n16:4\n16:9\n16:10\n17:6\n17:9\n21:9\n14:9\n2.35:1\nUnspecified\n4:5\n3:4\n2.40:1\n1.85:1\n4:1\n15:9\n17:10\n12:5\n18:5\n128:75\n10:6\n13.5:9\n9:16\n1.78:1\n1.33:1\n1.66:1\n10:9\n5:3\n20:9\n1.25:1\n2.22:1\n1.37:1\n4:4\n21:1,2016-01-22 14:13:31,1302851408,0,0,269462,0,0
40,710,570,29,text,1,0,0,,2013-03-12 11:51:03,1363090249,0,0,4,0,0
42,712,445,21,numerical,0,2,0,,2008-02-12 13:19:47,1202818787,0,0,18868,0,0
45,715,446,21,numerical,0,2,0,,2008-02-12 13:19:47,1202818787,0,0,12836,0,0
46,716,409,29,y_n,0,3,0,Y\nN,2008-11-12 12:29:47,1226489387,0,0,38992,0,0
47,717,259,29,text,0,0,0,,2010-03-09 16:30:03,1268148603,0,0,377954,0,0
48,718,1342,33,numerical,0,2,0,,2008-03-09 17:19:09,1205079549,0,0,34430,0,0
49,719,151,24,3d,0,0,0,,2011-07-03 13:10:20,1309691420,0,0,216209,0,0
50,720,109,29,text,1,0,0,,2006-02-07 19:02:14,1139335334,0,0,135,0,0
51,721,104,21,numerical,1,2,0,,2008-02-12 13:19:47,1202818787,0,0,8277,0,0
54,724,302,29,numerical,0,3,0,,2013-04-02 14:01:20,1353327090,0,0,3409,0,0
58,728,294,29,dropdown,0,3,0,Y\nN,2007-06-04 09:19:35,1180941575,0,0,96923,0,0
60,730,413,29,dropdown,0,3,0,35 mm\n48 mm\n100 x 150 mm\n102 x 127 mm\n108 x 300 mm\n108 x 991 mm\n203 x 339 mm\n215 x 355 mm\n216 x 406.4 mm\n220 x 300 mm\n220 x 315 mm\n297 x 432 mm\n432 x 610 mm\nA8 (52 x 74 mm)\nA5 (148 x 210 mm)\nA4 (210 x 297 mm)\nA4 / Letter (216 x 297 mm)\nLegal (216 x 356 mm)\nA3 (297 x 420 mm)\nDIN A3 (310 x 437 mm)\n304.8 x 420 mm\n304.8 x 558.8 mm\nA2 (420 x 594 mm)\n254 x 558.8 mm\n257 x 364 mm\n210 x 1219 mm\n210 x 400 mm\n216 x 1200 mm\n40 x 90 mm\n364 x 660 mm\n152 x 229 mm\nA0 (841 x 1189 mm)\n183 x 272 mm\n183 x 265 mm\n149 x 265 mm\n406 x 559 mm\n216 x 432 mm\n305 x 457 mm\n305 x 600 mm\n220 x 355.6 mm\n329 x 483 mm\n168 x 1143 mm\n40 x 115 mm\n104 x 3988 mm\n104 x 1854 mm\n104 x 991 mm\n168 x 2591 mm\n168 x 1143 mm\n99 x 210 mm\nA3+ (330 × 483 mm)\n216 x 279 mm\n279 x 432 mm\n203 mm\n104 x 914 mm\n56 x 914 mm\n328 x 1200 mm\n297 x 630 mm\n297 x 84 mm\n216 x 1110 mm\n420 x 559 mm\n297 x 559 mm\n105.7 x 1397 mm\n105.7 x 2514.6 mm\n72 x 813 mm\n48 x 813 mm\n73.7 x 914 mm\n48.3 x 914 mm\n104 x 2667 mm\n65 x 244 mm\n216 x 762 mm,2014-06-09 12:08:42,1299744621,0,0,11946,0,0
61,731,298,35,2d,0,3,0,,2008-03-09 17:19:09,1205079549,0,0,23303,0,0
63,733,472,165,numerical,0,2,0,,2010-02-22 12:30:47,1266838247,0,0,24844,0,0
64,734,1503,19,numerical,0,0,0,,2008-03-09 17:19:09,1205079549,0,0,171,0,0
65,735,730,20,numerical,0,0,0,,2008-03-09 17:19:09,1205079549,0,0,10871,0,0
66,736,729,19,numerical,0,0,0,,2008-03-09 17:19:09,1205079549,0,0,107690,0,0
67,737,728,29,text,0,0,0,,2007-10-31 15:19:09,1193840349,0,0,109840,0,0
68,738,727,19,numerical,0,0,0,,2008-03-09 17:19:09,1205079549,0,0,119650,0,0
70,740,1504,29,text,0,0,0,,2006-02-07 19:02:14,1139335334,0,0,272,0,0
71,741,1505,29,text,0,0,0,,2007-05-01 17:19:42,1178032782,0,0,20,0,0
74,744,828,33,numerical,0,2,0,,2008-03-09 17:19:09,1205079549,0,0,20648,0,0
75,745,1506,29,text,0,3,0,,2006-05-29 15:20:07,1148908807,0,0,162673,0,0
77,747,305,29,text,1,0,0,,2006-02-07 19:02:14,1139335334,0,0,67,0,0
78,748,310,29,dropdown,0,3,0,Inkjet\nLaser\nLED\nDye-sublimation\nDirect thermal\nThermal Transfer\nThermal Inkjet\nDot Matrix\nDrum-serial\nUniversal\nLaser/Inkjet,2012-05-21 13:41:36,1291824607,0,0,76330,0,0
80,750,148,39,2d,0,3,0,,2008-03-09 17:19:09,1205079549,0,0,3106,0,0
82,752,410,35,2d,0,0,0,,2008-04-16 19:19:08,1208366348,0,0,218,0,0
83,753,128,29,text,0,0,0,,2011-07-26 17:09:06,1311692946,0,0,155373,0,0
84,754,153,29,text,1,0,0,,2007-03-12 13:19:52,1173701992,0,0,1444,0,0
85,755,1507,29,text,0,0,0,,2008-04-13 13:19:06,1208085546,0,0,769,0,0
86,756,123,29,textarea,1,0,0,,2006-02-07 19:02:14,1139335334,0,0,3107,0,0
88,758,1509,29,text,0,0,0,,2011-07-01 09:10:32,1309504232,0,0,8,0,0
90,760,1510,36,range,0,0,0,,2010-06-24 10:30:08,1277368208,0,0,13822,0,0
91,761,1511,24,numerical,0,2,0,,2012-07-10 08:33:39,1341904215,0,0,6309,0,0
92,762,1512,24,numerical,0,2,0,,2012-07-10 08:33:55,1341904215,0,0,6348,0,0
93,763,1513,24,numerical,0,0,0,,2008-03-09 17:19:09,1205079549,0,0,4573,0,0
94,764,468,38,numerical,0,1,0,,2008-03-09 17:19:09,1205079549,0,0,955450,0,0
95,780,145,44,numerical,1,0,0,,2010-10-12 14:30:09,1286886609,0,0,1760,0,0
247,932,121,29,textarea,1,0,0,,2012-10-27 12:56:48,1351336255,0,0,210,0,0
248,933,86,29,text,0,0,0,,2011-09-14 15:10:16,1316005816,0,0,9055,0,0
249,934,87,29,textarea,0,0,0,,2010-07-19 12:30:08,1279535408,0,0,170969,0,0
250,935,141,29,textarea,1,0,0,,2006-02-07 19:02:14,1139335334,0,0,985,0,0
251,936,140,29,textarea,0,0,0,,2010-09-24 12:30:10,1285324210,0,0,125009,0,0
341,1026,88,29,textarea,1,0,0,,2010-06-21 14:30:07,1277123407,0,0,0,0,0
342,1027,89,29,text,1,0,0,,2011-03-03 09:10:05,1299139805,0,0,2190,0,0
427,1112,108,29,text,0,3,0,,2007-10-23 23:19:02,1193174342,0,0,443529,0,0
430,1115,118,28,dropdown,0,2,0,4200\n5400\n5900\n7200\n10000\n15000\nVariable,2011-01-31 12:29:13,1328868614,0,0,266475,0,0
431,1116,142,27,numerical,0,0,0,,2008-03-09 17:19:09,1205079549,0,0,4099,0,0
432,1117,137,29,multi_dropdown,0,0,0,802.11a\n802.11b\n802.11g\n802.11n\n802.11ac\nN\nUnspecified\n802.11ad,2015-03-17 16:16:50,1384265406,0,0,282491,0,0
434,1119,120,29,dropdown,0,3,0,Alkaline\nLithium-Ion (Li-Ion)\nLithium Polymer (LiPo)\nNickel–Cadmium (NiCd)\nNickel–Metal Hydride (NiMH)\nNickel-Zinc (NiZn)\nNickel-Oxyhydroxide (NiOx)\nSealed Lead Acid (VRLA)\nSilver-Oxide (S)\nZinc-Сarbon\nLithium\nPolymer\nLithium Iron Phosphate (LiFePo4)\nNickel-Manganese-Сobalt\nLi-NiCoMn,2015-07-15 16:47:17,1296663003,0,0,365628,0,0
436,1121,114,29,text,0,3,0,,2012-12-20 08:47:06,1355991015,0,0,194710,0,0
437,1122,129,29,text,1,0,0,,2008-02-18 15:19:13,1203344353,0,0,496,0,0
438,1123,343,24,2d,0,0,0,,2008-03-09 17:19:09,1205079549,0,0,3106,0,0
440,1125,138,29,text,0,0,0,,2011-05-17 13:11:58,1305630718,0,0,207486,0,0
442,1127,150,29,text,0,0,0,,2008-07-09 13:20:42,1215602442,0,0,273457,0,0
443,1128,146,29,text,1,0,0,,2007-02-18 05:19:57,1171772397,0,0,1405,0,0
445,1130,93,44,numerical,0,0,0,,2010-05-21 16:30:03,1274452203,0,0,114092,0,0
446,1131,84,29,text,0,0,0,,2006-02-07 19:02:14,1139335334,0,0,5492,0,0
447,1132,85,22,numerical,0,0,0,,2008-07-09 13:20:42,1215602442,0,0,35823,0,0
448,1215,1514,29,text,1,0,0,,2006-02-07 19:02:14,1139335334,0,0,0,0,0
449,1216,1515,29,text,0,0,0,,2010-06-22 16:30:08,1277217008,0,0,508,0,0
450,1217,1516,29,text,1,0,0,,2006-02-07 19:02:14,1139335334,0,0,178,0,0
451,1218,1517,24,numerical,1,0,0,,2008-03-09 17:19:09,1205079549,0,0,638,0,0
452,1219,1518,29,text,1,0,0,,2006-02-07 19:02:14,1139335334,0,0,0,0,0
453,1220,389,29,text,1,0,0,,2007-05-30 21:19:37,1180552777,0,0,610,0,0
454,1221,1519,29,multi_dropdown,0,0,0,WEP\n40-bit WEP\n64-bit WEP\n128-bit WEP\n152-bit WEP\n256-bit WEP\n128-bit AES\n256-bit AES\nAES\nWPA\nWPA2\nWPA-AES\nWPA-EAP\nWPA-PSK\nWPA-TKIP\nWPA2-PSK\nWPA2-EAP\nWPS\nWPS-PBC\nWPS-PIN\nWPS-NFC\nWPS-USB\nSSH\nSSID\nWDS\nSSL/TLS\nEAP\nEAP-TLS\nEAP-TTLS\n802.1x RADIUS\nDES\n3DES\nSHA-1\nHTTPS\nFIPS 140-2\nCCX v4\nLEAP\nMD5\nPEAP\nTKIP\nUnspecified\nN\nSRTP\n56-bit AES\nSSH-2\nWAPI\n104-bit WEP\nWPA2-CCMP\nWPA2-AES\nWPA2-TKIP\n192-bit AES\n512-bit AES\nEAP-FAST\nFTPES\nRSA\nWHQL\n64-bit AES\nEAP-SIM\nWPA2-RADIUS\n128-bit RC4\nEAP-MD5\nSMTP-AUTH\nSNMP\nAPOP\nMSCHAPv2\n256-bit TwoFish\nRipeMD160\nSIPS\nEAP-PEAP\nEAP-AKA\nIPPS\nCAST\nFIPS 197\nIPSEC,2015-11-15 12:48:39,1384279806,0,0,34300,0,0
455,1222,276,29,numerical,0,0,0,1\n2\n4\n5\n6\n7\n8\n9,2011-04-07 13:10:12,1302174612,0,0,7986,0,0
456,1223,1520,60,numerical,1,0,0,,2008-03-09 17:19:09,1205079549,0,0,0,0,0
458,1225,1521,29,text,1,0,0,,2007-10-17 15:19:06,1192627146,0,0,1096,0,0
459,1226,1522,29,multi_dropdown,0,0,0,Epson FX\nEpson ESC/P2\nOKI ML\nIBM ProPrinter\nLIDIL\nPCL 3\nPCL 4\nPCL 5\nPCL 5c\nPCL 5e\nPCL 6\nPCL XL\nPDF 1.3\nPDF 1.4\nPDF 1.5\nPDF 1.6\nPDF 1.7\nPostScript 3\nXHTML\nPPDS\nRPCS\nMicrosoft XPS\nBR-Script 3\nUFRII-LT\nSIDM\nTIFF\nSPL-C\nSPL\nXML\nZPL II\nZPL\nEPL\nIPL\nPML\nGDI\nCPCL-native\nCAPT\nEPL2\nBPL\nEpson LQ\nHP-GL/2\nGARO\nHP-RTL\nPCL 6C\nPCL 5Ce\nPJL\nEpson LX\nPDF 1.7+\nESC P\nDiablo 630\nTSPL-EZ\nFujitsu DPL24C PLU\nIBM ProPrinter XL24E\nPostScript 2\nBrother ADT\nURF\nESC/P-R\nESC/P-P\nRaster_P\nESC/P_B\nPCXL\nESC/POS\nPWG,2015-12-17 18:12:11,1301656248,0,0,9023,0,0
460,1227,1523,59,numerical,0,0,0,,2012-05-03 13:34:14,1336050604,0,0,1004,0,0
461,1228,1524,59,numerical,0,0,0,,2011-03-31 15:05:38,1301576738,0,0,304,0,0
462,1229,292,62,numerical,1,0,0,,2012-10-31 11:10:02,1351678303,0,0,208,0,0
463,1230,1525,29,text,0,0,0,,2006-02-07 19:02:14,1139335334,0,0,169,0,0
464,1231,1526,29,text,1,0,0,,2007-03-11 23:19:51,1173651591,0,0,0,0,0
465,1232,1527,29,text,1,0,0,,2006-02-07 19:02:14,1139335334,0,0,97,0,0
466,1233,398,29,text,1,0,0,,2006-02-07 19:02:14,1139335334,0,0,134,0,0
467,1234,750,62,numerical,1,0,0,,2012-10-31 11:10:02,1351678303,0,0,118,0,0
468,1235,1528,29,y_n,1,0,0,,2007-03-11 23:19:51,1173651591,0,0,1,0,0
469,1236,1529,29,text,0,0,0,,2006-02-07 19:02:14,1139335334,0,0,568,0,0
470,1237,126,29,textarea,1,0,0,,2007-12-07 15:19:31,1197037171,0,0,42055,0,0
471,1238,1530,60,numerical,1,0,0,,2008-03-09 17:19:09,1205079549,0,0,13,0,0
472,1239,1531,29,text,0,0,0,,2010-10-26 22:30:04,1288125004,0,0,7053,0,0
473,1240,945,65,range,1,0,0,,2008-03-09 17:19:09,1205079549,0,0,1761,0,0
474,1241,1532,29,multi_dropdown,0,0,0,On\nOff\nBack\nForward\nZoom in\nZoom out\nDPI switch\nScan\nCancel\nUp\nDown,2013-08-13 08:48:42,1309705817,0,0,644,0,0
475,1242,1533,24,numerical,1,0,0,,2008-03-09 17:19:09,1205079549,0,0,107,0,0
476,1243,435,29,text,1,0,0,,2006-02-07 19:02:14,1139335334,0,0,574,0,0
477,1244,125,29,text,0,0,0,,2007-05-31 09:19:35,1180595975,0,0,36125,0,0
478,1245,1534,59,numerical,1,0,0,,2008-03-09 17:19:09,1205079549,0,0,2,0,0
479,1246,1535,35,numerical,1,0,0,,2008-03-09 17:19:09,1205079549,0,0,422,0,0
480,1247,1536,29,text,0,0,0,,2006-02-07 19:02:14,1139335334,0,0,134,0,0
481,1248,1537,29,text,1,0,0,,2006-02-07 19:02:14,1139335334,0,0,117,0,0
482,1249,1538,29,text,1,0,0,,2007-03-12 13:19:52,1173701992,0,0,0,0,0
483,1250,767,29,text,0,3,0,Y\nN,2012-06-26 13:16:47,1336641009,0,0,26219,0,0
485,1252,1540,59,numerical,1,0,0,,2008-03-09 17:19:09,1205079549,0,0,2,0,0
486,1253,1541,17,numerical,1,0,0,,2008-03-16 09:19:06,1205655546,0,0,1091,0,0
487,1254,1542,29,3d,1,0,0,,2009-11-25 16:30:02,1259163002,0,0,322,0,0
488,1255,299,59,numerical,0,2,0,,2008-03-09 17:19:09,1205079549,0,0,7617,0,0
489,1256,1543,29,text,1,0,0,,2007-04-28 11:19:43,1177751983,0,0,442,0,0
490,1257,272,29,y_n,1,0,0,,2007-03-12 13:19:52,1173701992,0,0,148,0,0
491,1258,1544,29,text,0,0,0,,2007-05-01 17:19:42,1178032782,0,0,846,0,0
492,1259,296,116,numerical,1,0,0,,2008-02-12 13:19:47,1202818787,0,0,291,0,0
493,1260,279,29,textarea,1,0,0,,2008-07-09 13:20:42,1215602442,0,0,1577,0,0
494,1261,1545,29,text,0,0,0,,2007-03-12 13:19:52,1173701992,0,0,679,0,0
495,1262,1546,29,y_n,0,0,0,,2007-03-11 23:19:51,1173651591,0,0,116,0,0
499,1266,1547,35,numerical,1,0,0,,2008-03-09 17:19:09,1205079549,0,0,6,0,0
500,1267,1548,59,numerical,1,0,0,,2008-03-09 17:19:09,1205079549,0,0,1,0,0
501,1268,1549,24,numerical,1,0,0,,2008-03-09 17:19:09,1205079549,0,0,75,0,0
502,1269,1550,29,text,0,0,0,,2007-03-12 09:19:51,1173687591,0,0,15945,0,0
503,1270,1551,59,numerical,1,0,0,,2008-03-09 17:19:09,1205079549,0,0,39,0,0
504,1271,1552,29,text,1,0,0,,2007-03-11 23:19:51,1173651591,0,0,137,0,0
505,1272,1553,29,text,1,0,0,,2006-02-07 19:02:14,1139335334,0,0,0,0,0
506,1273,1554,59,numerical,1,0,0,,2008-03-09 17:19:09,1205079549,0,0,0,0,0
507,1274,1555,29,text,0,0,0,,2013-11-07 15:34:03,1383840604,0,0,0,0,0
508,1275,273,29,text,1,0,0,,2007-03-12 13:19:52,1173701992,0,0,318,0,0
509,1276,1556,59,numerical,1,0,0,,2008-03-09 17:19:09,1205079549,0,0,24,0,0
510,1277,1557,29,y_n,1,0,0,,2007-03-11 21:19:52,1173644392,0,0,0,0,0
511,1278,944,65,range,1,0,0,0-40\n10-35\n10-35\n15-35\n41-104° F\n41-113° F\n41-95° F\n5-35\n50-91° F\n50-95° F\n59-95° F,2008-03-09 17:19:09,1205079549,0,0,629,0,0
512,1279,1558,59,numerical,1,0,0,,2010-08-20 16:30:03,1282314603,0,0,1,0,0
513,1280,1559,17,numerical,1,0,0,,2008-03-09 17:19:09,1205079549,0,0,1852,0,0
514,1281,1560,29,text,0,3,0,,2015-08-07 17:44:27,1438967409,0,0,52969,0,0
515,1282,400,29,text,0,0,0,,2006-02-07 19:02:14,1139335334,0,0,367,0,0
516,1283,1561,29,text,1,0,0,,2006-02-07 19:02:14,1139335334,0,0,158,0,0
517,1284,1562,60,numerical,1,0,0,,2008-03-09 17:19:09,1205079549,0,0,1,0,0
518,1285,1563,29,text,1,0,0,,2007-03-12 13:19:52,1173701992,0,0,2,0,0
519,1286,1564,29,text,1,0,0,,2007-06-01 19:19:36,1180718376,0,0,261,0,0
521,1288,1565,29,text,1,0,0,,2006-02-07 19:02:14,1139335334,0,0,4,0,0
522,1289,1566,59,numerical,1,0,0,,2008-03-09 17:19:09,1205079549,0,0,30,0,0
523,1290,1567,24,numerical,1,0,0,,2008-03-09 17:19:09,1205079549,0,0,635,0,0
524,1291,1568,29,text,0,0,0,,2006-02-07 19:02:14,1139335334,0,0,374,0,0
525,1292,1569,29,text,1,0,0,,2008-02-05 11:19:25,1202206765,0,0,709,0,0
526,1293,264,29,text,1,0,0,,2006-02-07 19:02:14,1139335334,0,0,702,0,0
527,1294,1570,59,numerical,1,0,0,,2008-03-09 17:19:09,1205079549,0,0,303,0,0
528,1295,289,29,text,1,0,0,,2006-02-07 19:02:14,1139335334,0,0,0,0,0
529,1296,1571,59,numerical,1,0,0,,2008-03-09 17:19:09,1205079549,0,0,8,0,0
530,1297,1572,24,3d,1,0,0,,2009-11-25 16:30:02,1259163002,0,0,1871,0,0
531,1298,1573,59,numerical,0,0,0,,2011-03-31 15:05:38,1301576738,0,0,517,0,0
532,1299,1574,60,numerical,1,0,0,,2008-03-09 17:19:09,1205079549,0,0,0,0,0
533,1300,1575,46,numerical,0,0,0,,2011-08-13 07:28:46,1313213326,0,0,21448,0,0
534,1301,1576,35,2d,0,0,0,,2008-03-09 17:19:09,1205079549,0,0,461,0,0
536,1303,1577,29,y_n,0,0,0,,2008-02-18 15:19:13,1203344353,0,0,27913,0,0
537,1304,268,29,text,0,3,0,,2006-03-26 05:20:02,1143343202,0,0,7384,0,0
538,1305,1578,19,numerical,0,0,0,,2008-07-09 13:20:42,1215602442,0,0,21435,0,0
539,1306,1579,29,y_n,1,0,0,,2007-06-01 21:19:37,1180725577,0,0,17,0,0
540,1307,755,62,numerical,1,0,0,,2012-10-31 11:10:02,1351678303,0,0,224,0,0
541,1308,1580,29,numerical,0,0,0,,2010-03-17 10:30:02,1268818202,0,0,13998,0,0
545,1312,1582,55,numerical,1,0,0,,2012-11-19 13:10:02,1353327090,0,0,8,0,0
547,1314,306,29,text,1,0,0,,2007-03-11 23:19:51,1173651591,0,0,269,0,0
548,1315,1583,29,text,0,0,0,,2006-02-07 19:02:14,1139335334,0,0,4,0,0
549,1316,766,29,text,0,0,0,,2007-08-07 11:19:21,1186478361,0,0,479,0,0
550,1317,1584,29,text,0,0,0,,2007-03-12 09:19:51,1173687591,0,0,458,0,0
551,1318,1585,29,text,1,0,0,,2006-02-07 19:02:14,1139335334,0,0,3,0,0
552,1319,318,58,numerical,0,0,0,,2008-04-25 19:19:19,1209143959,0,0,7182,0,0
554,1321,444,29,text,1,0,0,,2007-05-08 15:19:40,1178630380,0,0,0,0,0
556,1323,1588,59,numerical,1,0,0,,2008-03-09 17:19:09,1205079549,0,0,62,0,0
557,1324,1589,29,text,0,0,0,,2007-03-12 13:19:52,1173701992,0,0,24711,0,0
558,1325,261,59,numerical,0,2,0,,2008-03-09 17:19:09,1205079549,0,0,15538,0,0
559,1326,1590,29,text,1,0,0,,2006-02-07 19:02:14,1139335334,0,0,0,0,0
561,1328,1592,35,numerical,1,0,0,,2008-03-09 17:19:09,1205079549,0,0,3,0,0
562,1329,1593,29,multi_dropdown,0,3,0,Print\nCopy\nScan\nFax\nDigital sender,2013-11-08 09:10:30,1341587418,0,0,6023,0,0
563,1330,1594,29,range,1,0,0,,2008-02-04 15:19:16,1202134756,0,0,264,0,0
564,1331,265,29,text,1,0,0,,2007-03-11 23:19:51,1173651591,0,0,806,0,0
566,1333,1596,56,numerical,0,2,0,,2013-04-03 09:42:09,1364980309,0,0,7731,0,0
567,1334,1597,59,numerical,1,0,0,,2008-03-09 17:19:09,1205079549,0,0,18,0,0
568,1335,1598,35,numerical,1,0,0,,2008-03-09 17:19:09,1205079549,0,0,389,0,0
569,1336,1599,29,text,0,0,0,,2006-02-07 19:02:14,1139335334,0,0,2415,0,0
573,1340,1601,29,text,0,0,0,,2006-02-07 19:02:14,1139335334,0,0,143,0,0
574,1341,103,19,numerical,0,2,0,,2010-12-09 13:10:04,1291896604,0,0,12696,0,0
575,1342,1602,29,text,0,0,0,,2007-03-12 09:19:51,1173687591,0,0,65,0,0
576,1343,740,29,text,0,0,0,,2007-03-12 09:19:51,1173687591,0,0,4635,0,0
578,1345,1603,29,text,1,0,0,,2006-02-07 19:02:14,1139335334,0,0,0,0,0
579,1346,100,29,text,1,0,0,,2006-02-07 19:02:14,1139335334,0,0,4177,0,0
580,1347,1604,29,numerical,0,0,0,,2008-02-18 15:19:13,1203344353,0,0,69,0,0
581,1348,271,29,y_n,1,0,0,,2007-03-11 23:19:51,1173651591,0,0,355,0,0
582,1349,1605,24,3d,0,0,0,,2011-07-04 15:11:14,1309785074,0,0,45996,0,0
584,1351,97,20,numerical,1,0,0,,2008-03-09 17:19:09,1205079549,0,0,1825,0,0
585,1352,520,76,numerical,1,0,0,,2008-03-09 17:19:09,1205079549,0,0,3321,0,0
586,1353,1606,29,numerical,1,0,0,,2008-03-16 09:19:06,1205655546,0,0,118,0,0
587,1354,1607,29,text,1,0,0,,2006-02-07 19:02:14,1139335334,0,0,6,0,0
588,1355,1608,29,text,0,0,0,,2006-02-07 19:02:14,1139335334,0,0,173,0,0
589,1356,1609,29,text,1,0,0,,2006-02-07 19:02:14,1139335334,0,0,0,0,0
590,1357,263,77,numerical,1,0,0,,2008-05-08 11:19:34,1210238374,0,0,216,0,0
591,1358,1610,29,text,1,0,0,,2013-12-02 16:28:14,1386000734,0,0,0,0,0
592,1359,287,24,2d,0,0,0,"35\n102 x 127\n108 x 300\n215 x 355\n215 x 863\n220 x 300\n220 x 315\n297 x 432\nA8 (52 x 74)\nA6 (105 x 148)\nA5 (148 x 210)\nA4 (210 x 297)\nA4 / Letter (216 x 297)\nLegal (216 x 356)\nA3 (297 x 420)\nDIN A3 (310 x 437)\nA (8.5 x 11"")",2008-08-17 21:21:55,1219000915,0,0,1892,0,0
593,1360,1611,35,2d,0,0,0,,2011-03-31 15:05:38,1301576738,0,0,1317,0,0
594,1361,1612,59,numerical,1,0,0,,2008-03-09 17:19:09,1205079549,0,0,33,0,0
595,1362,1613,29,text,1,0,0,,2006-02-07 19:02:14,1139335334,0,0,0,0,0
596,1363,105,29,numerical,0,0,0,,2011-04-07 13:10:12,1302174612,0,0,85592,0,0
598,1365,1615,116,numerical,0,0,0,,2008-02-12 13:19:47,1202818787,0,0,1015,0,0
599,1366,1616,60,numerical,1,0,0,,2008-03-09 17:19:09,1205079549,0,0,56,0,0
600,1367,284,62,numerical,0,0,0,,2012-10-31 11:10:02,1351678303,0,0,628,0,0
601,1368,1617,29,text,1,0,0,,2008-04-13 13:19:06,1208085546,0,0,0,0,0
603,1370,752,62,numerical,1,0,0,,2012-10-31 11:10:02,1351678303,0,0,19,0,0
604,1371,1619,29,text,1,0,0,,2007-03-12 13:19:52,1173701992,0,0,150,0,0
605,1372,1620,29,text,1,0,0,,2006-02-07 19:02:14,1139335334,0,0,45,0,0
606,1373,1621,29,text,0,0,0,,2007-04-25 15:19:45,1177507185,0,0,10200,0,0
607,1374,90,29,text,0,0,0,,2011-01-23 19:10:04,1295806204,0,0,15709,0,0
609,1376,1622,29,text,1,0,0,,2006-02-07 19:02:14,1139335334,0,0,127,0,0
610,1377,442,29,text,1,0,0,,2006-02-07 19:02:14,1139335334,0,0,118,0,0
