key,input_type,allow_input,is_multiple,values,key_translation.en_US,key_translation.de_DE,value_translations.en_US,value_translations.de_DE
pci_express_slots_version,number,yes,no,42403,PCI Express slots version,PCI Express-Slots-Version,,
pci_express_configurations,text,yes,no,"1x4, 4x1",PCI Express configurations,PCI Express Konfigurationen,,
os_version,number,yes,no,"4.4, 5.1, 6",OS version,OS Version,,
os_installed,text,no,no,Android,OS installed,OS installiert,,
optical_zoom,text,yes,no,"3 x, 5 x, 8 x, 10 x, 11 x, 12 x, 18 x, 52 x",Optical zoom,Optischer Zoom,,
optical_sensor_size,text,yes,no,2.5 cm,Optical sensor size,CCD_Sensorgröße,,
mhl_version,number,yes,no,3,MHL version,MHL Version,,
memory_slots,number,yes,no,42371,Memory slots,Speichersteckplätze,,
megapixel,text,yes,no,"18.2 MP, 20 MP, 20.2 MP",Megapixel,Megapixel,,
max_memory_card_size,text,yes,no,"32 GB, 128 GB, 200 GB",Max memory card size,Max Speicherkartengröße,,
internal_memory,text,no,no,32 GB,Max internal memory,RAM-Speicher max,,
light_exposure_modes,text,yes,no,manual,Light exposure modes,Belichtungstyp,manual,manuell
iso_sensitivity,number,yes,no,3200,ISO sensitivity,ISO Sensibilität,,
internal_storage_capacity,text,no,no,"1526 MB, 8 GB, 16 GB, 32 GB, 64 GB, 2.1 GB, 2.7 GB",Internal storage capacity,Interne Speicherkapazität,,
internal_ram,text,yes,no,"1 GB, 1.5 GB, 1536 MB, 2 GB, 2048 MB, 29 MB, 2GB, 3 GB, 4 GB, 512 MB, 512 MB, 70 MB, 8 GB",Internal RAM,RAM-Speicher,,
intel_smart_cache,text,no,no,"yes, no",Intel Smart Cache,Intel Smart Cache,"yes, no","ja, nein"
image_processor,text,yes,no,BIONZ,Image processor,Bild Prozessor,,
headphone_connectivity,text,yes,no,3.5 mm,Headphone connectivity,Headphone Verbindung,,
hdmi,text,no,no,"yes, no",HDMI,HDMI,"yes, no","ja, nein"
hd_type,text,yes,no,"Full HD, 4K Ultra HD, HD ready",HD type,HD Typ,,
graphics_adapter,text,yes,no,HD Graphics,Graphics adapter,Graphik Adapter,,
gps_satellite,text,no,no,"yes, no",GPS (satellite),GPS,"yes, no","ja, nein"
full_hd,text,no,no,"yes, no",Full HD,Full HD,"yes, no","ja, nein"
fsb_parity,text,no,no,"yes, no",FSB Parity,FSB Gleichwertigkeit,"yes, no","ja, nein"
front_camera_resolution,text,yes,no,2 MP,Front camera resolution,Frontkamera Auflösung,,
form_factor,text,no,no,"Clamshell, Bar, Slate",Form factor,Formfaktor,"Clamshell, Bar, Slate","Klappengehäuse, Balken, Schiefer"
focus_adjustment,text,yes,no,"Auto, Auto/Manual",Focus adjustment,Fokus Anpassung,"Auto, Auto/Manual","Auto, Auto/Manuell"
focus,text,yes,no,TTL,Focus,Fokus,,
flash_type,text,yes,no,LED,Flash type,Flash-Typ,,
flash_range_tele,text,yes,no,1.3-1.5 m,Flash range (tele),Blitzreichweiter (Tele),,
flash_memory,text,no,no,4 GB,Flash memory,Flash-Speicher,,
fingerprint_reader,text,no,no,"yes, no",Fingerprint reader,Fingerabdruckscanner,"yes, no","ja, nein"
filter_size,text,yes,no,"3.7 cm, 5.5 cm",Filter size,Filtergröße,,
field_of_view,text,yes,no,1,Field of view,Sichtfeld,,
face_detection,text,no,no,"yes, no",Face detection,Gesichtserkennung,"yes, no","ja, nein"
effective_megapixels,text,yes,no,10.3 MP,Effective megapixels,Effektive Megapixel,,
display_type,text,yes,no,"SAMOLED, OLED, LCD, IPS, TFT",Display type,Display Typ,,
display_technology,text,yes,no,"IPS, TFT",Display technology,Display Technologie,,
display_diagonal,text,yes,no,"13 cm, 14 cm, 14.4 cm, 11.4 cm, 10.9 cm, 20.3 cm",Display diagonal,Display Diagonal,,
display,text,yes,no,"LCD, TFT",Display,Display,,
digital_zoom,text,yes,no,"4 x, 8 x, 10 x, 30 x, 40 x, 120 x, 130 x, 200 x, 1140 x",Digital zoom,Digitaler Zoom,,
cpu_configuration,number,yes,no,1,CPU configuration,CPU Konfiguration,,
control_type,text,yes,no,touch,Control type,Kontrolltyp,touch,Berührung
compatible_memory_cards,text,yes,no,SD,Compatible memory,Kompatible Speicherkarte,,
combined_zoom,text,yes,no,32 x,Combined zoom,Combined zoom,,
color,text,yes,yes,"white, black, grey, silver, blue, yellow, purple, pink, platinum, copper, orange, gold, navy, green, red, brown",Color,Farbe,"white, black, grey, silver, blue, yellow, purple, pink, platinum, copper, orange, gold, navy, green, red, brown","weiß, schwarz, grau, silber, blau, gelb, lila, pink, platin, kupfer, orange, gold, marineblau, grün, rot, braun"
clock_mode,text,yes,no,12h,Clock mode,Batterielebensdauer,,
chassis_type,text,yes,no,Tower,Chassis type,Produkt Typ,Tower,PC
camera_type,text,yes,no,Compact camera,Camera type,Kamera Typ,,
camcorder_type,text,yes,no,Shoudercam,Camcorder type,Camcorder Typ,Shoudercam,Schulterkamera
camcorder_media_type,text,yes,no,SSD,Camcorder media type,Aufzeichnungsmedien,,
bus_type,text,yes,no,"DMI, DMI2, DMI3, QPI",Bus type,Bus Typ,,
brand,text,no,no,"Canon, Sony, Samsung, Acer, TomTom, Hannspree, ASUS, DELL, Fujitsu, HP,
Lenovo, Ricoh, Toshiba",Brand,Marke,,
bluetooth_version,text,yes,no,"3, 4, 4.0 LE, 41",Blootooth version,Bluetooth Version,,
battery_type,text,yes,no,"Built-in, NP-BX1, 72h, 120h, 168h,",Battery type,Batterie Typ,,
battery_life,text,yes,no,"72h, 120h, 168h",Battery life,Batterlaufzeit,,
backlight,text,no,no,"yes, no",Backlight,Brustgurt,"yes, no","ja, nein"
auto_focus,text,no,no,"yes, no",Auto focus,Auto Fokus,"yes, no","ja, nein"
audio_system,text,yes,no,Stereo,Audio system,Audio System,,
aspect_ratio,text,yes,no,"16:09, 16:10",Aspect ratio,Seitenverhältnis,,
alarm_clock,text,no,no,"yes, no",Alarm clock,Wecker,"yes, no","ja, nein"
4g_standards,text,yes,no,LTE,4G standards,4G-Standards,,
4g,text,no,no,"yes, no",4G,4G,"yes, no","ja, nein"
os_system,number,yes,no,5.1,OS system,OS System,,
wi_fi,text,no,no,"yes, no",Wi-Fi,WLAN,"yes, no","ja, nein"
total_storage_capacity,text,no,no,"128 GB, 256 GB, 500 GB, 512 GB",Total storage capacity,Speichergröße insgesamt,,
bundled_product,text,no,no,"yes, no",Bundled Product,Bündelprodukt,"yes, no","ja, nein"
