sku,Prozessor,RAM-Speicher,Bildschirm,Gesamtspeicher,Farbe,short_description,long_description
28463875,"Intel Core i5-5xxx 2,2 GHz",4 GB,15.6",500 GB,Schwarz,"HP 200 250 G4, i5-5200U, DVD Super Multi DL, Windows 7 Professional, Lithium-Ion (Li-Ion), 64-bit, Windows 8.1 Pro","HP 200 250 G4. Produkttyp: Notebook, Produktfarbe: Schwarz, Formfaktor: Klappgehäuse. Prozessor-Taktfrequenz: 2,2 GHz, Prozessorfamilie: Intel Core i5-5xxx, Prozessor: i5-5200U. RAM-Speicher: 4 GB, Interner Speichertyp: DDR3L-SDRAM, Speichertaktfrequenz: 1600 MHz. Gesamtspeicherkapazität: 500 GB, Speichermedien: Festplatte, Festplattenkapazität: 500 GB. Bildschirmdiagonale: 39,6 cm (15.6""), Bildschirmauflösung: 1366 x 768 Pixel"
29406168,"AMD E 1,4 GHz",4 GB,15.6",500 GB,Grau,"HP 200 255 G4, E1-6015, DVD Super Multi DL, Touchpad, Windows 10 Home, Lithium-Ion (Li-Ion), 64-bit","HP 200 255 G4. Produkttyp: Notebook, Produktfarbe: Schwarz, Grau, Formfaktor: Klappgehäuse. Prozessor-Taktfrequenz: 1,4 GHz, Prozessorfamilie: AMD E, Prozessor: E1-6015. RAM-Speicher: 4 GB, Interner Speichertyp: DDR3L-SDRAM, Speichertaktfrequenz: 1600 MHz. Gesamtspeicherkapazität: 500 GB, Speichermedien: Festplatte, Festplattenkapazität: 500 GB. Bildschirmdiagonale: 39,6 cm (15.6""), Bildschirmauflösung: 1366 x 768 Pixel, Display-Oberfläche: Matt"
28548759,"Intel Celeron 1,6 GHz",4 GB,11.6",256 GB,Schwarz,"HP Chromebook 11 G4, N2840, 5 - 35 °C, -15 - 60 °C, 10 - 80%, 10 - 90%, 0 - 3050 m","HP Chromebook 11 G4. Produkttyp: Chromebook, Produktfarbe: Schwarz, Formfaktor: Klappgehäuse. Prozessor-Taktfrequenz: 2,16 GHz, Prozessorfamilie: Intel Celeron, Prozessor: N2840. RAM-Speicher: 4 GB, Interner Speichertyp: DDR3L-SDRAM, Speichertaktfrequenz: 1600 MHz. Gesamtspeicherkapazität: 16 GB, Speichermedien: SSD, Festplattenkapazität: 0 GB. Bildschirmdiagonale: 29,5 cm (11.6""), Bildschirmauflösung: 1366 x 768 Pixel, Display-Oberfläche: Matt"
29750512,"AMD A 2,2 GHz",4 GB,15.6",500 GB,Grau,"HP ProBook G3, A8-7410, DVD Super Multi DL, Touchpad, Windows 10 Pro, Lithium-Ion (Li-Ion), 64-bit","HP ProBook G3. Produkttyp: Notebook, Produktfarbe: Schwarz, Grau, Formfaktor: Klappgehäuse. Prozessor-Taktfrequenz: 2,2 GHz, Prozessorfamilie: AMD A, Prozessor: A8-7410. RAM-Speicher: 4 GB, Interner Speichertyp: DDR3L-RS-SDRAM, Speichertaktfrequenz: 1600 MHz. Gesamtspeicherkapazität: 500 GB, Speichermedien: Festplatte, Festplattenkapazität: 500 GB. Bildschirmdiagonale: 39,6 cm (15.6""), Bildschirmauflösung: 1366 x 768 Pixel, Display-Oberfläche: Matt"
27104941,Intel Core i5-5xxx 2.2 GHz,4 GB,17.3",500 GB,Schwarz,"Lenovo Essential B70-80, i5-5200U, DVD±RW, Touchpad, Windows 7 Professional, Lithium-Ion (Li-Ion), 64-bit","Lenovo Essential B70-80. Produkttyp: Notebook, Produktfarbe: Schwarz, Formfaktor: Klappgehäuse. Prozessor-Taktfrequenz: 2,2 GHz, Prozessorfamilie: Intel Core i5-5xxx, Prozessor: i5-5200U. RAM-Speicher: 4 GB, Interner Speichertyp: DDR3L-SDRAM, Speichertaktfrequenz: 1600 MHz. Gesamtspeicherkapazität: 500 GB, Speichermedien: Festplatte, Festplattenkapazität: 500 GB. Bildschirmdiagonale: 43,9 cm (17.3""), Bildschirmauflösung: 1600 x 900 Pixel, Seitenverhältnis: 16:9"
29376694,"Intel Core i3-4xxx 1,7 GHz",4 GB,15.6",1000 GB,Schwarz,"Lenovo Essential G50-80, i3-4005U, DVD±RW, Touchpad, Windows 10 Home, Lithium-Ion (Li-Ion), Intel Core i3-4xxx","Lenovo Essential G50-80. Produkttyp: Notebook, Produktfarbe: Schwarz, Formfaktor: Klappgehäuse. Prozessor-Taktfrequenz: 1,7 GHz, Prozessorfamilie: Intel Core i3-4xxx, Prozessor: i3-4005U. RAM-Speicher: 4 GB, Interner Speichertyp: DDR3L-SDRAM, Speichertaktfrequenz: 1600 MHz. Gesamtspeicherkapazität: 1000 GB, Speichermedien: Festplatte, Festplattenkapazität: 1000 GB. Bildschirmdiagonale: 39,6 cm (15.6""), Bildschirmauflösung: 1366 x 768 Pixel, Seitenverhältnis: 16:9"
28467014,"Intel Core i3-4xxx 1,9 GHz",4 GB,13.3",500 GB,Schwarz,"Lenovo IdeaPad Yoga 2 13, i3-4030U, Touchpad, Windows 8.1, Lithium Polymer (LiPo), 64-bit, Intel Core i3-4xxx","Lenovo IdeaPad Yoga 2 13. Produkttyp: Hybrid (2-in-1), Produktfarbe: Schwarz, Formfaktor: Konvertierbar (Ordner). Prozessor-Taktfrequenz: 1,9 GHz, Prozessorfamilie: Intel Core i3-4xxx, Prozessor: i3-4030U. RAM-Speicher: 4 GB, Interner Speichertyp: DDR3L-SDRAM, Speichertaktfrequenz: 1600 MHz. Gesamtspeicherkapazität: 500 GB, Speichermedien: Hybrid-HDD, Festplatten-Schnittstelle: SATA. Bildschirmdiagonale: 33,8 cm (13.3""), Bildschirmauflösung: 1920 x 1080 Pixel, HD-Typ: Full HD"
26058615,"Intel Celeron 2,16 GHz",2 GB,11.6",128 GB,Schwarz,"Lenovo N21, N2840, Touchpad, Chrome OS, Polymer, Intel Celeron, 802.11a, 802.11ac, 802.11b, 802.11g, 802.11n","Lenovo N21. Produkttyp: Chromebook, Produktfarbe: Schwarz, Formfaktor: Klappgehäuse. Prozessor-Taktfrequenz: 2,16 GHz, Prozessorfamilie: Intel Celeron, Prozessor: N2840. RAM-Speicher: 2 GB, Interner Speichertyp: DDR3L-SDRAM, RAM-Speicher maximal: 4 GB. Gesamtspeicherkapazität: 16 GB, Speichermedien: SSD, SSD Speicherkapazität: 16 GB. Bildschirmdiagonale: 29,5 cm (11.6""), Bildschirmauflösung: 1366 x 768 Pixel"
29755564,"Intel Core i3-4xxx 1,9 GHz",4 GB,15.6",500 GB,Schwarz,"Lenovo Yoga 500 15, i3-4030U, Touchpad, Windows 8.1, Lithium Polymer (LiPo), 64-bit, Intel Core i3-4xxx","Lenovo Yoga 500 15. Produkttyp: Notebook, Produktfarbe: Schwarz, Formfaktor: Konvertierbar (Ordner). Prozessor-Taktfrequenz: 1,9 GHz, Prozessorfamilie: Intel Core i3-4xxx, Prozessor: i3-4030U. RAM-Speicher: 4 GB, Interner Speichertyp: DDR3L-SDRAM, Speichertaktfrequenz: 1600 MHz. Gesamtspeicherkapazität: 500 GB, Speichermedien: Festplatte, Festplattenkapazität: 500 GB. Bildschirmdiagonale: 39,6 cm (15.6""), Bildschirmauflösung: 1366 x 768 Pixel, Seitenverhältnis: 16:9"
30579515,"Intel Core i5-6xxx 2,3 GHz",4 GB,13.3",128 GB,Grau,"Toshiba Portégé Z30-C-10N, i5-6200U, DualPoint, Windows 7 Professional, Lithium Polymer (LiPo), Intel Core i5-6xxx, DTS Studio Sound","Toshiba Portégé Z30-C-10N. Produkttyp: Notebook, Produktfarbe: Grau, Metallisch, Formfaktor: Klappgehäuse. Prozessor-Taktfrequenz: 2,3 GHz, Prozessorfamilie: Intel Core i5-6xxx, Prozessor: i5-6200U. RAM-Speicher: 4 GB, Interner Speichertyp: DDR3L-SDRAM, Speichertaktfrequenz: 1600 MHz. Gesamtspeicherkapazität: 128 GB, Speichermedien: SSD, SSD Speicherkapazität: 128 GB. Bildschirmdiagonale: 33,8 cm (13.3""), Bildschirmauflösung: 1920 x 1080 Pixel, HD-Typ: Full HD"
26512671,AMD A 2 GHz,6 GB,15.6",750 GB,Schwarz,"Toshiba Satellite C55DT-B5153, A8-6410, 5 - 35 °C, 20 - 80%, 0 - 3000 m, 0 - 10000 m, DVD Super Multi DL","Toshiba Satellite C55DT-B5153. Produkttyp: Notebook, Produktfarbe: Schwarz, Formfaktor: Klappgehäuse. Prozessor-Taktfrequenz: 2 GHz, Prozessorfamilie: AMD A, Prozessor: A8-6410. RAM-Speicher: 6 GB, Interner Speichertyp: DDR3L-SDRAM, Speichertaktfrequenz: 1600 MHz. Gesamtspeicherkapazität: 750 GB, Speichermedien: Festplatte, Festplattenkapazität: 750 GB. Bildschirmdiagonale: 39,6 cm (15.6""), Bildschirmauflösung: 1366 x 768 Pixel, Seitenverhältnis: 16:9"
27277017,AMD A 2 GHz,6 GB,17.3",750 GB,Schwarz,"Toshiba Satellite C75D-C7232, A6-7310, 5 - 35 °C, -20 - 60 °C, 20 - 90%, 5 - 95%, 0 - 3000 m","Toshiba Satellite C75D-C7232. Produkttyp: Notebook, Produktfarbe: Schwarz, Formfaktor: Klappgehäuse. Prozessor-Taktfrequenz: 2 GHz, Prozessorfamilie: AMD A, Prozessor: A6-7310. RAM-Speicher: 6 GB, Interner Speichertyp: DDR3L-SDRAM, Speichertaktfrequenz: 1600 MHz. Gesamtspeicherkapazität: 750 GB, Speichermedien: Festplatte, Festplattenkapazität: 750 GB. Bildschirmdiagonale: 43,9 cm (17.3""), Bildschirmauflösung: 1600 x 900 Pixel, Seitenverhältnis: 16:9"
30783507,Intel Core i3-5xxx 2 GHz,4 GB,17.3",500 GB,Schwarz,"Toshiba Satellite Pro C70-C-1FV, i3-5005U, DVD Super Multi DL, Touchpad, Windows 10 Home, Lithium-Ion (Li-Ion), 64-bit","Toshiba Satellite Pro C70-C-1FV. Produkttyp: Notebook, Produktfarbe: Schwarz, Formfaktor: Klappgehäuse. Prozessor-Taktfrequenz: 2 GHz, Prozessorfamilie: Intel Core i3-5xxx, Prozessor: i3-5005U. RAM-Speicher: 4 GB, Interner Speichertyp: DDR3L-SDRAM, Speichertaktfrequenz: 1600 MHz. Gesamtspeicherkapazität: 500 GB, Speichermedien: Festplatte, Festplattenkapazität: 500 GB. Bildschirmdiagonale: 43,9 cm (17.3""), Bildschirmauflösung: 1600 x 900 Pixel, Display-Oberfläche: Matt"
