catid,ucatid,pcatid,low_pic,category_name.en_US,category_description.en_US,category_name.de_DE,category_description.de_DE,category_name.fr_FR,category_description.fr_FR,parentKey
58,43162503,55,,security management software,"Computer programs which allow individual files, programs or systems to be protected using passwords, face recognition etc.",Sicherheitsmanagement-Software,,logiciels de gestion de la securité,,43233400
59,43162504,21,,translation software,Computer programs which translate from one language to another.,Übersetzungs-Software,,logiciels de traduction,,43232100
60,43162505,55,,print utilities,Computer programs which allow users to manage printing devices.,Druckfunktionen,,utilitaires d'impression,,43233400
62,43162507,2,http://images.icecat.biz/img/low_pic/62-5098.jpg,antivirus security software,"Computer programs which protect computer systems, files and software from computer viruses.",Antivirus-Sicherheits-Software,"Ein Computersystem, das eine Verbindung mit dem Internet hat oder Kontakt mit dem Rest der Welt in irgendeiner anderen Weise herstellt, braucht einen Virenscanner. Die Auswirkungen von Viren reichen von harmlosen Scherzen, Verlangsamung Ihres Computers, Löschen oder Beschädigen von Dateien, Verteilung Ihrer sensiblen Daten an den Rest der Welt bis zu Zugriff auf Ihren Computer für Hacker. Viren verbreiten sich meist durch E-Mails und Programme, und jeden Tag kommen neue hinzu. Die meisten Viren sind für die gängigen Betriebssysteme konfiguriert, und ältere Versionen von Software neigen dazu, Sicherheitslücken zu haben. Stellen Sie daher sicher, dass immer einen funktionierender Virenscanner mit den neuesten Virendefinitionen auf Ihrem Computer installiert ist und vorzugsweise auch die neueste Version des Betriebssystems Ihrer Wahl.",logiciels antivirus et sécurité,,43160000
63,43162508,55,http://images.icecat.biz/img/low_pic/63-7048.jpg,general utility software,"Computer programs which make it easy to manage your computer, and help you work faster and more efficiently.",Allgemeine Utility-Software,"Diese Kategorie beinhaltet einer Vielzahl von Software, die entwickelt wurde, um die Verwaltung Ihres Computers einfach zu machen, und Ihnen zu helfen, schneller und effizienter zu arbeiten.",logiciels d'utilités générales,,43233400
65,43162510,55,,system management software,Computer programs which allow a user to view and control software and hardware on an individual device or across a network.,Systemmanagement-Software,,logiciels de gestion de systèmes,,43233400
66,43162511,55,http://images.icecat.biz/img/low_pic/66-9478.jpg,storage software,Software for managing all your storage media and stored data.,Speicher-Software,Software für die Verwaltung all Ihrer Speichermedien und der gespeicherten Daten.,logiciels de stockages,,43233400
67,43232900,2,,networking software,"Computer programs which allow a user to set up, control and manage a network or networks between computers, printers and other devices.",Netzwerk-Software,,logiciels de réseaux,,43160000
73,43162606,67,,terminal emulation software,"Computer programs which display video terminals through some another type of program, such as text.",Terminal-Emulations-Software,,logiciels d'émulation de virtualisation et de terminal,,43232900
80,43162613,67,,switch & router software,"Computer programs which controls the switch and router, which link computers in a network.",Switch & Router-Software,,logiciels de commutateurs réseaux et de routeurs,,43232900
82,43162615,67,,communications server software,"Computer program which controls a communications server, which is a carrier-grade computing system to control network infrastructure",Kommunikation-Server-Software,,logiciels de serveurs de communication,,43232900
87,43162704,67,,modem software,Computer programs which allow a user to control a modem and ensure it is functioning correctly.,Modem-Software,,logiciels de modems,,43232900
88,43162705,67,,remote access software,"Computer program which allows you to access a data system from a remote location, for example through a VPN (virtual private network).",Remote-Access-Software,,logiciels d'accès à distance,,43232900
89,43162706,21,http://images.icecat.biz/img/low_pic/89-1215.jpg,video software,Computer programs which allow videos to be displayed on a device.,Video-Software,,logiciels de vidéos,,43232100
94,43162901,2834,,video games,"Electronic games which involves a human interacting with a user interface, generating visual feedback on a video device such as a laptop, games console or handheld device.",Videospiele,,jeux vidéos,,43171900
95,43162902,21,,screen savers,"Static or moving images which appear on your computer screen after a certain amount of inactivity, the time of which can be set by the user.",Screensaver-Software,"screen saver, screen savers",économiseurs d'écrans,,43232100
98,43162905,21,,family titles,"Computer games, videos and other media that is suitable for all ages.",Familientitel,,titres des familles,,43232100
99,43162906,21,,educational software,Computer programs which aim to teach the user something e.g. software aimed at learning a language.,Lern-Software,,logiciels éducatifs,,43232100
106,43201000,2833,,computer components,A hardware component of a computer such as a hard disk or memory.,Computer-Komponenten,Eine Hardware-Komponente eines Computers.,composants,,43000000
107,43222800,2833,,telecom & navigation,"Portable computer devices and phones, and their accessories such as cables and stands",Telekommunikation und Navigation,,télécommunications et navigation,,43000000
114,43171507,242,http://images.icecat.biz/img/low_pic/114-3966.jpg,telephone switching equipment,Equipment that allows you to connect two or more different locations via telephone lines,Telefonumschalter-Zubehör,,équipements de commutation téléphonique,,43221700
115,43171508,242,,switchboard equipment,Equipment that allows you to interconnect circuits of telephones to establish telephone calls between different users.,Schaltanlagen-Zubehör,,équipements pour standard téléphonique,,43221700
117,43171510,107,http://images.icecat.biz/img/low_pic/117-1342.jpg,telephones,"Call your friends, business partners or customers with one of these great telephones!",Telefone,"Rufen Sie Ihre Freunde, Geschäftspartner oder Kunden mit einem dieser großartigen Telefone an!",téléphones,,43222800
119,43171512,107,http://images.icecat.biz/img/low_pic/119-3675.jpg,mobile phones,"A mobile phone, also known as a cellphone, mobile, or handphone, is an electronic telecommunications device with the same basic capability as a conventional fixed line telephone, but which is also entirely portable and is not required to be connected with a wire to the telephone network. With most modern cellphones you can do a lot more than just making phonecalls: with most models you can send an SMS or e-mail, surf the internet, play games, save phone numbers so you'll never have to write down or memorize them again and much, much more.",Handys,"Ein Mobiltelefon, auch bekannt als Handy, ist ein elektronisches Telekommunikations-Gerät mit den gleichen grundlegenden Fähigkeiten wie ein herkömmliches Festnetztelefon, welches aber tragbar ist und nicht mit einem Kabel an das Telefonnetz anschlossen werden muss. Die meisten modernen Handys können viel mehr als nur Telefonieren: Mit den meisten Modellen können Sie SMS oder E-Mails versenden, im Internet surfen, Spiele spielen, Telefonnummern speichern, damit Sie diese nie mehr notieren oder alle im Kopf behalten müssen und viel, viel mehr.",téléphones portables,,43222800
122,43171515,107,http://images.icecat.biz/img/low_pic/122-7860.jpg,answering machines,A machine which records a voice message when someone rings a phone and there is no answer or the line is engaged.,Anrufbeantworter,,répondeurs,,43222800
123,43171516,107,http://images.icecat.biz/img/low_pic/123-7757.jpg,mobile headsets,"A headset is just a combination of a headphone (with one or two ear plugs) and a microphone. Headsets with one ear plug are used mostly for calling hands-free, while the ones featuring a full headphone are better suited for communicating with your teammates in games.",Mobile Headsets,"Ein Headset ist einfach eine Kombination aus einem Kopfhörer (mit einem oder zwei Ohrstöpsel) und einem Mikrofon. Headsets mit einem Ohr-Stecker sind meist für Freisprecheinrichtung gedacht, während solche mit einem kompletten Kopfhörer besser für die Kommunikation mit Ihren Teamkollegen bei Spielen geeignet sind.",casques et micros,,43222800
125,43171518,242,http://images.icecat.biz/img/low_pic/125-8769.jpg,call management system,"System to control calls through to a company or organisation, such as a switchboard.",Anruf-Management-System,,systèmes de gestion d'appelles,,43221700
127,43171520,242,http://images.icecat.biz/img/low_pic/127-563.jpg,telephone rests,Device or stand where you can rest your mobile or fixed telephone.,Telefonhalterung,,autres téléphones,,43221700
137,43171613,242,http://images.icecat.biz/img/low_pic/137-386.jpg,network antennas,Device which creates a wireless network by sending out radio waves across a certain range.,Netzwerk-Antennen,,antennes,,43221700
142,43171704,242,http://images.icecat.biz/img/low_pic/142-5328.jpg,teleconferencing equipment,Equipment that permits conferences to take place in different locations by connecting participants through audio (telephone) and video devices.,Telekonferenz-Zubehör,,équipements de téléconférence,,43221700
148,43171711,242,http://images.icecat.biz/img/low_pic/148-3709.jpg,line conditioners,Device which improves the quality of power that is delivered to electric load equipment.,Leitungsverstärker,,câbles d'alimentation,,43221700
150,43171800,2833,,computers,"Device which is programmed to carry out a set of arithmetic or logical operations e.g. desktop computers, smartphones",Computer,,ordinateurs,,43000000
151,43171801,150,http://images.icecat.biz/img/low_pic/151-3223.jpg,notebooks,"A notebook, also known as laptop, is a portable computer. When you are looking for the right notebook, it is important to know where you are going to work with it. Do you want to use it on the road? Choose a model with a special energy-saving 'mobile' processor, a good battery and a reasonably small display. This will allow you to work longer with the same battery and saves you the trouble of carrying around a large display that consumes a lot of precious battery power. Or will you be using you notebook mainly in places where you will have access to a power outlet? Then choose a desktop processor (more processing power for less money) and an ordinary battery. This will save you a lot of money, which you could then spend on a bigger screen.  You'll work faster because you can view more information at once and it's great for multimedia!",Notebooks,"Ein Notebook, auch Laptop genannt, ist ein tragbarer Computer. Wenn Sie nach dem richtigen Notebook für sich suchen, ist es wichtig zu wissen, wo Sie damit arbeiten werden. Wollen Sie es unterwegs nutzen? Dann wählen Sie ein Modell mit einem speziellen energiesparenden ""Mobile""-Prozessor, einer gute Batterie und einem kleinerem Display. Dies ermöglicht Ihnen, länger  mit der gleichen Batterie zu arbeiten und erspart Ihnen außerdem die Mühe, ein großes Display herumzutragen, welches zudem noch eine Menge wertvollen Batteriestroms verbraucht. Oder werden Sie Ihr Notebook vor allem an Orten nutzen, an welchen Sie Zugriff auf eine Steckdose haben? Dann wählen Sie einen Desktop-Prozessor (mehr Rechenleistung für weniger Geld), und eine gewöhnliche Batterie. So sparen Sie eine Menge Geld, welches Sie später für auf einen größeren Bildschirm verwenden können. Sie arbeiten schneller, weil Sie mehr Informationen auf einmal sehen können und er eignet sich hervorragend für Multimedia!",notebooks,,43171800
152,43171802,151,http://images.icecat.biz/img/low_pic/152-8817.jpg,notebook docks & port replicators,"A platform into which you can install a portable computer. The docking station typically contains slots for expansion cards, bays for storage devices, and I/O connectors for peripheral devices, such as printers and monitors. Once inserted in a docking station, the portable computer essentially becomes a desktop model computer. Most importantly, the same data is accessible in both modes because it resides on the portable computer's drives. The idea behind docking stations is to let you simultaneously enjoy the expansion possibilities of desktop model computers with the portability of notebook computers. In addition, the docking station enables you to use a full-size keyboard and monitor when you're not traveling.",Notebook-Dockingstationen & Portreplikatoren,"Eine Plattform, an welche Sie einen tragbaren Computer anschließen können. Die Docking-Station verfügt normalerweise über Steckplätze für Erweiterungskarten, Slots für Speichergeräte und I / O-Anschlüsse für Peripheriegeräte wie Drucker und Monitore. Sobald Sie an eine Docking-Station angeschlossen sind, wird der tragbare Computer im Wesentlichen zu einem Desktop-Modell. Das Wichtigste dabei ist, dass die gleichen Daten in beiden Modi verfügbar sind, weil sie auf dem Laufwerk des tragbaren Computer gespeichert sind. Die Idee hinter Docking-Stationen ist es, Sie gleichzeitig die Erweiterungsmöglichkeiten der Desktop-Modell-Computer mit der Portabilität von Notebook-Computern genießen zu lassen. Darüber hinaus ermöglicht die Docking Station, Ihnen außerdem, eine Tastatur und einen Monitor in Normalgröße zu verwenden, wenn Sie nicht auf Reisen sind.",stations d'accueil,,43171801
153,43171803,150,http://images.icecat.biz/img/low_pic/153-5408.jpg,PCs/workstations,"Personal Computers, PCs for short, are computers for personal usage. They always have the following components:\r\n\r\n- A processor (CPU), this is the heart of your computer, where the data processing is done.\r\n\r\n- Memory (RAM), this is very fast memory in which temporary data is stored before being processed by the processor.\r\n\r\n- Motherboard, this is the component that connects all the different parts of your computer. Often it has some integrated components like a sound card, enabling your computer to play sound, or a network card, to connect your computer to the network.\r\n\r\n- Video board, this is the part of your computer that is responsible for the graphics processing. Micro ATX motherboards often have an integrated video board. Those integrated video boards are generally not very well suited for playing games, but good enough for watching movies.\r\n\r\n- Hard disk, this is the permanent memory of your computer where your data is stored.\r\n\r\n- An optional DVD/CD player/recorder for reading/writing DVDs/CDs.",PCs/Workstations,"Personal Computers, oder kurz PCs, sind Computer für den persönlichen Gebrauch. Sie haben immer die folgenden Komponenten:\r\n- Einen Prozessor (CPU), dies ist das Herz des Computers, in welchem die Datenverarbeitung stattfindet.\r\n- Speicher (RAM), dies ist ein sehr schneller Speicher, in welchem temporäre Daten gespeichert werden, bevor sie vom Prozessor verarbeitet und gespeichert werden.\r\n- Motherboard, dies ist die Komponente, die die verschiedenen Teile des Computers verbindet. Oft verfügt es über einige integrierte Komponenten, wie eine Soundkarte, damit Ihr Computer Klängen abspielen kann oder eine Netzwerk-Karte, um Ihren Computer mit einem Netzwerk zu verbinden.\r\n- Video Board, dies ist der Teil Ihres Computers, der verantwortlich für die Grafikbearbeitung ist. Micro ATX Motherboards haben häufig ein integriertes Video-Board. Diese integrierten Video-Boards sind in der Regel nicht sehr gut für Spiele geeignet, sind aber gut genug für Filme.\r\n- Hard Disk, dies ist der langfristige Speicher Ihres Computers, auf welchem Ihre Daten gespeichert sind.\r\n- Einen optionalen DVD-/CD-Spieler/Brenner zum Lesen/Schreiben von DVDs / CDs",PC/postes de travail,ordinateurs de bureau (PC ou Mac),43171800
154,43171804,150,http://images.icecat.biz/img/low_pic/154-2321.jpg,handheld mobile computers,Mobile computer which uses RFID (Radio Frequency Identification) e.g. scanning devices in shops and restaurants,Handheld Mobile Computer,,ordinateurs portable de poche,,43171800
155,43171805,150,http://images.icecat.biz/img/low_pic/155-8054.jpg,mainframe computers,,Mainframe Computer,,ordinateurs centraux,,43171800
156,43171806,150,http://images.icecat.biz/img/low_pic/156-5572.jpg,servers,"Extra powerful, extra reliable computers that have been specially designed for server applications. For example serving a website, a large database or shared storage space to a lot of users. Servers are often not very quiet and deliver hardly any graphical performance, which makes them not suitable for use as personal computer. If you need a lot of servers, choose a rack mountable model. Those models need less space and your server room will remain tidy.",Server,"Server sind extra starke, extra zuverlässige Computer, die speziell für Server-Anwendungen konzipiert sind. Zum Beispiel bieten Sie einer Menge von Nutzern eine Website, eine große Datenbank oder gemeinsam genutzten Speicherplatz. Die Server sind oft nicht sehr leise und liefern kaum grafische Leistung, so dass Sie nicht für den Einsatz als Personal Computer geeinget sind. Wenn Sie eine Menge von Servern benötigen, wählen Sie ein Rack-Modell. Diese Modelle benötigen weniger Platz und Ihr Server-Raum bleibt aufgeräumt.",serveurs,,43171800
159,43211505,150,http://images.icecat.biz/img/low_pic/159-5506.jpg,POS terminals,Point of sale terminals,POS-Terminal,Point of Sale-Terminals,terminaux de paiements,Terminals de point de vente,43171800
164,43201513,2844,http://images.icecat.biz/img/low_pic/164-6167.jpg,motherboards,"The motherboard or mainboard is the component that connects all the different parts of your computer. Often it has some integrated components like a sound card, enabling your computer to play sound, or a network card, to connect your computer to the network. The standard form factor (size) for motherboards is ATX, you need at least a midi-tower to fit one of those in. Micro-ATX motherboards are often more complete and have more onboard devices, like a video board and fit in smaller cases, but are generally less expandable.",Motherboards,"Das Motherboard oder Mainboard ist die Komponente, die die verschiedenen Teile des Computers verbindet. Oft verfügt es über einige integrierte Komponenten, wie eine Soundkarte, damit Ihr Computer Klängen abspielen kann oder eine Netzwerk-Karte, um Ihren Computer mit einem Netzwerk zu verbinden. Der Standard-Formfaktor (Größe) für Motherboards ist ATX. Sie benötigen mindestens einen Midi-Tower um diesen unterzubringen. Micro-ATX Motherboards fit sind oft kompletter und haben mehr Onboard-Geräte, wie z.B. ein Video Board und passen in kleineres Gehäust, sind aber in den meisten Fällen weniger erweiterbar.",cartes mères,,43201400
166,43201500,106,,interface components,A point of interaction between computer hardware or software and peripheral devices such as computer monitor or a keyboard,Schnittstellen-Komponenten,,composants d'interfaces,,43201000
170,43201401,2844,http://images.icecat.biz/img/low_pic/170-1993.jpg,graphics cards,"The graphics card, also known as the video card, is the complete graphical subsystem of the PC. It is responsible for the quality and speed of video processing. For users that wish to play games or work with multimedia applications, it is especially important to have a video board with a high performance graphics processor and enough memory.",Grafikkarten,"Die Grafikkarte - ist das komplette grafische Subsystem des PCs. Es ist verantwortlich für die Qualität und die Geschwindigkeit der Videoverarbeitung. Für Anwender, die Spiele spielen oder die Arbeit mit Multimedia-Anwendungen planen, ist es besonders wichtig, ein Video Board zu haben, das über einen Hochleistungs-Grafik-Prozessor und ausreichend Speicher verfügt.",cartes graphiques,,43201400
173,43172007,2844,http://images.icecat.biz/img/low_pic/173-2294.jpg,audio cards,"A sound card or audio board allows computers to play and record sound. If you have a 5.1 or 7.1 audio board, you can connect your computer to your home cinema set for the real cinema experience, with full surround sound, whilst playing games or viewing DVDs.",Audiokarten,"Eine Soundkarte oder Audio Board ermöglicht Computern, Klänge zu spielen und aufzuzeichnen. Wenn Sie ein 5.1-oder 7.1-Audio Board haben, können Sie Ihren Computer an Ihr Heimkinosystem für ein echtes Kino-Erlebnis anschließen, mit vollem Surround-Sound, während Sie Spiele spielen oder sich eine DVD ansehen.",cartes sons,,43201400
175,43171502,2844,http://images.icecat.biz/img/low_pic/175-2186.jpg,interface cards/adapters,An explansion board you insert into your computer so the computer can be connected to a network,Schnittstellenkarten/Adapter,,cartes et adaptateurs d'interfaces,,43201400
178,43172012,106,http://images.icecat.biz/img/low_pic/178-7237.jpg,decoders,"Device which does the reverse of an encoder, undoing the code so that the original information can be retrieved.",Decoder,,décodeurs,,43201000
182,43201409,2844,http://images.icecat.biz/img/low_pic/182-4588.jpg,networking cards,"A NIC or Network Interface Card is a circuit board or chip which allows the computer to communicate to other computers on a network. When connected to the network, computers can share websites, files, printers and other resources. The most popular networking standard at the moment is Ethernet, which one can recognize by the rectangular connectors with eight wires in them. Wireless network with the 802.11b and the faster 802.11g standard is also increasingly popular, both at home and in the office, though it is not yet as fast as wired (ethernet) network. A public place where you can use wireless internet is called a ""hot spot"".",Netzwerkkarten,"Eine NIC oder Network Interface Card ist eine Platine oder ein  Chip, der den Computer befähigt, mit anderen Computern in einem Netzwerk zu kommunizieren. An das Netzwerk angeschlossene, Computer können Webseiten, Dateien, Drucker und andere Ressourcen teilen. Der beliebteste Networking-Standard ist im Moment das Ethernet, welches man durch den rechteckigen Stecker mit acht Kabeln erkennen kann. Wireless-Netzwerke mit dem 802.11b und dem schnelleren 802.11g-Standard, werden sowohl im Büro als auch Zuhause stetig beliebter, obwohl diese noch nicht so schnell sind wie ein kabelgebundenes (Ethernet) Netzwerk. Ein öffentlicher Ort, an dem Sie WLAN nutzen können, wird als ""Hot Spot"" bezeichnet.",cartes et adaptateurs réseaux,,43201400
184,43172101,166,,MIDI interface adapters,Musical instrument digital interface (MIDI) interfaces or adapters.,MIDI-Schnittstellenadapter,Musical Instrument Digital Interface (MIDI) Schnittstellen oder Adapter,interfaces/adaptateurs MIDI,Musical instrument digital interface (MIDI) interfaces or adapters,43201500
186,43172103,1058,http://images.icecat.biz/img/low_pic/186-9397.jpg,video capturing devices,Devices that convert an analog video signal (such as that produced by a DVD or video player) into a digital signal which can then be shown on a computer.,Video-Aufnahme-Gerät,,cartes d'acquisition vidéo,,52160000
189,43172106,106,http://images.icecat.biz/img/low_pic/189-9963.jpg,multimedia kits,"Package of hardware and software that adds multimedia capabilities to a computer e.g. DVD player, sound card.",Multimedia Kits,,kits multimédia,,43201000
191,43211700,2833,,data input devices,"Devices that feed data into a computer e.g. keyboard, joystick",Dateneingabegeräte,,entrées de données et commandes,,43000000
192,43211712,191,http://images.icecat.biz/img/low_pic/192-2282.jpg,graphic tablets,"On a graphic tablet you can write and make drawings with special pen. The information your graphic tablet receives is transferred to your computer and can be displayed as a drawing on your screen. With the appropriate software, it is even possible to write in handwriting on your graphic tablet instead of typing.",Grafiktabletts,"Auf einem Grafiktablett können Sie mit einem speziellen Stift schreiben und zeichnen. Die Informationen, die Ihr Grafiktablett erhält, werden auf Ihren Computer übertragen und können als Zeichnung auf dem Bildschirm angezeigt werden. Mit entsprechender Software ist es sogar möglich, in Handschrift auf Ihrer Grafik-Tablet schreiben anstatt zu tippen.",tablettes graphiques,,43211700
193,43172203,191,http://images.icecat.biz/img/low_pic/193-289.jpg,gaming controls,"In this category you will find accessories for playing games, both for your computer and your games console. Take control of the game and leave your opponents far behind. With these accessories your games will become more real than life!",Spielkontroller,"In dieser Kategorie finden Sie Zubehör für Spiele, sowohl für Ihren Computer und als auch für Ihre Spielkonsole. Übernehmen Sie die Kontrolle über das Spiel und lassen Sie Ihre Gegner weit hinter sich. Mit diesem Zubehör werden Ihre Spiel realer als das Leben selbst!",accessoires de jeux vidéo,,43211700
194,43172204,191,http://images.icecat.biz/img/low_pic/194-7809.jpg,keyboards,"The keyboard is the main input peripheral used by all computers. The keyboard allows for user input and interaction with the computer. Much like many typewriters the keyboard has all the letters of the alphabet, numbers 0 - 9 and additional special operational keys, e.g. for adjusting the volume or going to your inbox directly. There are three different connection types:\r\n\r\n- USB is the most modern. You can recognize it by the rectangular connector.\r\n\r\n- PS/2 connectors are round. This type of connection is fairly commonly used by PC's.\r\n\r\n- Bluetooth is another modern (wireless) connection method.",Tastaturen,"Die Tastatur ist das wichtigste Input-Peripheriegerät und wird von allen Computern genutzt. Die Tastatur ermöglicht Benutzereingaben und Interaktion mit dem Computer. Ähnlich wie viele Schreibmaschinen verfügt die Tastatur über alle Buchstaben des Alphabets, die Ziffern 0 bis 9 und weitere spezielle operative Tasten, z.B. zur Einstellung der Lautstärke oder ""Gehen Sie direkt zu Ihrem Posteingang"". Es gibt drei verschiedene Verbindungsarten:\r\n- USB ist die modernste. Man kann sie durch den rechteckigen Stecker zu erkennen.\r\n- PS/2 Anschlüsse sind rund. Diese Art der Verbindung ist recht geläufig für PCs.\r\n- Bluetooth ist eine weitere moderne (drahtlose) Verbindungsmethode.",claviers,,43211700
195,43172205,191,http://images.icecat.biz/img/low_pic/195-4796.jpg,mice,"The mouse is the second most important way of communicating with a computer. Please be careful to choose the right type of connection when buying a mouse, there are three different types:\r\n\r\n- USB is the most modern. You can recognize it by the rectangular connector.\r\n\r\n- PS/2 connectors are round. This type of connection is fairly commonly used in PCs.\r\n\r\n- Bluetooth is another modern (wireless) connection method.",Mäuse,"Die Maus ist die zweitwichtigste Art der Kommunikation mit einem Computer. Bitte achten Sie darauf, die richtige Verbindungsart beim Kauf einer Maus zu wählen. Es gibt drei verschiedene Typen:\r\n- USB ist die modernste. Man kann sie durch den rechteckigen Stecker zu erkennen.\r\n- PS/2 Anschlüsse sind rund. Diese Art der Verbindung ist recht geläufig für PCs.\r\n- Bluetooth ist eine weitere moderne (drahtlose) Verbindungsmethode.",souris,,43211700
196,43172206,191,http://images.icecat.biz/img/low_pic/196-3873.jpg,wireless presenters,Device which is similar to a TV remote control and is used to wirelessly control a presentation on a computer such as on Powerpoint .,Funk-Presenter,,télécommandes,,43211700
197,43172207,225,http://images.icecat.biz/img/low_pic/197-4832.jpg,scanners,"With a scanner you can make all your documents, pictures and photos digital.",Scanner,"Mit einem Scanner können Sie all Ihre Dokumente, Bilder und Fotos digitalisieren.",scanners,,43172500
198,43172208,191,http://images.icecat.biz/img/low_pic/198-7119.jpg,touch pads,Input device mainly used in laptops instead of a mouse. By moving your finger over the touchpad you move the cursor.,Touchpads,,pavés tactile,,43211700
201,43172212,2840,,punch card readers,,Lochkartenleser,,lecteurs de carte de pointage,,43201800
