abstract_sku,old_sku,concrete_sku,name.en_US,name.de_DE,attribute_key_1,value_1,attribute_key_1.en_US,value_1.en_US,attribute_key_1.de_DE,value_1.de_DE,attribute_key_2,value_2,icecat_pdp_url,description.en_US,description.de_DE,is_searchable.en_US,is_searchable.de_DE,icecat_license,bundled
051,29567823,051_29567823,Samsung Galaxy S6 edge,Samsung Galaxy S6 edge,storage_capacity,32 GB,,,,,,,,"Edge Handle Assign a colour and place on People Edge to five of your favourite contacts. Reach out to them at any time by simply swiping inwards from the Edge Handle. When words aren’t enough, send a poke or an emoticon to your People Edge contacts. OnCircle lets you communicate in ways that really count. When it comes to your favourite tracks, sound quality matters. Enjoy rich, balanced audio with Bluetooth audio accessories that support UHQ Audio. Celebrations are always better when you are sharing. Livestream the fun straight from your Galaxy S6 edge+ using the camera’s Live Broadcast function. 4GB RAM and LTE Cat.9 support ensure uninterrupted streaming. No more shaky handheld videos. Video Digital Imaging Stabilisation meets Optical Image Stabilisation to ensure you get clear and steady footage every time.","Verbesserte Blende, schärfere Bilder Durch die hohe Auflösung und einer F1.9-Blende können Sie mit den beiden Kameras des SAMSUNG Galaxy S6 edge gestochen scharfe Bilder aufnehmen. Durch kurzes, zweimaliges Drücken der Home-Taste gelangen Sie direkt in den Kameramodus - so verpassen Sie keine wichtigen Momente. Das SAMSUNG Galaxy S6 edge überzeugt mit einer erhöhten Startgeschwindigkeit für Betriebssystem und Anwendungen sowie verbesserter Energieeffizienz gegenüber Vorgängermodellen. Durch seine 64-bit-Architektur, LPDDR4 und fortschrittliche GPU steht es für Leistung, Multitasking und Multimediafunktionen der neuen Generation. Ausgestattet mit einem 12,95 cm grossen Quad-HD-Super-AMOLED-Display (2.560 x 1.440 Pixel) beeindruckt das SAMSUNG Galaxy S6 edge mit einem unglaublich scharfen Seherlebnis, dank erhöhter Helligkeit und Pixeldichte.",1,1,"This CSV is part of Open Icecat catalog, version March 2 2016, March 2, 2016 (see //www.icecat.biz), whereby the original XML source was transformed into CSV and product data was completed or optimized, where necessary. (c) Icecat.biz For the full copyright and license information, please view the LICENSE and DISCLAIMER file that was distributed with this source code. Open Icecat and its sponsors are providing you as a user a large quantity of free product data - for more details please view //www.icecat.biz.",
051,30107816,051_30107816,Samsung Galaxy S6 edge,Samsung Galaxy S6 edge,storage_capacity,64 GB,,,,,,,,"Edge Handle Assign a colour and place on People Edge to five of your favourite contacts. Reach out to them at any time by simply swiping inwards from the Edge Handle. When words aren’t enough, send a poke or an emoticon to your People Edge contacts. OnCircle lets you communicate in ways that really count. When it comes to your favourite tracks, sound quality matters. Enjoy rich, balanced audio with Bluetooth audio accessories that support UHQ Audio. Celebrations are always better when you are sharing. Livestream the fun straight from your Galaxy S6 edge+ using the camera’s Live Broadcast function. 4GB RAM and LTE Cat.9 support ensure uninterrupted streaming. No more shaky handheld videos. Video Digital Imaging Stabilisation meets Optical Image Stabilisation to ensure you get clear and steady footage every time.","Verbesserte Blende, schärfere Bilder Durch die hohe Auflösung und einer F1.9-Blende können Sie mit den beiden Kameras des SAMSUNG Galaxy S6 edge gestochen scharfe Bilder aufnehmen. Durch kurzes, zweimaliges Drücken der Home-Taste gelangen Sie direkt in den Kameramodus - so verpassen Sie keine wichtigen Momente. Das SAMSUNG Galaxy S6 edge überzeugt mit einer erhöhten Startgeschwindigkeit für Betriebssystem und Anwendungen sowie verbesserter Energieeffizienz gegenüber Vorgängermodellen. Durch seine 64-bit-Architektur, LPDDR4 und fortschrittliche GPU steht es für Leistung, Multitasking und Multimediafunktionen der neuen Generation. Ausgestattet mit einem 12,95 cm grossen Quad-HD-Super-AMOLED-Display (2.560 x 1.440 Pixel) beeindruckt das SAMSUNG Galaxy S6 edge mit einem unglaublich scharfen Seherlebnis, dank erhöhter Helligkeit und Pixeldichte.",1,1,"This CSV is part of Open Icecat catalog, version March 2 2016, March 2, 2016 (see //www.icecat.biz), whereby the original XML source was transformed into CSV and product data was completed or optimized, where necessary. (c) Icecat.biz For the full copyright and license information, please view the LICENSE and DISCLAIMER file that was distributed with this source code. Open Icecat and its sponsors are providing you as a user a large quantity of free product data - for more details please view //www.icecat.biz.",
051,30614390,051_30614390,Samsung Galaxy S6 edge,Samsung Galaxy S6 edge,storage_capacity,128 GB,,,,,,,,"Edge Handle Assign a colour and place on People Edge to five of your favourite contacts. Reach out to them at any time by simply swiping inwards from the Edge Handle. When words aren’t enough, send a poke or an emoticon to your People Edge contacts. OnCircle lets you communicate in ways that really count. When it comes to your favourite tracks, sound quality matters. Enjoy rich, balanced audio with Bluetooth audio accessories that support UHQ Audio. Celebrations are always better when you are sharing. Livestream the fun straight from your Galaxy S6 edge+ using the camera’s Live Broadcast function. 4GB RAM and LTE Cat.9 support ensure uninterrupted streaming. No more shaky handheld videos. Video Digital Imaging Stabilisation meets Optical Image Stabilisation to ensure you get clear and steady footage every time.","Verbesserte Blende, schärfere Bilder Durch die hohe Auflösung und einer F1.9-Blende können Sie mit den beiden Kameras des SAMSUNG Galaxy S6 edge gestochen scharfe Bilder aufnehmen. Durch kurzes, zweimaliges Drücken der Home-Taste gelangen Sie direkt in den Kameramodus - so verpassen Sie keine wichtigen Momente. Das SAMSUNG Galaxy S6 edge überzeugt mit einer erhöhten Startgeschwindigkeit für Betriebssystem und Anwendungen sowie verbesserter Energieeffizienz gegenüber Vorgängermodellen. Durch seine 64-bit-Architektur, LPDDR4 und fortschrittliche GPU steht es für Leistung, Multitasking und Multimediafunktionen der neuen Generation. Ausgestattet mit einem 12,95 cm grossen Quad-HD-Super-AMOLED-Display (2.560 x 1.440 Pixel) beeindruckt das SAMSUNG Galaxy S6 edge mit einem unglaublich scharfen Seherlebnis, dank erhöhter Helligkeit und Pixeldichte.",1,1,"This CSV is part of Open Icecat catalog, version March 2 2016, March 2, 2016 (see //www.icecat.biz), whereby the original XML source was transformed into CSV and product data was completed or optimized, where necessary. (c) Icecat.biz For the full copyright and license information, please view the LICENSE and DISCLAIMER file that was distributed with this source code. Open Icecat and its sponsors are providing you as a user a large quantity of free product data - for more details please view //www.icecat.biz.",
052,29567823,052_29567823,Samsung Galaxy S6 edge,Samsung Galaxy S6 edge,storage_capacity,32 GB,,,,,,,,"Edge Handle Assign a colour and place on People Edge to five of your favourite contacts. Reach out to them at any time by simply swiping inwards from the Edge Handle. When words aren’t enough, send a poke or an emoticon to your People Edge contacts. OnCircle lets you communicate in ways that really count. When it comes to your favourite tracks, sound quality matters. Enjoy rich, balanced audio with Bluetooth audio accessories that support UHQ Audio. Celebrations are always better when you are sharing. Livestream the fun straight from your Galaxy S6 edge+ using the camera’s Live Broadcast function. 4GB RAM and LTE Cat.9 support ensure uninterrupted streaming. No more shaky handheld videos. Video Digital Imaging Stabilisation meets Optical Image Stabilisation to ensure you get clear and steady footage every time.","Verbesserte Blende, schärfere Bilder Durch die hohe Auflösung und einer F1.9-Blende können Sie mit den beiden Kameras des SAMSUNG Galaxy S6 edge gestochen scharfe Bilder aufnehmen. Durch kurzes, zweimaliges Drücken der Home-Taste gelangen Sie direkt in den Kameramodus - so verpassen Sie keine wichtigen Momente. Das SAMSUNG Galaxy S6 edge überzeugt mit einer erhöhten Startgeschwindigkeit für Betriebssystem und Anwendungen sowie verbesserter Energieeffizienz gegenüber Vorgängermodellen. Durch seine 64-bit-Architektur, LPDDR4 und fortschrittliche GPU steht es für Leistung, Multitasking und Multimediafunktionen der neuen Generation. Ausgestattet mit einem 12,95 cm grossen Quad-HD-Super-AMOLED-Display (2.560 x 1.440 Pixel) beeindruckt das SAMSUNG Galaxy S6 edge mit einem unglaublich scharfen Seherlebnis, dank erhöhter Helligkeit und Pixeldichte.",1,1,"This CSV is part of Open Icecat catalog, version March 2 2016, March 2, 2016 (see //www.icecat.biz), whereby the original XML source was transformed into CSV and product data was completed or optimized, where necessary. (c) Icecat.biz For the full copyright and license information, please view the LICENSE and DISCLAIMER file that was distributed with this source code. Open Icecat and its sponsors are providing you as a user a large quantity of free product data - for more details please view //www.icecat.biz.",
052,30107816,052_30107816,Samsung Galaxy S6 edge,Samsung Galaxy S6 edge,storage_capacity,64 GB,,,,,,,,"Edge Handle Assign a colour and place on People Edge to five of your favourite contacts. Reach out to them at any time by simply swiping inwards from the Edge Handle. When words aren’t enough, send a poke or an emoticon to your People Edge contacts. OnCircle lets you communicate in ways that really count. When it comes to your favourite tracks, sound quality matters. Enjoy rich, balanced audio with Bluetooth audio accessories that support UHQ Audio. Celebrations are always better when you are sharing. Livestream the fun straight from your Galaxy S6 edge+ using the camera’s Live Broadcast function. 4GB RAM and LTE Cat.9 support ensure uninterrupted streaming. No more shaky handheld videos. Video Digital Imaging Stabilisation meets Optical Image Stabilisation to ensure you get clear and steady footage every time.","Verbesserte Blende, schärfere Bilder Durch die hohe Auflösung und einer F1.9-Blende können Sie mit den beiden Kameras des SAMSUNG Galaxy S6 edge gestochen scharfe Bilder aufnehmen. Durch kurzes, zweimaliges Drücken der Home-Taste gelangen Sie direkt in den Kameramodus - so verpassen Sie keine wichtigen Momente. Das SAMSUNG Galaxy S6 edge überzeugt mit einer erhöhten Startgeschwindigkeit für Betriebssystem und Anwendungen sowie verbesserter Energieeffizienz gegenüber Vorgängermodellen. Durch seine 64-bit-Architektur, LPDDR4 und fortschrittliche GPU steht es für Leistung, Multitasking und Multimediafunktionen der neuen Generation. Ausgestattet mit einem 12,95 cm grossen Quad-HD-Super-AMOLED-Display (2.560 x 1.440 Pixel) beeindruckt das SAMSUNG Galaxy S6 edge mit einem unglaublich scharfen Seherlebnis, dank erhöhter Helligkeit und Pixeldichte.",1,1,"This CSV is part of Open Icecat catalog, version March 2 2016, March 2, 2016 (see //www.icecat.biz), whereby the original XML source was transformed into CSV and product data was completed or optimized, where necessary. (c) Icecat.biz For the full copyright and license information, please view the LICENSE and DISCLAIMER file that was distributed with this source code. Open Icecat and its sponsors are providing you as a user a large quantity of free product data - for more details please view //www.icecat.biz.",
052,30614390,052_30614390,Samsung Galaxy S6 edge,Samsung Galaxy S6 edge,storage_capacity,128 GB,,,,,,,,"Edge Handle Assign a colour and place on People Edge to five of your favourite contacts. Reach out to them at any time by simply swiping inwards from the Edge Handle. When words aren’t enough, send a poke or an emoticon to your People Edge contacts. OnCircle lets you communicate in ways that really count. When it comes to your favourite tracks, sound quality matters. Enjoy rich, balanced audio with Bluetooth audio accessories that support UHQ Audio. Celebrations are always better when you are sharing. Livestream the fun straight from your Galaxy S6 edge+ using the camera’s Live Broadcast function. 4GB RAM and LTE Cat.9 support ensure uninterrupted streaming. No more shaky handheld videos. Video Digital Imaging Stabilisation meets Optical Image Stabilisation to ensure you get clear and steady footage every time.","Verbesserte Blende, schärfere Bilder Durch die hohe Auflösung und einer F1.9-Blende können Sie mit den beiden Kameras des SAMSUNG Galaxy S6 edge gestochen scharfe Bilder aufnehmen. Durch kurzes, zweimaliges Drücken der Home-Taste gelangen Sie direkt in den Kameramodus - so verpassen Sie keine wichtigen Momente. Das SAMSUNG Galaxy S6 edge überzeugt mit einer erhöhten Startgeschwindigkeit für Betriebssystem und Anwendungen sowie verbesserter Energieeffizienz gegenüber Vorgängermodellen. Durch seine 64-bit-Architektur, LPDDR4 und fortschrittliche GPU steht es für Leistung, Multitasking und Multimediafunktionen der neuen Generation. Ausgestattet mit einem 12,95 cm grossen Quad-HD-Super-AMOLED-Display (2.560 x 1.440 Pixel) beeindruckt das SAMSUNG Galaxy S6 edge mit einem unglaublich scharfen Seherlebnis, dank erhöhter Helligkeit und Pixeldichte.",1,1,"This CSV is part of Open Icecat catalog, version March 2 2016, March 2, 2016 (see //www.icecat.biz), whereby the original XML source was transformed into CSV and product data was completed or optimized, where necessary. (c) Icecat.biz For the full copyright and license information, please view the LICENSE and DISCLAIMER file that was distributed with this source code. Open Icecat and its sponsors are providing you as a user a large quantity of free product data - for more details please view //www.icecat.biz.",
053,29567823,053_29567823,Samsung Galaxy S6 edge,Samsung Galaxy S6 edge,storage_capacity,32 GB,,,,,,,,"Edge Handle Assign a colour and place on People Edge to five of your favourite contacts. Reach out to them at any time by simply swiping inwards from the Edge Handle. When words aren’t enough, send a poke or an emoticon to your People Edge contacts. OnCircle lets you communicate in ways that really count. When it comes to your favourite tracks, sound quality matters. Enjoy rich, balanced audio with Bluetooth audio accessories that support UHQ Audio. Celebrations are always better when you are sharing. Livestream the fun straight from your Galaxy S6 edge+ using the camera’s Live Broadcast function. 4GB RAM and LTE Cat.9 support ensure uninterrupted streaming. No more shaky handheld videos. Video Digital Imaging Stabilisation meets Optical Image Stabilisation to ensure you get clear and steady footage every time.","Verbesserte Blende, schärfere Bilder Durch die hohe Auflösung und einer F1.9-Blende können Sie mit den beiden Kameras des SAMSUNG Galaxy S6 edge gestochen scharfe Bilder aufnehmen. Durch kurzes, zweimaliges Drücken der Home-Taste gelangen Sie direkt in den Kameramodus - so verpassen Sie keine wichtigen Momente. Das SAMSUNG Galaxy S6 edge überzeugt mit einer erhöhten Startgeschwindigkeit für Betriebssystem und Anwendungen sowie verbesserter Energieeffizienz gegenüber Vorgängermodellen. Durch seine 64-bit-Architektur, LPDDR4 und fortschrittliche GPU steht es für Leistung, Multitasking und Multimediafunktionen der neuen Generation. Ausgestattet mit einem 12,95 cm grossen Quad-HD-Super-AMOLED-Display (2.560 x 1.440 Pixel) beeindruckt das SAMSUNG Galaxy S6 edge mit einem unglaublich scharfen Seherlebnis, dank erhöhter Helligkeit und Pixeldichte.",1,1,"This CSV is part of Open Icecat catalog, version March 2 2016, March 2, 2016 (see //www.icecat.biz), whereby the original XML source was transformed into CSV and product data was completed or optimized, where necessary. (c) Icecat.biz For the full copyright and license information, please view the LICENSE and DISCLAIMER file that was distributed with this source code. Open Icecat and its sponsors are providing you as a user a large quantity of free product data - for more details please view //www.icecat.biz.",
053,30107816,053_30107816,Samsung Galaxy S6 edge,Samsung Galaxy S6 edge,storage_capacity,64 GB,,,,,,,,"Edge Handle Assign a colour and place on People Edge to five of your favourite contacts. Reach out to them at any time by simply swiping inwards from the Edge Handle. When words aren’t enough, send a poke or an emoticon to your People Edge contacts. OnCircle lets you communicate in ways that really count. When it comes to your favourite tracks, sound quality matters. Enjoy rich, balanced audio with Bluetooth audio accessories that support UHQ Audio. Celebrations are always better when you are sharing. Livestream the fun straight from your Galaxy S6 edge+ using the camera’s Live Broadcast function. 4GB RAM and LTE Cat.9 support ensure uninterrupted streaming. No more shaky handheld videos. Video Digital Imaging Stabilisation meets Optical Image Stabilisation to ensure you get clear and steady footage every time.","Verbesserte Blende, schärfere Bilder Durch die hohe Auflösung und einer F1.9-Blende können Sie mit den beiden Kameras des SAMSUNG Galaxy S6 edge gestochen scharfe Bilder aufnehmen. Durch kurzes, zweimaliges Drücken der Home-Taste gelangen Sie direkt in den Kameramodus - so verpassen Sie keine wichtigen Momente. Das SAMSUNG Galaxy S6 edge überzeugt mit einer erhöhten Startgeschwindigkeit für Betriebssystem und Anwendungen sowie verbesserter Energieeffizienz gegenüber Vorgängermodellen. Durch seine 64-bit-Architektur, LPDDR4 und fortschrittliche GPU steht es für Leistung, Multitasking und Multimediafunktionen der neuen Generation. Ausgestattet mit einem 12,95 cm grossen Quad-HD-Super-AMOLED-Display (2.560 x 1.440 Pixel) beeindruckt das SAMSUNG Galaxy S6 edge mit einem unglaublich scharfen Seherlebnis, dank erhöhter Helligkeit und Pixeldichte.",1,1,"This CSV is part of Open Icecat catalog, version March 2 2016, March 2, 2016 (see //www.icecat.biz), whereby the original XML source was transformed into CSV and product data was completed or optimized, where necessary. (c) Icecat.biz For the full copyright and license information, please view the LICENSE and DISCLAIMER file that was distributed with this source code. Open Icecat and its sponsors are providing you as a user a large quantity of free product data - for more details please view //www.icecat.biz.",
053,30614390,053_30614390,Samsung Galaxy S6 edge,Samsung Galaxy S6 edge,storage_capacity,128 GB,,,,,,,,"Edge Handle Assign a colour and place on People Edge to five of your favourite contacts. Reach out to them at any time by simply swiping inwards from the Edge Handle. When words aren’t enough, send a poke or an emoticon to your People Edge contacts. OnCircle lets you communicate in ways that really count. When it comes to your favourite tracks, sound quality matters. Enjoy rich, balanced audio with Bluetooth audio accessories that support UHQ Audio. Celebrations are always better when you are sharing. Livestream the fun straight from your Galaxy S6 edge+ using the camera’s Live Broadcast function. 4GB RAM and LTE Cat.9 support ensure uninterrupted streaming. No more shaky handheld videos. Video Digital Imaging Stabilisation meets Optical Image Stabilisation to ensure you get clear and steady footage every time.","Verbesserte Blende, schärfere Bilder Durch die hohe Auflösung und einer F1.9-Blende können Sie mit den beiden Kameras des SAMSUNG Galaxy S6 edge gestochen scharfe Bilder aufnehmen. Durch kurzes, zweimaliges Drücken der Home-Taste gelangen Sie direkt in den Kameramodus - so verpassen Sie keine wichtigen Momente. Das SAMSUNG Galaxy S6 edge überzeugt mit einer erhöhten Startgeschwindigkeit für Betriebssystem und Anwendungen sowie verbesserter Energieeffizienz gegenüber Vorgängermodellen. Durch seine 64-bit-Architektur, LPDDR4 und fortschrittliche GPU steht es für Leistung, Multitasking und Multimediafunktionen der neuen Generation. Ausgestattet mit einem 12,95 cm grossen Quad-HD-Super-AMOLED-Display (2.560 x 1.440 Pixel) beeindruckt das SAMSUNG Galaxy S6 edge mit einem unglaublich scharfen Seherlebnis, dank erhöhter Helligkeit und Pixeldichte.",1,1,"This CSV is part of Open Icecat catalog, version March 2 2016, March 2, 2016 (see //www.icecat.biz), whereby the original XML source was transformed into CSV and product data was completed or optimized, where necessary. (c) Icecat.biz For the full copyright and license information, please view the LICENSE and DISCLAIMER file that was distributed with this source code. Open Icecat and its sponsors are providing you as a user a large quantity of free product data - for more details please view //www.icecat.biz.",
054,29406182,054_29406182,Acer Liquid Z630,Acer Liquid Z630,,,,,,,,,,"Edge Handle Assign a colour and place on People Edge to five of your favourite contacts. Reach out to them at any time by simply swiping inwards from the Edge Handle. When words aren’t enough, send a poke or an emoticon to your People Edge contacts. OnCircle lets you communicate in ways that really count. When it comes to your favourite tracks, sound quality matters. Enjoy rich, balanced audio with Bluetooth audio accessories that support UHQ Audio. Celebrations are always better when you are sharing. Livestream the fun straight from your Galaxy S6 edge+ using the camera’s Live Broadcast function. 4GB RAM and LTE Cat.9 support ensure uninterrupted streaming. No more shaky handheld videos. Video Digital Imaging Stabilisation meets Optical Image Stabilisation to ensure you get clear and steady footage every time.","Für mehr Spaß Das 13,97 cm (5,5 Zoll) große HD-Display wird von einem beeindruckenden 64-Bit-Quad-Core-Prozessor angetrieben, der schnelle Reaktionszeiten bietet und fehlerfreie Videos, Spiele sowie reibungsloses Surfen im Internet ermöglicht. Ein Akku mit 4000 mAh liefert mehr als genug Leistung für den ganzen Tag. Beeindrucken Sie Ihre Freunde mit einem Telefon, das schöne Weitwinkel-Selfies macht, sobald Sie „Cheese“ oder „Aufnahme“ oder „Lächeln“ sagen. Die 8-MP-Selfies machen sich sehr gut auf dem IPS1 -Display, auf dem Sie Bilder optimal aus jedem Winkel betrachten können. Seien Sie der Star, wenn Sie Ihren Freunden anbieten, mit Ihrem Telefon deren Telefone aufzuladen – das geht über den Micro-USB-Ladeanschluss2. Dieser Anschluss kann auch verwendet werden, um einen USB-Stick3 einzustecken – und dann Medien wiederzugeben, Dateien herunterzuladen, diese zu speichern und freizugeben.	 ",1,1,"This CSV is part of Open Icecat catalog, version March 2 2016, March 2, 2016 (see //www.icecat.biz), whereby the original XML source was transformed into CSV and product data was completed or optimized, where necessary. (c) Icecat.biz For the full copyright and license information, please view the LICENSE and DISCLAIMER file that was distributed with this source code. Open Icecat and its sponsors are providing you as a user a large quantity of free product data - for more details please view //www.icecat.biz.",
055,29406184,055_29406184,Acer Liquid Z630,Acer Liquid Z630,,,,,,,,,,"Edge Handle Assign a colour and place on People Edge to five of your favourite contacts. Reach out to them at any time by simply swiping inwards from the Edge Handle. When words aren’t enough, send a poke or an emoticon to your People Edge contacts. OnCircle lets you communicate in ways that really count. When it comes to your favourite tracks, sound quality matters. Enjoy rich, balanced audio with Bluetooth audio accessories that support UHQ Audio. Celebrations are always better when you are sharing. Livestream the fun straight from your Galaxy S6 edge+ using the camera’s Live Broadcast function. 4GB RAM and LTE Cat.9 support ensure uninterrupted streaming. No more shaky handheld videos. Video Digital Imaging Stabilisation meets Optical Image Stabilisation to ensure you get clear and steady footage every time.","Für mehr Spaß Das 13,97 cm (5,5 Zoll) große HD-Display wird von einem beeindruckenden 64-Bit-Quad-Core-Prozessor angetrieben, der schnelle Reaktionszeiten bietet und fehlerfreie Videos, Spiele sowie reibungsloses Surfen im Internet ermöglicht. Ein Akku mit 4000 mAh liefert mehr als genug Leistung für den ganzen Tag. Beeindrucken Sie Ihre Freunde mit einem Telefon, das schöne Weitwinkel-Selfies macht, sobald Sie „Cheese“ oder „Aufnahme“ oder „Lächeln“ sagen. Die 8-MP-Selfies machen sich sehr gut auf dem IPS1 -Display, auf dem Sie Bilder optimal aus jedem Winkel betrachten können. Seien Sie der Star, wenn Sie Ihren Freunden anbieten, mit Ihrem Telefon deren Telefone aufzuladen – das geht über den Micro-USB-Ladeanschluss2. Dieser Anschluss kann auch verwendet werden, um einen USB-Stick3 einzustecken – und dann Medien wiederzugeben, Dateien herunterzuladen, diese zu speichern und freizugeben.	 ",1,1,"This CSV is part of Open Icecat catalog, version March 2 2016, March 2, 2016 (see //www.icecat.biz), whereby the original XML source was transformed into CSV and product data was completed or optimized, where necessary. (c) Icecat.biz For the full copyright and license information, please view the LICENSE and DISCLAIMER file that was distributed with this source code. Open Icecat and its sponsors are providing you as a user a large quantity of free product data - for more details please view //www.icecat.biz.",
056,31714843,056_31714843,Acer Liquid Zest 4G,Acer Liquid Zest 4G,,,,,,,,,,"Edge Handle Assign a colour and place on People Edge to five of your favourite contacts. Reach out to them at any time by simply swiping inwards from the Edge Handle. When words aren’t enough, send a poke or an emoticon to your People Edge contacts. OnCircle lets you communicate in ways that really count. When it comes to your favourite tracks, sound quality matters. Enjoy rich, balanced audio with Bluetooth audio accessories that support UHQ Audio. Celebrations are always better when you are sharing. Livestream the fun straight from your Galaxy S6 edge+ using the camera’s Live Broadcast function. 4GB RAM and LTE Cat.9 support ensure uninterrupted streaming. No more shaky handheld videos. Video Digital Imaging Stabilisation meets Optical Image Stabilisation to ensure you get clear and steady footage every time.","Unvergessliche Momente einfangen Mit einer 8-MP-Kamera und 4G2 können Sie einzigartige Momente jederzeit einfangen und direkt mit anderen teilen, egal wo Sie sind. Dieser Moment ist nichts ohne Sie und Ihre Freunde? Kein Problem, denn dank des 85-Grad-Weitwinkelobjektivs der 5-MP-Frontkamera passen genügend Personen auf Ihre Fotos für unvergessliche Selfies. DTS® Studio Sound1 bietet satte Bässe und kristallklare Dialoge bei maximaler Lautstärke ohne jegliche Verzerrungen. Gleichzeitig sorgt DTS-HD® Premium für einen volleren Surround Sound und ein beeindruckendes 3D-Audioerlebnis über Ihre Kopfhörer. Erleben Sie grenzenlose Bildqualität aus fast jedem Betrachtungswinkel auf einem 12,7 cm (5-Zoll)-IPS-Display. Dank Zero Air Gap-Technologie bleibt die Bildqualität auch bei hellem Sonnenlicht gleich, während die On-Cell Touch-Technologie störende Bildschirmreflexionen reduziert.	 ",1,1,"This CSV is part of Open Icecat catalog, version March 2 2016, March 2, 2016 (see //www.icecat.biz), whereby the original XML source was transformed into CSV and product data was completed or optimized, where necessary. (c) Icecat.biz For the full copyright and license information, please view the LICENSE and DISCLAIMER file that was distributed with this source code. Open Icecat and its sponsors are providing you as a user a large quantity of free product data - for more details please view //www.icecat.biz.",
057,32007641,057_32007641,Acer Liquid Zest 4G,Acer Liquid Zest 4G,,,,,,,,,,"Edge Handle Assign a colour and place on People Edge to five of your favourite contacts. Reach out to them at any time by simply swiping inwards from the Edge Handle. When words aren’t enough, send a poke or an emoticon to your People Edge contacts. OnCircle lets you communicate in ways that really count. When it comes to your favourite tracks, sound quality matters. Enjoy rich, balanced audio with Bluetooth audio accessories that support UHQ Audio. Celebrations are always better when you are sharing. Livestream the fun straight from your Galaxy S6 edge+ using the camera’s Live Broadcast function. 4GB RAM and LTE Cat.9 support ensure uninterrupted streaming. No more shaky handheld videos. Video Digital Imaging Stabilisation meets Optical Image Stabilisation to ensure you get clear and steady footage every time.","Unvergessliche Momente einfangen Mit einer 8-MP-Kamera und 4G2 können Sie einzigartige Momente jederzeit einfangen und direkt mit anderen teilen, egal wo Sie sind. Dieser Moment ist nichts ohne Sie und Ihre Freunde? Kein Problem, denn dank des 85-Grad-Weitwinkelobjektivs der 5-MP-Frontkamera passen genügend Personen auf Ihre Fotos für unvergessliche Selfies. DTS® Studio Sound1 bietet satte Bässe und kristallklare Dialoge bei maximaler Lautstärke ohne jegliche Verzerrungen. Gleichzeitig sorgt DTS-HD® Premium für einen volleren Surround Sound und ein beeindruckendes 3D-Audioerlebnis über Ihre Kopfhörer. Erleben Sie grenzenlose Bildqualität aus fast jedem Betrachtungswinkel auf einem 12,7 cm (5-Zoll)-IPS-Display. Dank Zero Air Gap-Technologie bleibt die Bildqualität auch bei hellem Sonnenlicht gleich, während die On-Cell Touch-Technologie störende Bildschirmreflexionen reduziert.	 ",1,1,"This CSV is part of Open Icecat catalog, version March 2 2016, March 2, 2016 (see //www.icecat.biz), whereby the original XML source was transformed into CSV and product data was completed or optimized, where necessary. (c) Icecat.biz For the full copyright and license information, please view the LICENSE and DISCLAIMER file that was distributed with this source code. Open Icecat and its sponsors are providing you as a user a large quantity of free product data - for more details please view //www.icecat.biz.",
058,24245592,058_24245592,Acer Liquid Jade,Acer Liquid Jade,series,Jade Plus,,,,,,,,"Edge Handle Assign a colour and place on People Edge to five of your favourite contacts. Reach out to them at any time by simply swiping inwards from the Edge Handle. When words aren’t enough, send a poke or an emoticon to your People Edge contacts. OnCircle lets you communicate in ways that really count. When it comes to your favourite tracks, sound quality matters. Enjoy rich, balanced audio with Bluetooth audio accessories that support UHQ Audio. Celebrations are always better when you are sharing. Livestream the fun straight from your Galaxy S6 edge+ using the camera’s Live Broadcast function. 4GB RAM and LTE Cat.9 support ensure uninterrupted streaming. No more shaky handheld videos. Video Digital Imaging Stabilisation meets Optical Image Stabilisation to ensure you get clear and steady footage every time.","Ein Kunstwerk Das 5-Zoll-Display des Liquid Jade ist ein ansprechender Anblick. Die HD-Auflösung in Kombination mit der IPS1-Technologie verleiht Videos, Bildern und Web-Inhalten noch mehr Leben. Außerdem lässt das Zero Air Gap-Design alle Bilder gut aussehen – auch bei Sonnenlicht. Der Name sagt alles: ein Smartphone, das ist so schön ist wie Jade. Dank der 7,5 mm flachen und geschwungenen, ergonomischen Oberflächen liegt das Liquid Jade angenehm in der Hand. Die geschwungene Corning® Gorilla® Glass-Display unterstreicht die robuste und doch ansprechende Bauweise des Liquid Jade.",1,1,"This CSV is part of Open Icecat catalog, version March 2 2016, March 2, 2016 (see //www.icecat.biz), whereby the original XML source was transformed into CSV and product data was completed or optimized, where necessary. (c) Icecat.biz For the full copyright and license information, please view the LICENSE and DISCLAIMER file that was distributed with this source code. Open Icecat and its sponsors are providing you as a user a large quantity of free product data - for more details please view //www.icecat.biz.",
