externalId,name.en,slug.en
231,line matrix printers,231_line-matrix-printers
234,inkjet printers,234_inkjet-printers
235,laser/LED printers,235_laserled-printers
236,chassis components,236_chassis-components
237,computer cases,237_computer-cases
238,network equipment chassis,238_network-equipment-chassis
239,slot expanders,239_slot-expanders
240,racks,240_racks
242,networking,242_networking
243,interface hubs,243_interface-hubs
244,wired routers,244_wired-routers
246,media filters,246_media-filters
248,Multistation Access Units (MAU),248_multistation-access-units-mau
249,data service units,249_data-service-units
253,modems,253_modems
254,ISDN access devices,254_isdn-access-devices
256,modem teleadaptors,256_modem-teleadaptors
258,network switches,258_network-switches
262,bridges & repeaters,262_bridges-repeaters
274,bar code readers,274_bar-code-readers
281,serial switch boxes,281_serial-switch-boxes
282,KVM switches,282_kvm-switches
283,printer switches,283_printer-switches
287,data storage mediums,287_data-storage-mediums
291,diskettes,291_diskettes
292,blank CDs,292_blank-cds
293,blank data tapes,293_blank-data-tapes
294,high density removable media blank disks,294_high-density-removable-media-blank-disks
298,storage media cases,298_storage-media-cases
300,office,300_office
302,copiers,302_copiers
303,fax machines,303_fax-machines
304,multifunctionals,304_multifunctionals
306,paper cutters,306_paper-cutters
307,binding machines,307_binding-machines
312,duplex units,312_duplex-units
314,trays & feeders,314_trays-feeders
316,calculators,316_calculators
322,laminating supplies,322_laminating-supplies
323,lamination films,323_lamination-films
325,franking & postage machines,325_franking-postage-machines
332,endorsers/imprinters,332_endorsersimprinters
353,sorters,353_sorters
355,typewriters,355_typewriters
356,printwheels,356_printwheels
360,laminators,360_laminators
363,storage accessories for office machines,363_storage-accessories-for-office-machines
364,cleaning media,364_cleaning-media
367,equipment cleansing kit,367_equipment-cleansing-kit
369,fuser cleaning pads,369_fuser-cleaning-pads
370,fuser oil,370_fuser-oil
371,fuser wipers,371_fuser-wipers
372,fusers,372_fusers
373,printing supplies,373_printing-supplies
374,printer belts,374_printer-belts
375,laser toner & cartridges,375_laser-toner-cartridges
376,printer rollers,376_printer-rollers
377,ink cartridges,377_ink-cartridges
378,ink sticks,378_ink-sticks
379,printer cleaning,379_printer-cleaning
380,developer units,380_developer-units
381,printer drums,381_printer-drums
388,binding covers,388_binding-covers
390,desk accessories & supplies,390_desk-accessories-supplies
392,desk drawer organizers,392_desk-drawer-organizers
393,desk trays,393_desk-trays
394,bookends,394_bookends
400,cash & ticket boxes,400_cash-ticket-boxes
401,cash box trays,401_cash-box-trays
403,drawing supplies,403_drawing-supplies
404,stencils,404_stencils
405,drafting films,405_drafting-films
406,bow compasses,406_bow-compasses
407,drafting papers,407_drafting-papers
413,triangles,413_triangles
415,boards,415_boards
416,planning boards,416_planning-boards
419,letter boards,419_letter-boards
422,bulletin boards,422_bulletin-boards
423,magnetic boards,423_magnetic-boards
424,planning systems,424_planning-systems
425,address books,425_address-books
426,calendars,426_calendars
428,appointment books,428_appointment-books
431,mail supplies,431_mail-supplies
432,mailer tubes,432_mailer-tubes
433,media mailers,433_media-mailers
434,window envelopes,434_window-envelopes
436,envelopes,436_envelopes
438,desk supplies,438_desk-supplies
440,tape dispensers,440_tape-dispensers
443,staple removers,443_staple-removers
445,staplers,445_staplers
446,manual letter openers,446_manual-letter-openers
447,scissors,447_scissors
448,pencil sharpeners,448_pencil-sharpeners
449,finger stalls,449_finger-stalls
450,desk pads,450_desk-pads
451,moisteners,451_moisteners
452,mechanical letter openers,452_mechanical-letter-openers
453,writing instruments,453_writing-instruments
454,rollerball pens,454_rollerball-pens
455,pen & pencil sets,455_pen-pencil-sets
456,fountain pens,456_fountain-pens
457,ballpoint pens,457_ballpoint-pens
459,wooden pencils,459_wooden-pencils
460,colour pencils,460_colour-pencils
461,markers,461_markers
463,writing chalk,463_writing-chalk
464,felt pens,464_felt-pens
467,correction fluid,467_correction-fluid
469,correction pens/rollers,469_correction-pensrollers
471,lead refills,471_lead-refills
473,ink pads,473_ink-pads
474,"folders, binders & indexes",474_folders-binders-indexes
475,index card trays,475_index-card-trays
477,ring binders,477_ring-binders
480,presentation materials,480_presentation-materials
481,tab indexes,481_tab-indexes
482,business card files,482_business-card-files
483,dividers,483_dividers
484,folders,484_folders
485,clipboards,485_clipboards
486,report covers,486_report-covers
489,rubber bands,489_rubber-bands
490,prongs,490_prongs
491,clasp fasteners,491_clasp-fasteners
492,paper clips,492_paper-clips
493,document clips,493_document-clips
494,pins & tacks,494_pins-tacks
495,staples,495_staples
558,projectors,558_projectors
559,laser pointers,559_laser-pointers
560,projector lamps,560_projector-lamps
561,projection screens,561_projection-screens
562,slide projectors,562_slide-projectors
565,overhead projectors,565_overhead-projectors
566,film projectors,566_film-projectors
567,data projectors,567_data-projectors
571,cameras & camcorders,571_cameras-camcorders
574,film cameras,574_film-cameras
575,digital cameras,575_digital-cameras
577,webcams,577_webcams
584,camcorders,584_camcorders
585,camera accessories,585_camera-accessories
586,camera flashes,586_camera-flashes
587,tripods,587_tripods
588,camera lenses,588_camera-lenses
597,colour films,597_colour-films
598,black & white films,598_black-white-films
599,instant picture films,599_instant-picture-films
604,blank video tapes,604_blank-video-tapes
692,printing media,692_printing-media
700,fax paper,700_fax-paper
702,plotter paper,702_plotter-paper
704,graph paper,704_graph-paper
705,ledger paper,705_ledger-paper
706,writing notebooks,706_writing-notebooks
708,notebook filler paper,708_notebook-filler-paper
709,business forms,709_business-forms
710,index cards,710_index-cards
714,printing paper,714_printing-paper
717,business cards,717_business-cards
718,greeting cards,718_greeting-cards
787,installation services,787_installation-services
788,warranty & support extensions,788_warranty-support-extensions
803,software licenses/upgrades,803_software-licensesupgrades
814,rechargeable batteries,814_rechargeable-batteries
816,other power supplies,816_other-power-supplies
817,uninterruptible power supplies (UPSs),817_uninterruptible-power-supplies-upss
819,security devices,819_security-devices
820,security device components,820_security-device-components
822,equipment cases,822_equipment-cases
823,bags & cases,823_bags-cases
826,backpacks,826_backpacks
827,power adapters & inverters,827_power-adapters-inverters
829,battery chargers,829_battery-chargers
830,computer cables,830_computer-cables
832,hardware firewalls,832_hardware-firewalls
833,gateways/controllers,833_gatewayscontrollers
836,software manuals,836_software-manuals
839,warranty & support,839_warranty-support
840,ozone filters,840_ozone-filters
842,digital senders,842_digital-senders
843,printer films,843_printer-films
844,matt white films,844_matt-white-films
845,printable textiles,845_printable-textiles
846,print heads,846_print-heads
847,photo paper,847_photo-paper
848,polypropylene films,848_polypropylene-films
850,MP3/MP4 players,850_mp3mp4-players
853,transparancy films,853_transparancy-films
854,writing paper,854_writing-paper
857,remote controls,857_remote-controls
858,card readers,858_card-readers
859,projector accessories,859_projector-accessories
860,media spindles,860_media-spindles
862,HDD/SSD enclosures,862_hddssd-enclosures
867,wire connectors,867_wire-connectors
868,bar code labels,868_bar-code-labels
869,power cables,869_power-cables
872,network monitoring software,872_network-monitoring-software
875,storage networking software,875_storage-networking-software
878,firewall software,878_firewall-software
880,telephony cables,880_telephony-cables
883,networking cables,883_networking-cables
885,email clients,885_email-clients
886,conferencing software,886_conferencing-software
887,instant messaging software,887_instant-messaging-software
888,handheld device accessories,888_handheld-device-accessories
889,language fonts,889_language-fonts
890,peripheral controllers,890_peripheral-controllers
893,navigation software,893_navigation-software
894,daughterboards,894_daughterboards
896,thin clients,896_thin-clients
897,tablets,897_tablets
900,HTML editors,900_html-editors
902,memory cards,902_memory-cards
903,plasma TVs,903_plasma-tvs
904,CRM software,904_crm-software
905,printer ribbons,905_printer-ribbons
907,paper shredders,907_paper-shredders
909,WLAN access points,909_wlan-access-points
910,navigators,910_navigators
911,memory modules,911_memory-modules
915,printer cabinets & stands,915_printer-cabinets-stands
916,scanner transparancy adapters,916_scanner-transparancy-adapters
917,output stackers,917_output-stackers
918,magneto optical drives,918_magneto-optical-drives
920,network switch components,920_network-switch-components
921,computer cooling components,921_computer-cooling-components
922,photo printers,922_photo-printers
923,audio modules,923_audio-modules
925,print servers,925_print-servers
932,NAS & storage servers,932_nas-storage-servers
933,camera lens adapters,933_camera-lens-adapters
934,camera cables,934_camera-cables
935,microphones,935_microphones
937,entertainment robots,937_entertainment-robots
940,flat panel accessories,940_flat-panel-accessories
942,flat panel desk mounts,942_flat-panel-desk-mounts
943,display privacy filters,943_display-privacy-filters
946,non-rechargeable batteries,946_non-rechargeable-batteries
952,coaxial cables,952_coaxial-cables
953,fiber optic cables,953_fiber-optic-cables
956,flat cables,956_flat-cables
957,smart cards,957_smart-cards
961,network analyzers,961_network-analyzers
962,IT courses,962_it-courses
963,power supply units,963_power-supply-units
964,serial infrared ports,964_serial-infrared-ports
966,zip drives,966_zip-drives
971,large format media,971_large-format-media
977,cable locks,977_cable-locks
978,printer kits,978_printer-kits
979,dust covers,979_dust-covers
980,stapler units,980_stapler-units
981,imaging units,981_imaging-units
982,cushioning,982_cushioning
984,power distribution units (PDUs),984_power-distribution-units-pdus
986,grounding hardware,986_grounding-hardware
987,coaxial connectors,987_coaxial-connectors
989,processors,989_processors
991,magnetic card readers,991_magnetic-card-readers
992,GPRS equipment,992_gprs-equipment
996,packages,996_packages
998,holders,998_holders
999,channel converters,999_channel-converters
1001,DVD players,1001_dvd-players
1006,projection lenses,1006_projection-lenses
1007,mounting kits,1007_mounting-kits
1008,network media converters,1008_network-media-converters
1010,printer labels,1010_printer-labels
1013,ropes,1013_ropes
1014,tapes,1014_tapes
1015,glues,1015_glues
1017,postal scales,1017_postal-scales
1018,distance meters,1018_distance-meters
1020,headphones,1020_headphones
1022,laminator pouches,1022_laminator-pouches
1023,typewriter ribbons,1023_typewriter-ribbons
1024,toner collectors,1024_toner-collectors
1025,pen & pencil holders,1025_pen-pencil-holders
1026,folder/literature racks,1026_folderliterature-racks
1027,file storage boxes & organizers,1027_file-storage-boxes-organizers
1028,collating racks,1028_collating-racks
1029,furniture floor protector mats,1029_furniture-floor-protector-mats
1030,document holders,1030_document-holders
1031,hanging folders & accessories,1031_hanging-folders-accessories
1032,card pockets,1032_card-pockets
1033,folder binding accessories,1033_folder-binding-accessories
1034,hole reinforcements,1034_hole-reinforcements
1035,round head fasteners,1035_round-head-fasteners
1036,thermal binding machines,1036_thermal-binding-machines
1038,key cabinets & organizers,1038_key-cabinets-organizers
1040,foot rests,1040_foot-rests
1041,wrist rests,1041_wrist-rests
1045,playing cards,1045_playing-cards
1048,calligraphy kits,1048_calligraphy-kits
1049,fineliners,1049_fineliners
1050,photo albums,1050_photo-albums
1051,photo stickers,1051_photo-stickers
1052,self-adhesive labels,1052_self-adhesive-labels
1053,addressing labels,1053_addressing-labels
1054,key tags,1054_key-tags
1056,flat panel wall mounts,1056_flat-panel-wall-mounts
1057,application server software,1057_application-server-software
1058,audio & home theatre,1058_audio-home-theatre
1060,game consoles,1060_game-consoles
1061,video cassette recorders,1061_video-cassette-recorders
1062,PC/workstation barebones,1062_pcworkstation-barebones
1063,correction ribbons,1063_correction-ribbons
1064,fax supplies,1064_fax-supplies
1065,office furniture,1065_office-furniture
1066,blank DVDs,1066_blank-dvds
1069,whiteboards,1069_whiteboards
1070,non-adhesive labels,1070_non-adhesive-labels
1072,glossy white films,1072_glossy-white-films
1075,hole punches,1075_hole-punches
1076,filing cabinets,1076_filing-cabinets
1077,zip disks,1077_zip-disks
1078,LCD TVs,1078_lcd-tvs
1081,loudspeakers,1081_loudspeakers
1082,home cinema systems,1082_home-cinema-systems
1083,radios,1083_radios
1086,TV set-top boxes,1086_tv-set-top-boxes
1087,dictaphones,1087_dictaphones
1088,calligraphy pens,1088_calligraphy-pens
1089,mobile phone starter kits,1089_mobile-phone-starter-kits
1092,board games,1092_board-games
1093,geographical maps,1093_geographical-maps
1094,cleaning wipes for office,1094_cleaning-wipes-for-office
1101,flip charts,1101_flip-charts
1103,adhesive plastic,1103_adhesive-plastic
1104,coat stands,1104_coat-stands
1105,paint markers,1105_paint-markers
1106,drawing portfolios,1106_drawing-portfolios
1107,personal organizers,1107_personal-organizers
1109,drawing boards,1109_drawing-boards
1110,T-shirt transfers,1110_t-shirt-transfers
1111,adhesive remover,1111_adhesive-remover
1112,foot stools,1112_foot-stools
1113,accounting forms & books,1113_accounting-forms-books
1114,administration books,1114_administration-books
1115,showcases,1115_showcases
1116,permanent markers,1116_permanent-markers
1119,party supplies,1119_party-supplies
1120,sign holders,1120_sign-holders
1121,SCSI cables,1121_scsi-cables
1122,IP communication servers,1122_ip-communication-servers
1125,projector cases,1125_projector-cases
1130,gift wrappings,1130_gift-wrappings
1131,art paper,1131_art-paper
1134,cardboard,1134_cardboard
1135,packaging paper,1135_packaging-paper
1136,personal paper products,1136_personal-paper-products
1137,paper towels,1137_paper-towels
1139,toilet paper,1139_toilet-paper
1140,paper napkins,1140_paper-napkins
1141,paper table cloth,1141_paper-table-cloth
1144,stretch film dispensers,1144_stretch-film-dispensers
1147,packaging materials,1147_packaging-materials
1148,printer cables,1148_printer-cables
1149,stretch wrap films,1149_stretch-wrap-films
1150,packaging films,1150_packaging-films
1151,power extensions,1151_power-extensions
1154,foil,1154_foil
1155,stepladders,1155_stepladders
1157,hooks,1157_hooks
1158,USB cables,1158_usb-cables
1159,seals,1159_seals
1160,film adhesives,1160_film-adhesives
1162,paint brushes,1162_paint-brushes
1163,bulbs,1163_bulbs
1164,halogen bulbs,1164_halogen-bulbs
1165,fluorescent bulbs,1165_fluorescent-bulbs
1168,fluorescent fixtures,1168_fluorescent-fixtures
1169,wax candles,1169_wax-candles
1170,not categorized,1170_not-categorized
1171,flashlights,1171_flashlights
1172,cable clamps,1172_cable-clamps
1174,air circulators,1174_air-circulators
1175,household fans,1175_household-fans
1176,split-system air conditioners,1176_split-system-air-conditioners
1177,air filters,1177_air-filters
1178,rulers,1178_rulers
1179,camera docks,1179_camera-docks
1185,letter folders,1185_letter-folders
1186,money counting machines,1186_money-counting-machines
1188,air compressed spray,1188_air-compressed-spray
1190,binding kits,1190_binding-kits
1192,counterfeit bill detectors,1192_counterfeit-bill-detectors
1193,protractors,1193_protractors
1194,drafting templates,1194_drafting-templates
1195,easels,1195_easels
1196,dry erase boards,1196_dry-erase-boards
1197,chalk boards,1197_chalk-boards
1198,bookmarks,1198_bookmarks
1199,filing pockets,1199_filing-pockets
1200,developer solution,1200_developer-solution
1201,fixatives,1201_fixatives
1203,padlocks,1203_padlocks
1204,safes,1204_safes
1205,key chains & cases,1205_key-chains-cases
1206,protective gloves,1206_protective-gloves
1207,safety vests,1207_safety-vests
1208,toy balloons,1208_toy-balloons
1209,safety helmets,1209_safety-helmets
1210,clothing care,1210_clothing-care
1211,computer furniture parts,1211_computer-furniture-parts
1212,computer desks,1212_computer-desks
1213,freestanding tables,1213_freestanding-tables
1215,office & computer chairs,1215_office-computer-chairs
1216,pictograms,1216_pictograms
1217,selfadhesive pictograms,1217_selfadhesive-pictograms
1218,non-metallic nameplates,1218_non-metallic-nameplates
1219,label-making tapes,1219_label-making-tapes
1220,dictionaries,1220_dictionaries
1221,hobby paints,1221_hobby-paints
1222,maps,1222_maps
1223,wall clocks,1223_wall-clocks
1224,safety glasses,1224_safety-glasses
1225,hearing protectors,1225_hearing-protectors
1226,ear plugs,1226_ear-plugs
1227,ear defenders,1227_ear-defenders
1228,personal safety & protection,1228_personal-safety-protection
1229,protection masks,1229_protection-masks
1231,fire protection,1231_fire-protection
1232,folding machines,1232_folding-machines
1233,janitor carts,1233_janitor-carts
1234,vacuum cleaners,1234_vacuum-cleaners
1235,vacuum cleaner supplies,1235_vacuum-cleaner-supplies
1236,waste containers & accessories,1236_waste-containers-accessories
1237,trash bags,1237_trash-bags
1239,ash-trays,1239_ash-trays
1242,carbon paper,1242_carbon-paper
1243,floor care,1243_floor-care
1244,scouring pads,1244_scouring-pads
1245,sponges,1245_sponges
1246,brooms,1246_brooms
1247,cleaning brushes,1247_cleaning-brushes
1248,mops,1248_mops
1249,restroom supplies,1249_restroom-supplies
1250,paper towel dispensers,1250_paper-towel-dispensers
1251,soap & lotion dispensers,1251_soap-lotion-dispensers
1252,WC accessories,1252_wc-accessories
1253,air freshener dispensers,1253_air-freshener-dispensers
1254,toilet tissue dispensers,1254_toilet-tissue-dispensers
1255,cups & mugs,1255_cups-mugs
1256,food service trays,1256_food-service-trays
1258,creamer,1258_creamer
1259,sugars & sweetening products,1259_sugars-sweetening-products
1260,chocolate bars,1260_chocolate-bars
1261,instant soups,1261_instant-soups
1262,chips,1262_chips
1263,coffee & tea,1263_coffee-tea
1264,beer,1264_beer
1265,"food, beverages & tobacco",1265_food-beverages-tobacco
1266,non-alcohol drinks,1266_non-alcohol-drinks
1267,mats,1267_mats
1269,laundry baskets,1269_laundry-baskets
1270,kitchen spatulas,1270_kitchen-spatulas
1271,flatware & cutlery,1271_flatware-cutlery
1272,"dishes, servingware & storage containers",1272_dishes-servingware-storage-containers
1273,soaps,1273_soaps
1274,tool holder,1274_tool-holder
1276,bandages & dressings,1276_bandages-dressings
1279,traffic signals,1279_traffic-signals
1280,health & beauty,1280_health-beauty
1282,makeup & manicure cases,1282_makeup-manicure-cases
1283,MP3/MP4 player accessories,1283_mp3mp4-player-accessories
1284,notebook accessories,1284_notebook-accessories
1285,notebook cases,1285_notebook-cases
1288,camera kits,1288_camera-kits
1290,camera cases,1290_camera-cases
1291,peripheral device cases,1291_peripheral-device-cases
1293,infotainment,1293_infotainment
1294,register paper,1294_register-paper
1295,perforated paper,1295_perforated-paper
1296,computer TV tuners,1296_computer-tv-tuners
1297,other input devices,1297_other-input-devices
1298,AV receivers,1298_av-receivers
1299,VPN security equipment,1299_vpn-security-equipment
1302,CRT TVs,1302_crt-tvs
1303,SATA cables,1303_sata-cables
1304,CD players,1304_cd-players
1305,print & scan accessories,1305_print-scan-accessories
1306,firewire cables,1306_firewire-cables
1307,AV cables,1307_av-cables
1308,wave division multiplexers,1308_wave-division-multiplexers
1309,sugar & candy,1309_sugar-candy
1310,water filters,1310_water-filters
1311,fingerprint readers,1311_fingerprint-readers
1312,temporary tattoo paints,1312_temporary-tattoo-paints
1313,car media receivers,1313_car-media-receivers
1314,domestic appliances,1314_domestic-appliances
1315,small kitchen appliances,1315_small-kitchen-appliances
1317,bread making machines,1317_bread-making-machines
1318,toasters,1318_toasters
1319,deep fryers,1319_deep-fryers
1320,coffee makers,1320_coffee-makers
1321,electric kettles,1321_electric-kettles
1322,freezers,1322_freezers
1323,fridges,1323_fridges
1324,dishwashers,1324_dishwashers
1325,microwaves,1325_microwaves
1327,cookers,1327_cookers
1329,irons,1329_irons
1330,tumble dryers,1330_tumble-dryers
1331,washing machines,1331_washing-machines
1332,kitchenware,1332_kitchenware
1333,bath appliances,1333_bath-appliances
1334,electric toothbrushes,1334_electric-toothbrushes
1335,solariums,1335_solariums
1336,women's shavers,1336_womens-shavers
1337,men's shavers,1337_mens-shavers
1338,audio tuners,1338_audio-tuners
1339,home audio sets,1339_home-audio-sets
1340,cassette players,1340_cassette-players
1341,cooker hoods,1341_cooker-hoods
1342,minidisc players,1342_minidisc-players
1343,removal taxes,1343_removal-taxes
1345,projection TVs,1345_projection-tvs
1346,speaker mounts,1346_speaker-mounts
1347,flat panel floor stands,1347_flat-panel-floor-stands
1348,tractor feed paper,1348_tractor-feed-paper
1349,facial tissues,1349_facial-tissues
1350,cans & pails,1350_cans-pails
1351,storage chests & cabinets & trunks,1351_storage-chests-cabinets-trunks
1352,jugs,1352_jugs
1353,packed peanuts,1353_packed-peanuts
1354,hand saws,1354_hand-saws
1355,hand tools,1355_hand-tools
1356,hammers,1356_hammers
1357,wrenches & drivers,1357_wrenches-drivers
1358,measuring & layout tools,1358_measuring-layout-tools
1359,tongs,1359_tongs
1360,power drills,1360_power-drills
1361,work clothing,1361_work-clothing
1362,men outerwear,1362_men-outerwear
1363,men's overalls,1363_mens-overalls
1364,clothing hangers,1364_clothing-hangers
1365,overshoes,1365_overshoes
1366,teeth care,1366_teeth-care
1367,glitters,1367_glitters
1368,warning signs,1368_warning-signs
1369,baked goods,1369_baked-goods
1370,"sauces, spreads & condiments",1370_sauces-spreads-condiments
1371,cleaning & disinfecting,1371_cleaning-disinfecting
1372,video servers/encoders,1372_video-serversencoders
1373,digital media players,1373_digital-media-players
1374,car speakers,1374_car-speakers
1375,wine,1375_wine
1376,alcohol drinks,1376_alcohol-drinks
1377,artificial plants,1377_artificial-plants
1378,cooking & table salt,1378_cooking-table-salt
1379,drink coolers,1379_drink-coolers
1380,feminine hygiene products,1380_feminine-hygiene-products
1381,protective pants,1381_protective-pants
1382,security access control systems,1382_security-access-control-systems
1383,parking meters,1383_parking-meters
1385,dried fruits,1385_dried-fruits
1386,tag guns,1386_tag-guns
1387,waffle irons,1387_waffle-irons
1388,surge protectors,1388_surge-protectors
1389,barebooks,1389_barebooks
1390,barbecues & grills,1390_barbecues-grills
1391,beertenders,1391_beertenders
1392,blenders,1392_blenders
1393,crepe paper,1393_crepe-paper
1394,magnifiers,1394_magnifiers
1395,coffee making accessories,1395_coffee-making-accessories
1396,first aid kits,1396_first-aid-kits
1397,mechanical pencils,1397_mechanical-pencils
1398,audio/video cassettes,1398_audiovideo-cassettes
1399,mobile device chargers,1399_mobile-device-chargers
1400,personal scales,1400_personal-scales
1401,infrared bulbs,1401_infrared-bulbs
1402,ultraviolet (UV) bulbs,1402_ultraviolet-uv-bulbs
1403,babyphones,1403_babyphones
1405,hair trimmers/clippers,1405_hair-trimmersclippers
1406,juice makers,1406_juice-makers
1407,tin openers,1407_tin-openers
1408,blood pressure units,1408_blood-pressure-units
1409,floor polishers,1409_floor-polishers
1410,electric blankets/pillows,1410_electric-blanketspillows
1411,egg poachers,1411_egg-poachers
1412,hair dryers,1412_hair-dryers
1413,makeup mirrors,1413_makeup-mirrors
1414,hair stylers,1414_hair-stylers
1415,food warmers,1415_food-warmers
1417,ice cream makers,1417_ice-cream-makers
1418,alarm clocks,1418_alarm-clocks
1419,cool boxes,1419_cool-boxes
1420,coffee grinders,1420_coffee-grinders
1421,binoculars,1421_binoculars
1422,high-pressure cleaners,1422_high-pressure-cleaners
1423,sweepers,1423_sweepers
1424,sandwich makers,1424_sandwich-makers
1425,feeding bottles,1425_feeding-bottles
1426,kitchen scales,1426_kitchen-scales
1427,trouser presses,1427_trouser-presses
1429,rice cookers,1429_rice-cookers
1430,dry cleaners,1430_dry-cleaners
1431,wine cabinets,1431_wine-cabinets
1432,shaver accessories,1432_shaver-accessories
1433,foot baths,1433_foot-baths
1434,mincers,1434_mincers
1435,rain gauges,1435_rain-gauges
1436,dehumidifiers,1436_dehumidifiers
1437,air purifiers,1437_air-purifiers
1438,air purifier accessories,1438_air-purifier-accessories
1439,satellite antennas,1439_satellite-antennas
1440,car kits,1440_car-kits
1441,colorimeters,1441_colorimeters
1442,spectrophotometers,1442_spectrophotometers
1443,densitometers,1443_densitometers
1445,incandescent bulbs,1445_incandescent-bulbs
1446,magneto optical disks,1446_magneto-optical-disks
1447,label holders,1447_label-holders
1448,magazine racks,1448_magazine-racks
1449,badges/badge holders,1449_badgesbadge-holders
1450,business card holders,1450_business-card-holders
1452,globes,1452_globes
1454,dishwashing detergents,1454_dishwashing-detergents
1455,matches,1455_matches
1456,board cleaning kits,1456_board-cleaning-kits
1457,books,1457_books
1458,"clay, modeling compounds & accessories",1458_clay-modeling-compounds-accessories
1459,battery testers,1459_battery-testers
1460,headphone pillows,1460_headphone-pillows
1461,snow & ice melters,1461_snow-ice-melters
1462,briefcases,1462_briefcases
1463,general purpose cleaners,1463_general-purpose-cleaners
1464,aluminium foil,1464_aluminium-foil
1465,baking trays & sheets,1465_baking-trays-sheets
1466,flutes,1466_flutes
1467,scan converters,1467_scan-converters
1468,charcoal pencils,1468_charcoal-pencils
1469,thermal paper,1469_thermal-paper
1470,frying pans,1470_frying-pans
1471,decorative stickers,1471_decorative-stickers
1472,inks,1472_inks
1473,dip pens,1473_dip-pens
1474,tickets,1474_tickets
1475,tweezers,1475_tweezers
1476,varnishes,1476_varnishes
1477,picture frames,1477_picture-frames
1478,self adhesive symbols,1478_self-adhesive-symbols
1479,cosmetics,1479_cosmetics
1480,writing slates,1480_writing-slates
1481,thermoses,1481_thermoses
1482,posters,1482_posters
1483,acryl paints,1483_acryl-paints
1484,water based paints,1484_water-based-paints
1485,washable finger paints,1485_washable-finger-paints
1486,food processors,1486_food-processors
1487,colour management software,1487_colour-management-software
1488,telephone hangers,1488_telephone-hangers
1489,MIDI keyboards,1489_midi-keyboards
