slug,variantid,sku,image_quality,lens_system,focus,screen,video,short_description.en_US,long_description.en_US,short_description.de_DE,long_description.de_DE
575_canon_160,1,25905585,,,,,,,,,
575_canon_165,1,25904598,,,,,,,,,
575_canon_285-hs,1,30688700,,,,,,,,,
575_canon_g9-x,1,30021637,,,,,,,,,
575_canon_rebel-sl1-ef-s-18-55mm,1,18146996,,,,,,,,,
575_canon_sx610-hs,1,25904691,,,,,,,,,
575_fujifilm_xp80,1,26224361,,,,,,,,,
575_panasonic_dmc-fz300,1,29393146,,,,,,,,,
575_panasonic_dmc-gh4-g-vario-hd-14-140mm,1,22766226,,,,,,,,,
575_panasonic_dmc-sz10,1,26141878,,,,,,,,,
575_panasonic_dmc-tz57eg,1,26933260,,,,,,,,,
575_sony_dsc-w630,1,12255434,,,,,,,,,
584_canon_hf-g25,1,17365820,CMOS,10 x,Auto/Manual,"8,9 cm (3.5"")",Handheld camcorder,"Canon LEGRIA HF G25, CMOS, Handheld camcorder, 1/2000, 25.4 / 3 mm (1 / 3""), 4.25 - 42.5 mm, Memory card","Canon HF G25, LEGRIA. Sensor type: CMOS, Total megapixels: 2.37 MP, Optical sensor size: 25.4 / 3 mm (1 / 3""). Optical zoom: 10x, Digital zoom: 200x, Focal length range (f-f): 4.25 - 42.5 mm. Internal storage capacity: 32 GB, Camcorder media type: Memory card, Compatible memory cards: SD, SDHC, SDXC. Focus adjustment: Auto/Manual, Closest focusing distance: 0.1 m. White balance: Auto, Cloudy, Daylight, Fluorescent, Fluorescent H, Shade, Tungsten","Canon LEGRIA HF G25, CMOS, Handkamerarekorder, 1/2000, 25,4 / 3 mm (1 / 3""), 4,25 - 42,5 mm, Speicherkarte","Canon HF G25, LEGRIA. Sensor-Typ: CMOS, Megapixel insgesamt: 2,37 MP, CCD-Sensorgröße: 25,4 / 3 mm (1 / 3""). Optischer Zoom: 10x, Digitaler Zoom: 200x, Brennweitenbereich: 4,25 - 42,5 mm. Interne Speicherkapazität: 32 GB, Aufzeichnungsmedien: Speicherkarte, Kompatible Speicherkarten: SD, SDHC, SDXC. Fokus-Apassung: Auto/Manuell, Naheinstellgrenze: 0,1 m. Weißabgleich: Auto, wolkig, Tageslicht, fluorisierend, Fluoreszierend H, Schatten, Wolfram"
584_canon_hf-g30,1,18662566,CMOS,20 x,Auto/Manual,"8,9 cm (3.5"")",Handheld camcorder,"Canon HF G30 LEGRIA, CMOS, 3.09 MP, 1/0.112 mm (1/2.84""), 20x, 400x, 3.67 - 73.4 mm","Canon HF G30, LEGRIA. Sensor type: CMOS, Total megapixels: 3.09 MP, Optical sensor size: 1/0.112 mm (1/2.84""). Optical zoom: 20x, Digital zoom: 400x, Focal length range (f-f): 3.67 - 73.4 mm. Camcorder media type: Memory card, Compatible memory cards: SD, SDHC, SDXC, Maximum memory card size: 64 GB. Focus adjustment: Auto/Manual. Light exposure modes: Manual, Scene modes: Beach, Fireworks, Night, Portrait, Snow, Sports, Spotlight, Sunset","Canon HF G30 LEGRIA, CMOS, 3,09 MP, 1/0,112 mm (1/2.84""), 20x, 400x, 3,67 - 73,4 mm","Canon HF G30, LEGRIA. CCD-Bildsensor: CMOS, Megapixel insgesamt: 3,09 MP, CCD-Sensorgröße: 1/0,112 mm (1/2.84""). Optischer Zoom: 20x, Digitaler Zoom: 400x, Brennweitenbereich: 3,67 - 73,4 mm. Aufzeichnungsmedien: Speicherkarte, Kompatible Speicherkarten: SD, SDHC, SDXC, Max. Speicherkartengröße: 64 GB. Fokus-Apassung: Auto/Manuell. Belichtungstyp: Manuell, Szenenmodus: Strand, Fireworks, Nacht, Porträt, Schnee, Sport, Spotlight, Sonnenuntergang"
584_canon_hf-r606,1,25910847,CMOS,32 x,Auto/Manual,"7,6 cm (3"")",Handheld camcorder,"Canon LEGRIA HF R606, CMOS, Handheld camcorder, 1/2000 - 1/2, 25.4 / 4.85 mm (1 / 4.85""), 2.8 - 89.6 mm, Memory card","Canon HF R606, LEGRIA. Sensor type: CMOS, Total megapixels: 3.28 MP, Optical sensor size: 25.4 / 4.85 mm (1 / 4.85""). Optical zoom: 32x, Digital zoom: 1140x, Focal length range (f-f): 2.8 - 89.6 mm. Camcorder media type: Memory card, Compatible memory cards: SD, SDHC, SDXC. Focus adjustment: Auto/Manual. Scene modes: Beach, Fireworks, Night, Portrait, Sunset","Canon LEGRIA HF R606, CMOS, Handkamerarekorder, 1/2000 - 1/2, 25,4 / 4,85 mm (1 / 4.85""), 2,8 - 89,6 mm, Speicherkarte","Canon HF R606, LEGRIA. Sensor-Typ: CMOS, Megapixel insgesamt: 3,28 MP, CCD-Sensorgröße: 25,4 / 4,85 mm (1 / 4.85""). Optischer Zoom: 32x, Digitaler Zoom: 1140x, Brennweitenbereich: 2,8 - 89,6 mm. Aufzeichnungsmedien: Speicherkarte, Kompatible Speicherkarten: SD, SDHC, SDXC. Fokus-Apassung: Auto/Manuell. Szenenmodus: Strand, Feuerwerk, Nacht, Porträt, Sonnenuntergang"
584_canon_hf-r66,1,25955264,CCD,32 x,Auto/Manual,"7,6 cm (3"")",Handheld camcorder,"Canon LEGRIA HF R66, CCD, Handheld camcorder, 0.0005 - 0.5, 25.4 / 4.85 mm (1 / 4.85""), 2.8 - 89.6 mm, Memory card","Canon HF R66, LEGRIA. Sensor type: CCD, Total megapixels: 3.28 MP, Optical sensor size: 25.4 / 4.85 mm (1 / 4.85""). Optical zoom: 32x, Digital zoom: 1140x, Focal length range (f-f): 2.8 - 89.6 mm. Internal storage capacity: 8 GB, Camcorder media type: Memory card, Compatible memory cards: SD, SDHC, SDXC. Focus adjustment: Auto/Manual. Light exposure modes: Auto, Scene modes: Beach, Fireworks, Night, Portrait, Spotlight, Sunset","Canon LEGRIA HF R66, CCD, Handkamerarekorder, 0.0005 - 0.5, 25,4 / 4,85 mm (1 / 4.85""), 2,8 - 89,6 mm, Speicherkarte","Canon HF R66, LEGRIA. Sensor-Typ: CCD, Megapixel insgesamt: 3,28 MP, CCD-Sensorgröße: 25,4 / 4,85 mm (1 / 4.85""). Optischer Zoom: 32x, Digitaler Zoom: 1140x, Brennweitenbereich: 2,8 - 89,6 mm. Interne Speicherkapazität: 8 GB, Aufzeichnungsmedien: Speicherkarte, Kompatible Speicherkarten: SD, SDHC, SDXC. Fokus-Apassung: Auto/Manuell. Belichtungstyp: Auto, Szenenmodus: Strand, Feuerwerk, Nacht, Porträt, Spotlight, Sonnenuntergang"
584_ricoh_theta-s,1,30150732,CMOS,,Auto/Manual,,"1280 x 720, 1920 x 1080 Pixel","Ricoh Theta S, CMOS, Handheld camcorder, 25.4 / 2.3 mm (1 / 2.3""), Auto, Cloudy, Daylight, Fluorescent, Incandescent, Lamp, Outdoor, Shade, Full HD, 5376 x 2688 pixels","Ricoh Theta S. Sensor type: CMOS, Total megapixels: 14 MP, Optical sensor size: 25.4 / 2.3 mm (1 / 2.3""). Internal storage capacity: 8 GB. ISO sensitivity: 100, 125, 160, 200, 250, 320, 400, 640, 800, 1000, 1250, 1600, Light exposure modes: Manual, Light exposure correction: ± 2EV (1/3EV step). White balance: Auto, Cloudy, Daylight, Fluorescent, Incandescent, Lamp, Outdoor, Shade. Shutter speed (video): 1/8000 - 1/30, Shutter speed (photo): 1/6400 - 1/8","	Ricoh Theta S, CMOS, Handkamerarekorder, 25,4 / 2,3 mm (1 / 2.3""), Auto, wolkig, Tageslicht, fluorisierend, glühend, Lamp, Outdoor, Schatten, Full HD, 5376 x 2688 Pixel ","Ricoh Theta S. Sensor-Typ: CMOS, Megapixel insgesamt: 14 MP, CCD-Sensorgröße: 25,4 / 2,3 mm (1 / 2.3""). Interne Speicherkapazität: 8 GB. ISO-Empfindlichkeit: 100, 125, 160, 200, 250, 320, 400, 640, 800, 1000, 1250, 1600, Belichtungstyp: Manuell, Belichtungskorrektur: ± 2EV (1/3EV step). Weißabgleich: Auto, wolkig, Tageslicht, fluorisierend, glühend, Lamp, Outdoor, Schatten. Verschlussgeschwindigkeit (video): 1/8000 - 1/30, Verschlussgeschwindigkeit (photo): 1/6400 - 1/8"
584_samsung_hmx-f90wp,1,17681791,CMOS,52 x,Auto/Manual,"6,9 cm (2.7"")",1280 x 720 Pixel,"Samsung HMX-F90WP, CMOS, 5 MP, 1/0.126 mm (1/3.2""), 52x, 130x, 2.1 - 109.2 mm","Samsung HMX-F90WP. Sensor type: CMOS, Total megapixels: 5 MP, Optical sensor size: 1/0.126 mm (1/3.2""). Optical zoom: 52x, Digital zoom: 130x, Focal length range (f-f): 2.1 - 109.2 mm. Camcorder media type: Memory card, Compatible memory cards: SD, SDHC, SDXC. Focus adjustment: Auto/Manual. White balance: Auto","Samsung HMX-F90WP, CMOS, 5 MP, 1/0,126 mm (1/3.2""), 52x, 130x, 2,1 - 109,2 mm","Samsung HMX-F90WP. CCD-Bildsensor: CMOS, Megapixel insgesamt: 5 MP, CCD-Sensorgröße: 1/0,126 mm (1/3.2""). Optischer Zoom: 52x, Digitaler Zoom: 130x, Brennweitenbereich: 2,1 - 109,2 mm. Aufzeichnungsmedien: Speicherkarte, Kompatible Speicherkarten: SD, SDHC, SDXC. Fokus-Apassung: Auto/Manuell. Weißabgleich: Auto"
584_samsung_mini-dv-camcorder-black,1,828188,,,,,,,,,
584_sony_fdr-ax33,1,25904159,CMOS,10 x,Auto/Manual,"7,6 cm (3"")",Full HD,"Sony FDR-AX33, CMOS, Handheld camcorder, 1/6 - 1/10000, 25.4 / 2.3 mm (1 / 2.3""), 3.8 - 38 mm, Memory card","Sony FDR-AX33. Sensor type: CMOS, Optical sensor size: 25.4 / 2.3 mm (1 / 2.3""), Effective megapixels (image): 10.3 MP. Optical zoom: 10x, Digital zoom: 120x, Focal length range (f-f): 3.8 - 38 mm. Camcorder media type: Memory card, Compatible memory cards: MS PRO Duo, MS Pro-HG Duo, MS XC-HG Duo, SD, SDHC, SDXC. Focus adjustment: Auto/Manual. White balance: Auto, Indoor, Outdoor","Sony FDR-AX53, Elektronisch, CMOS, Handkamerarekorder, 1/6 - 1/10000, 25,4 / 2,5 mm (1 / 2.5""), 26,8 - 536 mm","Sony FDR-AX53. Sensor-Typ: CMOS, Megapixel insgesamt: 8,29 MP, CCD-Sensorgröße: 25,4 / 2,5 mm (1 / 2.5""). Optischer Zoom: 20x, Digitaler Zoom: 250x, Brennweitenbereich: 26,8 - 536 mm. Aufzeichnungsmedien: Speicherkarte, Kompatible Speicherkarten: MS PRO Duo, MS Pro-HG Duo, MS XC-HG Duo, SD, SDHC, SDXC, Kamera-Dateisystem: DCF 2.0, Exif 2.3, MPF. Fokus-Apassung: Auto/Manuell, Naheinstellgrenze: 0,01 m. Belichtungstyp: Auto, Manuell, Belichtungsmessung: Spot"
584_sony_hdr-cx405,1,25904123,CMOS,30 x,Auto/Manual,"6,9 cm (2.7"")",Full HD,"Sony HDR-CX405, CMOS, Handheld camcorder, 1/25 - 1/10000, 25.4 / 5.8 mm (1 / 5.8""), 1.9 - 57 mm, Memory card","Sony HDR-CX405. Sensor type: CMOS, Total megapixels: 9.2 MP, Optical sensor size: 25.4 / 5.8 mm (1 / 5.8""). Optical zoom: 30x, Digital zoom: 350x, Focal length range (f-f): 1.9 - 57 mm. Camcorder media type: Memory card, Compatible memory cards: MicroSD (TransFlash), MicroSDHC, MicroSDXC. Focus adjustment: Auto/Manual. Light exposure modes: Auto, Scene modes: Fireworks, Landscape, Portrait, Spotlight, Beach, Snow","Sony HDR-CX405, CMOS, Handkamerarekorder, 1/25 - 1/10000, 25,4 / 5,8 mm (1 / 5.8""), 1,9 - 57 mm, Speicherkarte","Sony HDR-CX405. Sensor-Typ: CMOS, Megapixel insgesamt: 9,2 MP, CCD-Sensorgröße: 25,4 / 5,8 mm (1 / 5.8""). Optischer Zoom: 30x, Digitaler Zoom: 350x, Brennweitenbereich: 1,9 - 57 mm. Aufzeichnungsmedien: Speicherkarte, Kompatible Speicherkarten: MicroSD (TransFlash), MicroSDHC, MicroSDXC. Fokus-Apassung: Auto/Manuell. Belichtungstyp: Auto, Szenenmodus: Feuerwerk, Landschaft, Porträt, Spotlight, Strand, Schnee"
584_sony_hdr-mv1,1,19692589,CMOS,,Auto,"6,9 cm (2.7"")",Full HD,"Sony HDR-MV1, CMOS, Handheld camcorder, 1/30 - 1/10000, 25.4 / 2.3 mm (1 / 2.3""), Memory card, Auto","Sony HDR-MV1. Sensor type: CMOS, Total megapixels: 16.8 MP, Optical sensor size: 25.4 / 2.3 mm (1 / 2.3""). Camcorder media type: Memory card, Compatible memory cards: MicroSD (TransFlash), MicroSDHC, MicroSDXC, MS Micro (M2). Focus adjustment: Auto. Scene modes: Beach, Fireworks, Landscape, Night landscape, Snow, Spotlight, Sunrise, Sunset. White balance: Auto","Sony HDR-MV1, CMOS, Handkamerarekorder, 1/30 - 1/10000, 25,4 / 2,3 mm (1 / 2.3""), Speicherkarte, Auto","Sony HDR-MV1. Sensor-Typ: CMOS, Megapixel insgesamt: 16,8 MP, CCD-Sensorgröße: 25,4 / 2,3 mm (1 / 2.3""). Aufzeichnungsmedien: Speicherkarte, Kompatible Speicherkarten: MicroSD (TransFlash), MicroSDHC, MicroSDXC, MS Micro (M2). Fokus-Apassung: Auto. Szenenmodus: Strand, Feuerwerk, Landschaft, Nachtlandschaft, Schnee, Spotlight, Sonnenaufgang, Sonnenuntergang. Weißabgleich: Auto"
584_sony_hxr-mc2500e,1,24788780,CMOS,,0.01 - ∞/0.8 - ∞ m,"7,6 cm (3"")",Full HD,"Sony HXR-MC2500E, CMOS, Shouldercam, 1/10000 - 1/6, 25.4 / 3.95 mm (1 / 3.95""), 2.9 - 34.8 mm, SSD","Sony HXR-MC2500E. Sensor type: CMOS, Total megapixels: 6.59 MP, Optical sensor size: 25.4 / 3.95 mm (1 / 3.95""). Focal length range (f-f): 2.9 - 34.8 mm, Filter size: 3.7 cm, Minimum aperture number: 1.8. Camcorder media type: SSD, Flash memory: 32 GB, Compatible memory cards: MS PRO Duo, SD, SDHC, SDXC. Normal focusing range: 0.01 - ∞/0.8 - ∞. White balance: Auto, Indoor, Outdoor","Sony HXR-MC2500E, CMOS, Schulterkamera, 1/10000 - 1/6, 25,4 / 3,95 mm (1 / 3.95""), 2,9 - 34,8 mm, SSD","Sony HXR-MC2500E. Sensor-Typ: CMOS, Megapixel insgesamt: 6,59 MP, CCD-Sensorgröße: 25,4 / 3,95 mm (1 / 3.95""). Brennweitenbereich: 2,9 - 34,8 mm, Filtergröße: 3,7 cm, Minimale Blendenöffnung: 1,8. Aufzeichnungsmedien: SSD, Flash-Speicher: 32 GB, Kompatible Speicherkarten: MS PRO Duo, SD, SDHC, SDXC. Normaler Fokusbereich: 0.01 - ∞/0.8 - ∞. Weißabgleich: Auto, Innenraum, Outdoor"
584_sony_nex-vg30e,1,15619960,,,,,,"Sony NEX-VG30E, Black",Sony NEX-VG30E. Colour of product: Black,"Sony NEX-VG30E, Schwarz",Sony NEX-VG30E. Produktfarbe: Schwarz
584_sony_pxw-fs5k,1,29851280,CMOS,,,"8,9 cm (3.5"")",4K Ultra HD,"Sony PXW-FS5K, CMOS, Handheld camcorder, Sony E, 1/10000 - 1/6, 18 - 105 mm, Memory card","Sony PXW-FS5K. Sensor type: CMOS. Lens mount interface: Sony E, Focal length range (f-f): 18 - 105 mm, Minimum focal length (35mm film equiv): 2.7 cm. Camcorder media type: Memory card, Compatible memory cards: Memory Stick (MS), SD. White balance: Auto. Camera shutter speed: 1/10000 - 1/6","Sony PXW-FS5K, CMOS, Handkamerarekorder, Sony E, 1/10000 - 1/6, 18 - 105 mm, Speicherkarte","Sony PXW-FS5K. Sensor-Typ: CMOS. Linsen Montageanschluss: Sony E, Brennweitenbereich: 18 - 105 mm, Minimum Brennweite (35mm film equiv): 2,7 cm. Aufzeichnungsmedien: Speicherkarte, Kompatible Speicherkarten: Memory Stick (MS), SD. Weißabgleich: Auto. Kamera Verschlusszeit: 1/10000 - 1/6"
584_toshiba_camileo-s30,1,6350138,CMOS,16 x,"0,21 m","7,6 cm (3"")",Full HD,"Toshiba CAMILEO S30, CMOS, Handheld camcorder, Memory card, NAND, Auto, Daylight, Fluorescent, Tungsten, Full HD, 4608 x 3456 pixels","Toshiba CAMILEO S30. Sensor type: CMOS, Total megapixels: 8 MP. Optical zoom: 0x, Digital zoom: 16x, Image stabilizer type: digital. Internal storage capacity: 0.128 GB, Camcorder media type: Memory card, NAND, Compatible memory cards: SD, SDHC, SDXC. Normal focusing range: 2 - ∞, Macro focusing range: 0.21. White balance: Auto, Daylight, Fluorescent, Tungsten","Toshiba CAMILEO S30, CMOS, Handkamerarekorder, Speicherkarte, NAND, Auto, Tageslicht, fluorisierend, Wolfram, Full HD, 4608 x 3456 Pixel","Toshiba CAMILEO S30. Sensor-Typ: CMOS, Megapixel insgesamt: 8 MP. Optischer Zoom: 0x, Digitaler Zoom: 16x, Bildstabilisator Typ: digital. Interne Speicherkapazität: 0,128 GB, Aufzeichnungsmedien: Speicherkarte, NAND, Kompatible Speicherkarten: SD, SDHC, SDXC. Normaler Fokusbereich: 2 - ∞, Makro Fokussierbreite: 0.21. Weißabgleich: Auto, Tageslicht, fluorisierend, Wolfram"
584_toshiba_camileo-s40,1,15721464,CMOS,10 x,,"7,6 cm (3"")",1920 x 1080 Pixel,"Toshiba Camileo S40, CMOS, 5 MP, 1/0.126 mm (1/3.2""), 10x, digital, 0.125 GB","Toshiba Camileo S40. Sensor type: CMOS, Total megapixels: 5 MP, Optical sensor size: 1/0.126 mm (1/3.2""). Digital zoom: 10x, Image stabilizer type: digital. Internal storage capacity: 0.125 GB, Camcorder media type: NAND, Compatible memory cards: microSD (TransFlash), microSDHC, microSDXC. Normal focusing range: 1 - ∞, Closest focusing distance: 0.5m. Light exposure modes: Auto, Scene modes: Backlight, Night","Toshiba Camileo S40, CMOS, 5 MP, 1/0,126 mm (1/3.2""), 10x, digital, 0,125 GB","Toshiba Camileo S40. CCD-Bildsensor: CMOS, Megapixel insgesamt: 5 MP, CCD-Sensorgröße: 1/0,126 mm (1/3.2""). Digitaler Zoom: 10x, Bildstabilisator Typ: digital. Interne Speicherkapazität: 0,125 GB, Aufzeichnungsmedien: NAND, Kompatible Speicherkarten: microSD (TransFlash), microSDHC, microSDXC. Normaler Fokusbereich: 1 - ∞, Naheinstellgrenze: 0,5m. Belichtungstyp: Auto, Szenenmodus: Rücklicht, Nacht"
897_acer_one-7-b1-770,1,29545800,,,,,,,,,
897_asus_z170c-1b012a,1,29525342,,,,,,,,,
897_asus_z170c-1l019a,1,29525343,,,,,,,,,
897_asus_z300c-1a069a,1,29518547,,,,,,,,,
897_asus_z300c-1b053a,1,29518551,,,,,,,,,
897_asus_z380c-1l051a,1,29565391,,,,,,,,,
897_asus_z580ca-1a032a,1,28373128,,,,,,,,,
897_asus_z580ca-1b024a,1,29565389,,,,,,,,,
897_hp_1000-g2,1,26289661,,,,,,,,,
897_hp_608-g1,1,28586825,,,,,,,,,
897_hp_elite-x2-1012-g1,1,30375360,,,,,,,,,
897_hp_pro-slate-10-ee-g1,1,25988329,,,,,,,,,
897_hp_pro-slate-8,1,25893779,,,,,,,,,
897_lenovo_3-8,1,29414094,,,,,,,,,
897_lenovo_3-pro-10,1,29743301,,,,,,,,,
897_lenovo_a10-70,1,27262160,,,,,,,,,
897_lenovo_miix-300-10iby,1,30274741,,,,,,,,,
897_lenovo_tab-2-a7-10f,1,26072016,,,,,,,,,
897_lenovo_thinkpad-8,1,22626962,,,,,,,,,
897_panasonic_fz-b2,1,24980927,,,,,,,,,
897_samsung_80,1,29385583,,,,,,,,,
897_samsung_96,1,28547942,,,,,,,,,
897_samsung_sm-t550,1,26981568,,,,,,,,,
897_samsung_sm-t550n,1,26564922,,,,,,,,,
897_samsung_sm-t560,1,29536449,,,,,,,,,
897_samsung_sm-t670,1,30345097,,,,,,,,,
897_sony_z2,1,21811723,,,,,,,,,
897_sony_z2-tablet,1,26974234,,,,,,,,,
897_sony_z3-compact,1,24692598,,,,,,,,,
