slug,variantid,sku,processor,memory,display,storage,battery,short_description.en_US,long_description.en_US,short_description.de_DE,long_description.de_DE
575_canon_160,1,25905585,,,,,,,,,
575_canon_165,1,25904598,,,,,,,,,
575_canon_285-hs,1,30688700,,,,,,,,,
575_canon_g9-x,1,30021637,,,,,,,,,
575_canon_rebel-sl1-ef-s-18-55mm,1,18146996,,,,,,,,,
575_canon_sx610-hs,1,25904691,,,,,,,,,
575_fujifilm_xp80,1,26224361,,,,,,,,,
575_panasonic_dmc-fz300,1,29393146,,,,,,,,,
575_panasonic_dmc-gh4-g-vario-hd-14-140mm,1,22766226,,,,,,,,,
575_panasonic_dmc-sz10,1,26141878,,,,,,,,,
575_panasonic_dmc-tz57eg,1,26933260,,,,,,,,,
575_sony_dsc-w630,1,12255434,,,,,,,,,
584_canon_hf-g25,1,17365820,,,,,,,,,
584_canon_hf-g30,1,18662566,,,,,,,,,
584_canon_hf-r606,1,25910847,,,,,,,,,
584_canon_hf-r66,1,25955264,,,,,,,,,
584_ricoh_theta-s,1,30150732,,,,,,,,,
584_samsung_hmx-f90wp,1,17681791,,,,,,,,,
584_samsung_mini-dv-camcorder-black,1,828188,,,,,,,,,
584_sony_fdr-ax33,1,25904159,,,,,,,,,
584_sony_hdr-cx405,1,25904123,,,,,,,,,
584_sony_hdr-mv1,1,19692589,,,,,,,,,
584_sony_hxr-mc2500e,1,24788780,,,,,,,,,
584_sony_nex-vg30e,1,15619960,,,,,,,,,
584_sony_pxw-fs5k,1,29851280,,,,,,,,,
584_toshiba_camileo-s30,1,6350138,,,,,,,,,
584_toshiba_camileo-s40,1,15721464,,,,,,,,,
897_acer_one-7-b1-770,1,29545800,"1,3 GHz MT8127",1 GB,1024 x 600 pixels,16 GB,2780 mAh (LiPo),"MediaTek MT8127 (1.3GHz), 17.78 cm (7 "") LCD WSVGA LED touch (1024 x 600), 1GB DDR3L SDRAM, 16GB, 802.11b/g/n, Bluetooth 4.0, Android","Acer One 7 B1-770, Iconia. Processor frequency: 1.3 GHz, Processor family: Mediatek, Processor model: MT8127. Internal memory: 1 GB, Internal memory type: DDR3L-SDRAM. Internal storage capacity: 16 GB, Compatible memory cards: MicroSD (TransFlash), MicroSDHC, Storage media: Flash. Display diagonal: 17.8 cm (7""), Display resolution: 1024 x 600 pixels, Touch technology: Multi-touch. Rear camera resolution (numeric): 5 MP, Front camera resolution (numeric): 0.3 MP",,
897_asus_z170c-1b012a,1,29525342,Intel Atom x3-C3200 Quad-Core,1 GB,1024 x 600 pixels,16 GB,13 Wh (LiPo),"ntel Atom x3-C3200 Quad-Core, 64-bit, 7"" IPS LED 1024 x 600, 1GB RAM, 16GB, 802.11 b/g/n, Bluetooth 4.0, Android 5.0","ASUS Z170C-1B012A, ZenPad. Processor family: Intel Atom, Processor: x3-C3200. Internal memory: 1 GB. Internal storage capacity: 16 GB, Compatible memory cards: MicroSD (TransFlash), MicroSDHC, Maximum memory card size: 128 GB. Display diagonal: 7"", Display resolution: 1024 x 600 pixels, Display technology: IPS. Rear camera resolution (numeric): 2 MP, Front camera resolution (numeric): 0.3 MP",,
897_asus_z170c-1l019a,1,29525343,Intel Atom x3-C3200 Quad-Core,1 GB,1024 x 600 pixels,16 GB,13 Wh (LiPo),"Intel Atom x3-C3200 Quad-Core, 64-bit, 7"" IPS LED 1024 x 600, 1GB RAM, 16GB, 802.11 b/g/n, Bluetooth 4.0, Android 5.0","ASUS Z170C-1L019A, ZenPad. Processor family: Intel Atom, Processor: x3-C3200. Internal memory: 1 GB. Internal storage capacity: 16 GB, Compatible memory cards: MicroSD (TransFlash), MicroSDHC, Maximum memory card size: 128 GB. Display diagonal: 7"", Display resolution: 1024 x 600 pixels, Display technology: IPS. Rear camera resolution (numeric): 2 MP, Front camera resolution (numeric): 0.3 MP",,
897_asus_z300c-1a069a,1,29518547,Intel Atom x3-C3200,2 GB,1280 x 800 pixels,16 GB,4890 mAh,"ntel Atom x3-C3200, 2GB LPDDR3, 16GB eMMC, WLAN 802.11, BT 4.0, Android 5.0","ASUS Z300C-1A069A, ZenPad. Processor family: Intel Atom, Processor: x3-C3200. Internal memory: 2 GB, Internal memory type: LPDDR3-SDRAM. Internal storage capacity: 16 GB, Compatible memory cards: MicroSD (TransFlash), SDXC, Maximum memory card size: 128 GB. Display diagonal: 10.1"", Display resolution: 1280 x 800 pixels, Display technology: IPS. Graphics: Mali 450 MP4",,
897_asus_z300c-1b053a,1,29518551,Intel Atom x3-C3200,2 GB,1280 x 800 pixels,16 GB,4890 mAh,"Intel Atom x3-C3200, 2GB LPDDR3, 16GB eMMC, WLAN 802.11, BT 4.0, Android 5.0","ASUS Z300C-1B053A, ZenPad. Processor family: Intel Atom, Processor: x3-C3200. Internal memory: 2 GB, Internal memory type: LPDDR3-SDRAM. Internal storage capacity: 16 GB, Compatible memory cards: MicroSD (TransFlash), SDXC, Maximum memory card size: 128 GB. Display diagonal: 10.1"", Display resolution: 1280 x 800 pixels, Display technology: IPS. Graphics: Mali 450 MP4",,
897_asus_z380c-1l051a,1,29565391,Intel Atom x3-C3200,2 GB,1280 x 800 pixels,16 GB,15.2 Wh (LiPo),"Intel Atom x3-C3200 Quad-Core, 64-bit, 8"" IPS LED 1280 x 800, 2GB RAM, 16GB, 802.11 b/g/n, Bluetooth 4.0, Android 5.0","ASUS Z380C-1L051A, ZenPad. Processor family: Intel Atom, Processor: x3-C3200. Internal memory: 2 GB. Internal storage capacity: 16 GB, Compatible memory cards: MicroSD (TransFlash), MicroSDXC, Maximum memory card size: 64 GB. Display diagonal: 8"", Display resolution: 1280 x 800 pixels, Display technology: IPS. Rear camera resolution (numeric): 5 MP, Front camera resolution (numeric): 2 MP",,
897_asus_z580ca-1a032a,1,28373128,Intel Atom Z3560 Quad-Core,2 GB,2048 x 1536 pixels,32 GB,15.2 Wh (LiPo),"Intel Atom Z3560 Quad-Core, 2GB RAM, 32GB, 5MP/8MP, WLAN 802.11 a/b/g/n/ac, Android 5.0","ASUS Z580CA-1A032A, ZenPad. Processor family: Intel Atom, Processor: Z3560, Processor boost frequency: 1.83 GHz. Internal memory: 2 GB. Internal storage capacity: 32 GB, Compatible memory cards: MicroSD (TransFlash), MicroSDXC, Maximum memory card size: 128 GB. Display diagonal: 8"", Display resolution: 2048 x 1536 pixels, Display technology: IPS. Graphics adapter family: Intel",,
897_asus_z580ca-1b024a,1,29565389,Intel Atom Z3560 Quad-Core,2 GB,2048 x 1536 pixels,32 GB,15.2 Wh (LiPo),"Intel Atom Z3560 Quad-Core, 2GB RAM, 32GB, 5MP/8MP, WLAN 802.11 a/b/g/n/ac, Android 5.0","ASUS Z580CA-1B024A, ZenPad. Processor family: Intel Atom, Processor: Z3560, Processor cache: 2 MB. Internal memory: 2 GB. Internal storage capacity: 32 GB, Compatible memory cards: MicroSD (TransFlash), MicroSDXC, Maximum memory card size: 128 GB. Display diagonal: 8"", Display resolution: 2048 x 1536 pixels, Display technology: IPS. Rear camera resolution (numeric): 8 MP, Front camera resolution (numeric): 5 MP",,
897_hp_1000-g2,1,26289661,Intel Atom Z3795,4 GB,1920 x 1200 pixels,128 GB,30 Wh (LiPo),"Intel Atom Z3795, 4 GB LPDDR3, 128 GB SSD, 10.1"" (25.65 cm), 2.1 MP, Wi-Fi, Bluetooth 4.0, Windows 8.1 Pro","HP 1000 G2, ElitePad. Processor frequency: 1.59 GHz, Processor family: Intel Atom, Processor: Z3795. Internal memory: 4 GB, Internal memory type: LPDDR3-SDRAM, Memory clock speed: 1067 MHz. Internal storage capacity: 128 GB, Storage media: SSD. Display diagonal: 10.1"", Display resolution: 1920 x 1200 pixels, Touch technology: Multi-touch. Graphics adapter family: Intel, Graphi",,
897_hp_608-g1,1,28586825,"Intel Atom x5-Z8500 (1.44GHz, 2MB)",4 GB,2048 x 1536 pixels,128 GB,21 Wh (LiPo),"Intel Atom x5-Z8500 (1.44GHz, 2MB), 7.9"" FHD QXGA BrightView WLED UWVA touch (2048 x 1536), 4GB LPDDR3 SDRAM, 128GB eMMC, Intel HD Graphics, 802.11a/b/g/b/ac, Bluetooth 4.0, WWAN 4G, 2 MP / 8 MP webcam, Windows 10 Pro 64","HP 608 G1, Pro Tablet. Processor frequency: 1.44 GHz, Processor family: Intel Atom, Processor cache: 2 MB. Internal memory: 4 GB, Internal memory type: LPDDR3-SDRAM, Memory clock speed: 1600 MHz. Internal storage capacity: 128 GB, Compatible memory cards: MicroSDXC, Maximum memory card size: 2000 GB. Display diagonal: 7.9"", Display resolution: 2048 x 1536 pixels, Touch technology: Multi-touch. Graphics adapter family: Intel, Graphics: HD Graphics",,
897_hp_elite-x2-1012-g1,1,30375360,,,,,,,,,
897_hp_pro-slate-10-ee-g1,1,25988329,Intel Atom Z3735G,1 GB,1280 x 800 pixels,16 GB,28.5 Wh (LiPo),"Intel Atom Z3735G, 1GB DDR3L, 16GB eMMC, 10.1"" IPS (1280 x 800), Intel HD, Dual-cam, HP hs3110 HSPA+ Mobile Broadband/GPS, Wi-Fi 802.11a/b/g/n, Bluetooth 4.0 LE, NFC, micro-USB 2.0, micro-HDMI, microSD, Android 4.4 KitKat","HP Pro Slate 10 EE G1. Processor frequency: 1.33 GHz, Processor family: Intel Atom, Processor: Z3735G. Internal memory: 1 GB, Internal memory type: DDR3L-SDRAM. Internal storage capacity: 16 GB, Compatible memory cards: MicroSD (TransFlash), MicroSDHC, Maximum memory card size: 32 GB. Display diagonal: 10.1"", Display resolution: 1280 x 800 pixels, Display technology: IPS. Graphics adapter family: Intel, Graphics: HD Graphics",,
897_hp_pro-slate-8,1,25893779,Qualcomm Snapdragon 800 (2.3GHz),2 GB,2048 x 1536 pixels,32 BG,21 Wh (LiPo),"Qualcomm Snapdragon 800 (2.3GHz), 7.86"" FHD QXGA touch (2048 x 1536), 2GB LPDDR3 SDRAM, 32GB eMMC SSD, 802.11a/b/g/n/ac, Bluetooth 4.0 + LE, 2 MP / 8 MP, WWAN 4G, Android 4.4 (KitKat)","HP Pro Slate 8. Processor frequency: 2.3 GHz, Processor family: Qualcomm Snapdragon. Internal memory: 2 GB, Internal memory type: LPDDR3-SDRAM, Maximum internal memory: 2 GB. Internal storage capacity: 32 GB, Compatible memory cards: MicroSD (TransFlash), Maximum memory card size: 32 GB. Display diagonal: 7.86"", Display resolution: 2048 x 1536 pixels, Touch technology: Multi-touch. Rear camera resolution (numeric): 8 MP, Front camera resolution (numeric): 2 MP",,
897_lenovo_3-8,1,29414094,Qualcomm APQ8009 (1.3 GHz),1 GB,1280 x 800 pixels,16 GB,6200 mAh (Li-Ion),"Qualcomm APQ8009 (1.3 GHz), 1GB RAM, 16GB eMMC, 8.0"" LCD IPS (1280x800) MT, Android 5.1","Lenovo 3 8, Yoga Tablet. Processor frequency: 1.3 GHz, Processor family: Qualcomm Snapdragon, Processor: APQ8009. Internal memory: 1 GB. Internal storage capacity: 16 GB, Compatible memory cards: MicroSD (TransFlash), Maximum memory card size: 128 GB. Display diagonal: 8"", Display resolution: 1280 x 800 pixels, Display technology: IPS. Rear camera resolution (numeric): 8 MP",,
897_lenovo_3-pro-10,1,29743301,"Intel Atom x5-Z8500 Processor (2M Cache, up to 2.24 GHz)",2 GB,2560 x 1600 pixels,32 GB,6800 mAh (LiPo),"Intel Atom x5-Z8500 Processor (2M Cache, up to 2.24 GHz), 2GB RAM, 32GB eMMC, 10.1"" QHD (2560x1600), Intel HD Graphics, Android 5.1","Lenovo 3 Pro 10, Yoga Tablet. Processor frequency: 1.44 GHz, Processor family: Intel Atom, Processor: x5-Z8500. Internal memory: 2 GB, Internal memory type: LPDDR3-SDRAM, Memory clock speed: 1600 MHz. Internal storage capacity: 32 GB, Compatible memory cards: MicroSD (TransFlash), Maximum memory card size: 128 GB. Display diagonal: 10.1"", Display resolution: 2560 x 1600 pixels, Display technology: IPS. Graphics adapter family: Intel, Graphics: HD Graphics",,
897_lenovo_a10-70,1,27262160,MediaTek MT8165 (1.7 GHz),2 GB,1920 x 1200 pixels,16 GB,7000 mAh (Li-Ion),"MediaTek MT8165 (1.7 GHz), 2GB LP-DDR3 RAM, 16GB eMMC, 10.1"" Full HD (1920x1200) IPS MT, 8/5MP, Android 4.4 KitKat","Lenovo A10-70, TAB 2. Processor frequency: 1.7 GHz, Processor family: Mediatek, Processor: MT8165. Internal memory: 2 GB, Internal memory type: LPDDR3-SDRAM, Maximum internal memory: 2 GB. Internal storage capacity: 16 GB, Compatible memory cards: MicroSD (TransFlash), Maximum memory card size: 64 GB. Display diagonal: 10.1"", Display resolution: 1920 x 1200 pixels, Display technology: IPS. Rear camera resolution (numeric): 8 MP, Front camera resolution (numeric): 5 MP",,
897_lenovo_miix-300-10iby,1,30274741,"ntel Atom Z3735F (2M Cache, up to 1.83 GHz)",2 GB,1280 x 800 pixels,64 GB,6800 mAh (LiPo),"Intel Atom Z3735F (2M Cache, up to 1.83 GHz), 2GB LPDDR3 RAM, 64GB eMMC, 10.1"" WXGA WLED (1280x800) Touch, Intel HD Graphics, 802.11b/g/n, Bluetooth 4.0, 2MP Webcam, Windows 10 Pro 32-bit","Lenovo Miix 300-10IBY, Miix. Processor frequency: 1.33 GHz, Processor family: Intel Atom, Processor: Z3735F. Internal memory: 2 GB, Internal memory type: LPDDR3-SDRAM. Internal storage capacity: 64 GB, Compatible memory cards: MicroSD (TransFlash), MicroSDHC, Maximum memory card size: 64 GB. Display diagonal: 10.1"", Display resolution: 1280 x 800 pixels, Display technology: IPS. Graphics adapter family: Intel, Graphics: HD Graphics",,
897_lenovo_tab-2-a7-10f,1,26072016,Mediatek MT8127 (1.3 GHz),1 GB,1024 x 600 pixels,8 GB,3450 mAh (Li-Ion),"Lenovo IdeaTab TAB 2 A7-10F, Mini tablet, Slate, Android, Black, Lithium-Ion (Li-Ion), 802.11b, 802.11g, 802.11n","Lenovo TAB 2 A7-10F, IdeaTab. Processor frequency: 1.3 GHz, Processor family: Mediatek, Processor: MT8127. Internal memory: 1 GB, Internal memory type: LPDDR2-SDRAM. Internal storage capacity: 8 GB, Compatible memory cards: MicroSD (TransFlash), Storage media: Flash. Display diagonal: 7"", Display resolution: 1024 x 600 pixels, Display technology: IPS. Graphics: Mali 400 MP2",,
897_lenovo_thinkpad-8,1,22626962,Intel Atom Z3770 (1.46 GHz),2 GB,1920 x 1200 pixels,128 GB,20.5 Wh (LiPo),"Intel Atom Z3770 (1.46 GHz), 2GB RAM, 128GB Flash, 8.3"" IPS (1920x1200) MT, Intel HD Graphics, Wi-Fi 802.11 a/b/g/n, Bluetooth 4.0, 2/8MP Webcam, Windows 8.1 Pro 32","Lenovo ThinkPad 8, ThinkPad. Processor frequency: 1.46 GHz, Processor family: Intel Atom, Processor: Z3770. Internal memory: 2 GB, Internal memory type: LPDDR3-SDRAM, Memory clock speed: 1067 MHz. Internal storage capacity: 128 GB, Compatible memory cards: MicroSD (TransFlash), Maximum memory card size: 64 GB. Display diagonal: 8.3"", Display resolution: 1920 x 1200 pixels, Display technology: IPS. Graphics adapter family: Intel, Graphics: HD Graphics",,
897_panasonic_fz-b2,1,24980927,Intel Celeron N2930 (1.83 GHz),2 GB,1280 x 800 pixels,32 GB,3220 mAh (Li-Ion),"7"" 1280x800 Touchscreen, Intel Celeron N2930 1.83 GHz, 2GB DDR3L 1333MHz SDRAM, 32GB eMMC Flash, MicroSDHC, 5MP/ 2MP webcam, 3G/ 4G LTE, Wi-Fi, Bluetooth 4.0+EDR, USB 3.0, USB 3.0, 3220 mAh Li-Ion, 540g, Android 4.4","Panasonic FZ-B2, Toughpad. Processor frequency: 1.83 GHz, Processor family: Intel Celeron, Processor: N2930. Internal memory: 2 GB, Internal memory type: DDR3L-SDRAM, Maximum internal memory: 8 GB. Internal storage capacity: 32 GB, Compatible memory cards: SD, SDHC, Maximum memory card size: 64 GB. Display diagonal: 7"", Display resolution: 1280 x 800 pixels, Touch technology: Multi-touch. Graphics adapter family: Intel, Graphics: HD Graphics",,
897_samsung_80,1,29385583,Samsung Exynos 1.9 GHz,3 GB,2048 x 1536 pixels,32 GB,4000 mAh (Li-Ion),"8.0” 2048 x 1536(QXGA) Super AMOLED, CPU Quad 1.9GHz & Quad 1.3GHz, 3GB RAM, Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct, Bluetooth 4.1 BLE, GPS, GLONASS, 8MP AF (Rear) & 2.1MP (Front), microSD, 4000mAh, Android 5.0 (Lollipop)","Samsung 8.0, Galaxy Tab S2. Processor frequency: 1.9 GHz, Processor family: Samsung Exynos, Coprocessor frequency: 1.3 GHz. Internal memory: 3 GB, Maximum internal memory: 3 GB. Internal storage capacity: 32 GB, Compatible memory cards: MicroSD (TransFlash), MicroSDHC, MicroSDXC, Maximum memory card size: 128 GB. Display diagonal: 8"", Display resolution: 2048 x 1536 pixels, Display technology: Super AMOLED. Rear camera resolution (numeric): 8 MP, Maximum video resolution: 2560 x 1440 pixels, Video capturing speed: 30 fps",,
897_samsung_96,1,28547942,4-Core CPU 1.3GHz,1.5 GB,1280 x 800 pixels,16 GB,5000 mAh,"9.6"" TFT (1280 x 800), 4-Core CPU 1.3GHz, 1.5 GB RAM, Micro-SIM, Wi-Fi 802.11 b/g/n, GPS, Bluetooth v4.0, CMOS 5.0 MP (Rear) & CMOS 2.0 MP (Front), USB 2.0, MicroSD, Android, 5000mAh, Pearl White","Samsung 9.6, Galaxy Tab E. Processor frequency: 1.3 GHz. Internal memory: 1.5 GB. Compatible memory cards: MicroSD (TransFlash), MicroSDHC, MicroSDXC, Maximum memory card size: 128 GB, Storage media: Flash. Display diagonal: 9.6"", Display resolution: 1280 x 800 pixels, Display technology: TFT. Rear camera resolution (numeric): 5 MP, Maximum video resolution: 1280 x 720 pixels, Video capturing speed: 30 fps",,
897_samsung_sm-t550,1,26981568,Qualcomm Snapdragon 410 (1.20 GHz Quad-Core),1.5 GB,1024 x 768 pixels,16 GB,6000 mAh  (Li-Ion),"Qualcomm Snapdragon 410 (1.20 GHz Quad-Core), 1.5GB RAM, 16GB ROM/microSDHC up to 128GB, 9.7"" PLS TFT, 1024 x 768, micro USB 2.0, Rear 5.0/Front 2.0MP, Wi-Fi 802.11 a/b/g/n, Bluetooth 4.1, GPS/GLONASS, Li-Ion 6000mAh, Android 5.0 (Lollipop), White","Samsung SM-T550, Galaxy Tab A. Processor frequency: 1.2 GHz, Processor family: Qualcomm Snapdragon, Processor architecture: ARM Cortex-A53. Internal memory: 1.5 GB, Maximum internal memory: 1,5. Internal storage capacity: 16 GB, Compatible memory cards: MicroSDHC, Maximum memory card size: 128 GB. Display diagonal: 9.7"", Display resolution: 1024 x 768 pixels, Display technology: PLS. Rear camera resolution (numeric): 5 MP, Digital zoom: 4x, Maximum video resolution: 1280 x 720 pixels",,
897_samsung_sm-t550n,1,26564922,"1.2GHz Quad-Core, Qualcomm APQ 8016",1.5 GB,1024 x 768 pixels,16 GB,6000 mAh  (Li-Ion),"9.7"" PLS TFT 1024 x 768, 16GB, 1.2GHz Quad-Core, Qualcomm APQ 8016, 1.5GB RAM, Wi-Fi, Bluetooth, GPS, 5.0MP, 6000mAh, Android 5.0 Lollipop","Samsung SM-T550N, Galaxy Tab A. Processor frequency: 1.2 GHz, Processor family: Qualcomm Snapdragon, Processor: APQ8016. Internal memory: 1.5 GB, Maximum internal memory: 1,5. Internal storage capacity: 16 GB, Compatible memory cards: MicroSD (TransFlash), MicroSDHC, MicroSDXC, Maximum memory card size: 128 GB. Display diagonal: 9.7"", Display resolution: 1024 x 768 pixels, Display technology: PLS. Rear camera resolution (numeric): 5 MP, Digital zoom: 4x, Maximum video resolution: 1280 x 720 pixels",,
897_samsung_sm-t560,1,29536449,1.3 GHz Quad Core,1.5 GB,1280 x 800 pixels,8 GB,5000 mAh,"24.384 cm (9.6 "") 1280 x 800 TFT, 1.3 GHz Quad Core, RAM 1.5 GB, MicroSD, Wi-Fi, GPS/Glonass, Bluetooth, 5.0 MP, Android","Samsung SM-T560, Galaxy Tab E. Prozessor-Taktfrequenz: 1,3 GHz. RAM-Speicher: 1,5 GB. Interne Speicherkapazität: 8 GB, Kompatible Speicherkarten: MicroSD (TransFlash), Max. Speicherkartengröße: 128 GB. Bildschirmdiagonale: 24,4 cm (9.6""), Bildschirmauflösung: 1200 x 800 Pixel, Bildschirmtechnologie: TFT. Auflösung Rückkamera: 5 MP, Weißabgleich: Auto, Maximale Video-Auflösung: 1280 x 720 Pixel",,
897_samsung_sm-t670,1,30345097,1.6 GHz,2 GB,1920 x 1080 pixels,32 GB,5700 mAh,"Samsung Galaxy View SM-T670, Full-size tablet, Slate, Android, Black, 802.11a, 802.11ac, 802.11b, 802.11g, 802.11n, 1920 x 1080 pixels","Samsung SM-T670, Galaxy View. Processor frequency: 1.6 GHz. Internal memory: 2 GB. Internal storage capacity: 32 GB, Compatible memory cards: MicroSD (TransFlash), MicroSDHC, Maximum memory card size: 128 GB. Display diagonal: 18.4"", Display resolution: 1920 x 1080 pixels, Display technology: TFT. Rear camera resolution (numeric): 2.1 MP, Maximum video resolution: 1920 x 1080 pixels, Video recording modes: 1080p",,
897_sony_z2,1,21811723,Qualcomm MSM8974AB 2.3 GHz,3 GB,1920 x 1200 pixels,32 GB,6000 mAh (LiPo),"Xperia Tablet Z2 - 32GB, Mobile BRAVIA Engine 2, 1920 x 1200, FM Radio, 8.1/2.2MP, GSM/GPRS/EDGE, RAM: 3GB, Wi-Fi, DLNA, Bluetooth 4.0, NFC, 3.5mm, 439g","Sony Z2, Xperia. Processor frequency: 2.3 GHz, Processor family: Qualcomm, Processor: MSM8974AB. Internal memory: 3 GB, Maximum internal memory: 3 GB. Internal storage capacity: 32 GB, Compatible memory cards: MicroSD (TransFlash), MicroSDHC, MicroSDXC, Maximum memory card size: 64 GB. Display diagonal: 10.1"", Display resolution: 1920 x 1200 pixels, Display technology: TFT. Graphics adapter family: Adreno, Graphics: Adreno 330",,
897_sony_z2-tablet,1,26974234,2.3 GHz Qualcomm MSM8974AB Quad Core,3 GB,1920 x 1200 pixels,16 GB,6000 mAh,"Xperia Tablet Z2 - 10.1"" 1920 x 1200 TFT, 2.3 GHz Qualcomm MSM8974AB Quad Core, RAM 3 GB, microSD, 8.1MP, ANT+, Bluetooth, Wi-Fi, IP55/IP58, Android 4.4 (KitKat)","Sony Z2 Tablet, Xperia. Processor frequency: 2.3 GHz, Processor family: Qualcomm Snapdragon, Processor: MSM8974AB. Internal memory: 3 GB. Internal storage capacity: 16 GB, Compatible memory cards: MicroSD (TransFlash), Maximum memory card size: 64 GB. Display diagonal: 10.1"", Display resolution: 1920 x 1200 pixels, Display technology: TFT. Rear camera resolution (numeric): 8.1 MP, Digital zoom: 8x, Maximum video resolution: 1920 x 1080 pixels",,
